index,Index,Label,unit,start,last,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU511110511110P              ,PCU511110511110P              ,"PPI industry data for Newspaper publishers-Primary services, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,107.0,120.1,131.8,144.8,155.0,165.6,174.3,183.8,196.1,209.1,222.4,237.6,250.8,262.0,272.4,289.4,310.4,322.0,332.9,344.3,356.7,374.4,389.4,404.0,418.3,435.2,449.0,460.6,469.5,478.1,483.7,486.5,491.3,495.7,508.3,512.8,521.7,520.4,521.9,532.1,556.8,570.026
PCU51112-51112-               ,PCU51112-51112-               ,"PPI industry data for Periodical publishers, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,105.5,114.9,128.2,137.9,147.8,157.9,167.0,173.8,183.8,194.0,205.7,217.8,227.9,233.3,239.1,246.3,253.1,263.2,276.9,284.9,292.6,305.9,320.4,332.4,339.1,347.6,354.4,369.5,383.1,391.7,396.0,400.4,403.8,412.4,418.3,424.4,428.6,440.1,445.4,443.0,444.5,439.551
PCU511120511120               ,PCU511120511120               ,"PPI industry data for Periodical publishers, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,105.5,114.9,128.2,137.9,147.8,157.9,167.0,173.8,183.8,194.0,205.7,217.8,227.9,233.3,239.1,246.3,253.2,263.2,276.9,284.9,292.6,305.9,320.4,332.3,339.1,347.6,354.4,369.5,383.1,391.7,396.0,400.3,403.7,412.3,418.3,424.4,428.5,440.0,445.4,443.0,444.5,439.539
PCU5111205111202              ,PCU5111205111202              ,"PPI industry data for Periodical publishers-Periodicals, advertising sales, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,102.5,104.9,106.0,104.9,103.8,102.45
PCU51112051112021             ,PCU51112051112021             ,"PPI industry data for Periodical publishers-Specialized business and professional periodicals, advertising sales, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,107.7,118.9,129.9,138.7,146.8,155.7,164.0,171.7,183.6,196.3,206.2,220.6,232.4,240.5,235.6,242.9,255.9,268.2,281.3,295.4,311.6,329.0,344.6,357.6,366.4,379.9,398.0,415.2,432.3,437.2,444.4,447.5,450.2,452.4,455.4,464.6,458.8,460.2,461.4,460.7,445.0,449.774
PCU51112051112022             ,PCU51112051112022             ,"PPI industry data for Periodical publishers-General and consumer periodicals, advertising sales, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,105.9,115.8,132.1,144.1,158.9,175.7,193.3,203.2,215.9,231.8,252.1,271.9,290.8,296.0,306.8,316.8,317.8,328.5,352.2,363.6,373.9,414.4,440.8,455.5,472.5,494.0,501.5,526.4,547.8,556.7,558.0,573.9,584.9,603.1,621.0,629.7,639.4,655.9,663.6,655.7,651.2,640.233
PCU5111205111205              ,PCU5111205111205              ,"PPI industry data for Periodical publishers-Periodicals, subscriptions and single copy sales, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,100.7,102.0,102.0,103.8,110.5,112.152
PCU51112051112051             ,PCU51112051112051             ,"PPI industry data for Periodical publishers-Specialized business and professional periodicals, subscriptions and single copy sales, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,109.6,117.6,132.2,143.9,150.8,167.4,176.6,184.5,192.8,201.7,211.0,230.0,235.0,240.2,255.5,263.0,266.8,288.9,303.7,311.6,318.1,318.3,333.4,354.9,367.1,371.6,377.2,408.8,442.1,460.1,462.3,467.0,474.6,487.5,503.9,520.7,530.9,543.1,549.0,553.6,559.1,568.182
PCU51112051112052             ,PCU51112051112052             ,"PPI industry data for Periodical publishers-General and consumer periodicals, subscriptions and single copy sales, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.4,101.5,103.5,102.3,100.4,101.5,99.4,99.9,99.3,100.1,99.5,101.6,110.3,111.881
PCU511120511120M              ,PCU511120511120M              ,"PPI industry data for Periodical publishers-Miscellaneous receipts, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2005-M13,,103.3,105.8,111.2,116.5,120.9,,,,,,,,163.5,164.2,166.9,196.2,208.9,235.6,,,245.0,253.4,262.4,262.4,262.4,,,,,,,,,,,,,,,,
