index,Index,Label,unit,start,last,1976,1977,1978,1979,1980,1981,1982,1983,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU211---211---               ,PCU211---211---               ,"PPI industry sub-sector data for Oil and gas extraction, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M04,,,,,,,,,76.9,74.3,68.5,75.7,82.7,77.9,76.5,76.2,71.1,66.6,84.8,87.5,68.3,78.5,126.8,127.5,107.0,160.1,192.7,262.0,252.5,267.1,347.5,187.3,240.5,274.6,240.9,259.1,257.8,133.3,118.4,148.7,173.1,138.8,98.1,197.603
PCU2111--2111--               ,PCU2111--2111--               ,"PPI industry group data for Oil and gas extraction, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M04,,,,,,,,,76.9,74.3,68.5,75.7,82.7,77.9,76.5,76.2,71.1,66.6,84.8,87.5,68.3,78.5,126.8,127.5,107.0,160.1,192.7,262.0,252.5,267.1,347.5,187.3,240.5,274.6,240.9,259.1,257.8,133.3,118.4,148.7,173.1,138.8,98.1,197.603
PCU211111211111               ,PCU211111211111               ,"PPI industry data for Crude petroleum and natural gas extraction, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,152.3,183.4,253.5,252.3,261.5,349.2,187.6,238.8,271.8,245.5,265.7,263.2,138.3,121.9,151.3,176.5,144.9,101.3,201.52
PCU2111112111111              ,PCU2111112111111              ,"PPI industry data for Crude petroleum and natural gas extraction-Crude petroleum, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2022-M04,,,,,,,,,51.1,60.4,50.3,61.3,77.3,67.4,63.2,56.0,51.3,55.6,68.2,62.6,38.9,54.7,92.8,75.4,73.9,90.3,117.8,163.4,191.6,209.8,300.3,176.1,238.1,300.0,298.0,306.3,282.3,141.0,121.1,150.6,198.1,171.7,111.2,201.029
PCU2111112111113              ,PCU2111112111113              ,"PPI industry data for Crude petroleum and natural gas extraction-Natural gas (from the wellhead), not seasonally adjusted",Index base: 1984.06 = 100,1975-M12,2022-M04,19.6,27.7,32.9,43.6,56.3,74.2,91.9,99.4,84.2,74.7,72.7,77.1,75.5,74.3,75.8,79.6,74.1,62.6,85.7,95.5,78.8,85.7,146.1,161.5,114.1,191.6,216.4,298.4,251.2,248.0,311.7,145.3,165.9,152.3,105.6,136.8,161.9,94.8,86.6,107.0,101.8,77.5,60.8,137.022
PCU211111211111P              ,PCU211111211111P              ,"PPI industry data for Crude petroleum and natural gas extraction-Primary products, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2022-M04,,,,,,,,,67.2,67.4,61.2,69.0,76.4,70.8,69.3,67.5,62.4,59.0,76.8,79.1,59.0,70.2,119.5,118.7,94.3,137.1,165.0,228.2,226.8,232.9,313.2,166.3,210.6,239.1,216.5,235.2,232.9,122.6,107.6,133.5,156.2,129.3,89.8,177.744
PCU211111211111S              ,PCU211111211111S              ,"PPI industry data for Crude petroleum and natural gas extraction-Secondary products, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2009-M05,,,,,,,,,,,,,,,,,,,,,,,,,,162.7,203.6,280.9,297.9,348.8,409.5,,,,,,,,,,,,,
PCU211112211112               ,PCU211112211112               ,"PPI industry data for Natural gas liquids extraction, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,181.2,216.5,285.4,258.1,286.7,347.6,188.5,247.5,284.6,213.6,219.6,225.8,104.4,97.5,132.9,152.3,105.7,80.3,174.094
PCU2111122111121              ,PCU2111122111121              ,"PPI industry data for Natural gas liquids extraction-Natural gas liquids, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2022-M04,,,,,,,,,62.2,58.4,52.7,53.0,77.4,76.6,66.7,65.1,59.4,66.6,87.8,88.3,62.8,76.9,132.8,124.2,109.9,159.5,204.3,258.6,283.7,334.1,397.1,237.5,318.8,395.1,308.0,285.8,273.7,116.3,112.2,163.4,208.4,131.7,94.8,216.756
