index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU454---454---               ,PCU454---454---               ,"PPI industry sub-sector data for Nonstore retailers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,107.5,119.8,118.9,129.2,144.1,147.7,140.9,142.6,145.7,147.6,152.9,158.4,154.8,155.2,161.0,172.5,177.9,182.881
PCU454110454110               ,PCU454110454110               ,"PPI industry data for Electronic and mail-order shopping, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M02,,,,,,,103.6,107.5,109.5,108.4,106.5,104.3,105.8,105.6,107.5,108.2,107.8,109.2,115.7,119.7,127.608
PCU4541104541101              ,PCU4541104541101              ,"PPI industry data for Electronic and mail-order shopping-Electronic and mail-order shopping services, not seasonally adjusted",Index base: 2006.06 = 100,2005-M12,2022-M02,,,,,,,103.9,108.0,109.9,108.9,106.9,104.8,106.2,106.0,107.9,108.6,108.2,109.7,116.5,120.7,128.997
PCU45411045411011             ,PCU45411045411011             ,"PPI industry data for Electronic and mail-order shopping-Electronic and mail-order drugs, health aids, and cosmetics, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M02,,,,,,,,,,,,,,101.5,107.3,110.8,114.1,119.4,129.3,130.7,138.015
PCU45411045411012             ,PCU45411045411012             ,"PPI industry data for Electronic and mail-order shopping-Electronic and mail-order apparel and footwear, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M02,,,,,,,,,,,,,,94.4,87.6,85.9,81.6,74.4,77.7,75.7,84.987
PCU45411045411013             ,PCU45411045411013             ,"PPI industry data for Electronic and mail-order shopping-Electronic and mail-order electronic goods, including appliances, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M02,,,,,,,,,,,,,,89.4,91.0,89.6,91.9,94.4,94.8,109.5,114.597
PCU45411045411014             ,PCU45411045411014             ,"PPI industry data for Electronic and mail-order shopping-Electronic and mail-order home furnishings, hardware, and related goods, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M02,,,,,,,,,,,,,,98.6,104.2,110.9,112.8,114.6,120.5,120.8,121.689
PCU45411045411015             ,PCU45411045411015             ,"PPI industry data for Electronic and mail-order shopping-Electronic and mail-order services for all other goods, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M02,,,,,,,,,,,,,,101.0,102.0,101.1,97.9,101.2,108.6,113.8,127.296
PCU454110454110P              ,PCU454110454110P              ,"PPI industry data for Electronic and mail-order shopping-Primary services, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M02,,,,,,,103.9,108.0,109.9,108.9,106.9,104.8,106.2,106.0,107.9,108.6,108.2,109.7,116.5,120.7,128.997
PCU454210454210               ,PCU454210454210               ,"PPI industry data for Vending machine operators, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2018-M13,100.5,101.5,105.5,107.5,110.6,112.0,112.8,117.2,118.6,119.6,126.5,129.9,130.1,135.9,142.0,148.6,147.3,153.6,,,
PCU45431-45431-               ,PCU45431-45431-               ,"PPI industry data for Fuel dealers, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,120.5,113.8,122.7,129.4,147.3,138.9,138.3,174.2,179.2,157.9,167.1,182.9,185.1,203.8,215.0,197.8,200.9,218.0,240.6,245.8,228.589
PCU454310454310               ,PCU454310454310               ,"PPI industry data for Fuel dealers, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,,,129.4,147.3,138.9,138.3,174.2,179.2,157.8,167.1,182.9,185.1,203.8,215.0,197.8,200.8,218.0,240.6,245.8,228.582
PCU4543104543101              ,PCU4543104543101              ,"PPI industry data for Fuel dealers-Fuel dealer services, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,,,132.0,150.3,141.7,141.2,178.9,184.2,162.0,171.7,188.3,190.4,211.0,222.4,205.5,208.3,226.3,251.0,256.5,238.528
PCU454310454310P              ,PCU454310454310P              ,"PPI industry data for Fuel dealers-Primary services, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,,,132.0,150.3,141.7,141.2,178.9,184.2,162.0,171.7,188.3,190.4,211.0,222.4,205.5,208.3,226.3,251.0,256.5,238.528
PCU454310454310SM             ,PCU454310454310SM             ,"PPI industry data for Fuel dealers-Other receipts, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2012-M13,,,,90.8,94.9,88.9,84.1,82.2,,,77.1,77.0,,,,,,,,,
