index,Index,Label,unit,start,last,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU445---445---               ,PCU445---445---               ,"PPI industry sub-sector data for Food and beverage stores, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,103.8,109.6,113.4,117.6,123.2,131.0,134.7,139.6,149.3,151.2,148.2,156.2,163.6,167.9,173.6,183.0,189.3,190.6,196.6,199.8,208.0,210.962
PCU4451--4451--               ,PCU4451--4451--               ,"PPI industry group data for Grocery stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,103.5,110.7,114.0,117.9,126.1,127.4,124.3,131.2,137.2,141.4,147.5,155.8,161.5,162.6,167.8,171.2,178.6,180.75
PCU44511-44511-               ,PCU44511-44511-               ,"PPI industry data for Grocery (except convenience) stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,103.5,110.7,114.0,117.9,126.1,127.4,124.3,131.2,137.2,141.4,147.5,155.8,161.5,162.6,167.8,171.2,178.6,180.75
PCU445110445110               ,PCU445110445110               ,"PPI industry data for Supermarkets and other grocery stores, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,104.2,109.9,113.6,117.9,123.6,132.1,136.0,140.7,150.5,152.1,148.4,156.6,163.7,168.7,176.0,186.0,192.7,194.0,200.3,204.3,213.1,215.696
PCU4451104451103              ,PCU4451104451103              ,"PPI industry data for Supermarkets and other grocery stores-Supermarket and other grocery store services, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,103.7,109.1,115.0,117.7,122.5,130.9,134.8,139.5,149.2,150.7,147.0,155.2,162.3,167.3,174.5,184.0,190.8,192.0,198.3,202.3,211.0,213.54
PCU44511044511032             ,PCU44511044511032             ,"PPI industry data for Supermarkets and other grocery stores-Retailing of food and beverage products, not seasonally adjusted",Index base: 2017.01 = 100,2017-M01,2022-M02,,,,,,,,,,,,,,,,,,101.8,105.3,106.6,111.2,111.257
PCU445110445110321            ,PCU445110445110321            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of fresh meats, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,95.9,95.5,99.4,102.2,110.0,114.3,117.0,113.5,121.9,127.5,133.4,164.1,169.7,179.4,219.5,240.3,252.0,255.7,274.4,276.5,293.4,286.75
PCU445110445110322            ,PCU445110445110322            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of fresh fruits and vegetables, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,117.4,121.8,133.6,127.1,146.3,161.0,166.3,166.3,179.6,190.2,190.9,186.2,181.2,196.1,202.9,202.4,199.8,203.6,207.8,204.2,219.1,216.778
PCU445110445110323            ,PCU445110445110323            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of bakery products, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,127.4,135.8,138.7,140.9,141.8,141.6,142.1,147.4,177.6,181.7,176.9,176.6,185.3,176.6,172.2,180.1,179.7,174.4,179.7,185.8,190.7,194.05
PCU445110445110324            ,PCU445110445110324            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of dairy products, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,89.9,94.9,96.7,103.0,109.4,117.1,119.9,122.5,143.5,133.4,115.6,124.1,136.4,122.3,130.7,153.0,158.3,158.3,167.9,154.0,163.8,167.719
PCU445110445110325            ,PCU445110445110325            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of deli products, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,,,,,,,,,,,126.3,126.7,125.3,126.0,130.2,131.7,130.0,134.6,136.0,135.3,143.5,149.761
PCU445110445110326            ,PCU445110445110326            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of frozen food products, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,106.5,116.4,128.3,126.9,126.1,115.9,110.5,108.4,100.8,108.0,95.8,108.3,108.0,106.2,108.9,115.7,118.0,110.5,112.8,114.6,116.9,120.048
PCU445110445110327            ,PCU445110445110327            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of alcoholic beverages, not seasonally adjusted",Index base: 2017.01 = 100,2017-M01,2022-M02,,,,,,,,,,,,,,,,,,104.8,107.9,115.4,117.4,120.967
PCU445110445110328            ,PCU445110445110328            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of all other food and beverage products, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,100.8,110.5,118.8,121.5,118.3,132.6,134.2,137.0,144.4,142.5,138.2,145.1,152.7,164.4,162.9,171.1,185.2,194.2,197.8,208.1,212.0,209.844
PCU44511044511033             ,PCU44511044511033             ,"PPI industry data for Supermarkets and other grocery stores-Retailing of nonfood products, not seasonally adjusted",Index base: 2017.01 = 100,2017-M01,2022-M02,,,,,,,,,,,,,,,,,,94.0,96.2,101.6,106.0,112.952
