index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU491---491---               ,PCU491---491---               ,"PPI industry sub-sector data for U.S. Postal Service, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.6,36.6,42.7,44.0,54.6,55.1,60.6,64.6,64.4,74.0,79.2,79.2,79.3,85.3,86.5,86.5,96.6,100.0,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,215.1,217.1,221.6,230.2,237.1,246.812
PCU4911--4911--               ,PCU4911--4911--               ,"PPI industry group data for U.S. Postal Service, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.6,36.6,42.7,44.0,54.6,55.1,60.6,64.6,64.4,74.0,79.2,79.2,79.3,85.3,86.5,86.5,96.6,100.0,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,215.1,217.1,221.6,230.2,237.1,246.812
PCU49111-49111-               ,PCU49111-49111-               ,"PPI industry data for U.S. Postal Service, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.6,36.6,42.7,44.0,54.6,55.1,60.6,64.6,64.4,74.0,79.2,79.2,79.3,85.3,86.5,86.5,96.6,100.0,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,215.1,217.1,221.6,230.2,237.1,246.812
PCU491110491110               ,PCU491110491110               ,"PPI industry data for U.S. Postal Service, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.6,36.6,42.7,44.0,54.6,55.1,60.6,64.6,64.4,74.0,79.2,79.2,79.3,85.3,86.5,86.5,96.6,100.0,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,215.1,217.1,221.6,230.2,237.1,246.812
PCU4911104911107              ,PCU4911104911107              ,"PPI industry data for U.S. Postal Service-Mailing services (market dominant services), not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,108.4,110.3,107.9,108.3,110.0,113.2,115.2,119.954
PCU49111049111071             ,PCU49111049111071             ,"PPI industry data for U.S. Postal Service-First class mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,34.2,34.2,40.9,42.1,53.0,53.0,57.7,61.3,61.5,72.6,81.7,81.7,81.7,86.7,87.7,87.7,96.9,100.0,100.0,115.6,117.0,117.0,117.0,127.0,127.0,127.0,127.0,129.0,129.0,136.2,142.6,146.8,146.8,146.8,154.5,157.8,162.8,169.0,171.8,174.8,179.5,184.0,194.9,198.0,193.6,194.5,198.2,204.0,207.6,215.802
PCU491110491110711            ,PCU491110491110711            ,"PPI industry data for U.S. Postal Service-Retail letters, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,108.3,108.9,105.6,108.5,110.7,120.2,121.1,123.886
PCU491110491110712            ,PCU491110491110712            ,"PPI industry data for U.S. Postal Service-Commercial letters, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,108.1,110.1,107.8,106.2,107.4,108.6,110.3,115.449
PCU491110491110713            ,PCU491110491110713            ,"PPI industry data for U.S. Postal Service-Retail and commercial flats, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,107.8,110.1,107.5,108.4,109.3,99.1,106.4,111.7
PCU491110491110714            ,PCU491110491110714            ,"PPI industry data for U.S. Postal Service-Other first class mail and fees, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,111.0,115.3,115.3,115.6,122.5,125.1,128.2,135.608
PCU49111049111072             ,PCU49111049111072             ,"PPI industry data for U.S. Postal Service-Periodicals mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,28.5,28.6,38.5,40.5,50.6,50.7,63.3,72.3,72.3,74.9,76.1,76.1,76.1,86.3,88.3,88.3,97.1,100.0,100.0,121.7,123.6,123.6,123.6,139.1,139.1,139.1,139.1,143.5,143.5,170.2,190.0,202.5,202.5,202.5,213.0,213.9,219.1,223.9,225.1,227.4,232.6,238.5,252.2,256.3,250.1,249.1,253.6,260.9,266.3,278.481
PCU491110491110721            ,PCU491110491110721            ,"PPI industry data for U.S. Postal Service-Outside county, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,27.9,27.9,37.8,39.8,50.6,50.6,63.9,73.4,73.4,73.4,73.4,73.4,73.4,82.7,84.6,84.6,96.1,100.0,100.0,120.1,121.9,121.9,121.9,138.6,138.6,138.6,138.6,141.7,141.7,173.1,194.0,206.0,206.0,206.0,217.0,218.0,223.3,228.1,229.5,231.7,236.8,242.8,256.7,260.8,254.5,253.6,258.2,266.0,271.6,284.205
PCU491110491110722            ,PCU491110491110722            ,"PPI industry data for U.S. Postal Service-Other periodicals mail and fees, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,109.0,110.8,108.4,107.3,108.5,109.3,110.5,113.37
PCU49111049111073             ,PCU49111049111073             ,"PPI industry data for U.S. Postal Service-Standard class mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,30.8,30.9,37.3,38.6,48.5,48.5,52.4,55.3,55.5,66.2,73.6,74.2,74.6,81.3,82.6,82.6,95.7,100.0,100.0,125.6,129.1,129.1,129.1,146.5,146.5,146.5,146.5,152.1,152.1,157.7,164.3,169.7,169.7,169.7,185.5,201.5,212.9,217.2,218.4,221.1,226.9,232.4,245.1,248.8,243.3,243.8,246.4,253.6,258.6,270.591
