index,Index,Label,unit,start,last,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU423---423---               ,PCU423---423---               ,"PPI industry sub-sector data for Merchant wholesalers, durable goods, not seasonally adjusted",Index base: 2004.06 = 100,2004-M06,2022-M04,102.0,106.3,110.4,116.4,119.8,118.0,121.3,123.9,125.4,127.8,129.7,134.0,137.4,141.1,146.4,149.7,171.258
PCU4231--4231--               ,PCU4231--4231--               ,"PPI industry group data for Motor vehicle and parts merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,78.0,83.3,87.7,90.6,88.8,85.5,91.3,92.7,94.9,99.3,98.0,107.517
PCU42310-42310-               ,PCU42310-42310-               ,"PPI industry data for Motor vehicle and parts merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,78.0,83.3,87.7,90.6,88.8,85.5,91.3,92.7,94.9,99.3,98.0,107.517
PCU423100423100               ,PCU423100423100               ,"PPI industry data for Motor vehicle and parts merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,78.0,83.3,87.7,90.6,88.8,85.5,91.3,92.7,94.9,99.3,98.0,107.511
PCU4231004231001              ,PCU4231004231001              ,"PPI industry data for Motor vehicle and parts merchant wholesalers-Motor vehicle and parts wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,99.6,106.4,112.1,115.7,113.4,109.3,116.6,118.4,121.2,126.9,125.0,137.803
PCU423100423100P              ,PCU423100423100P              ,"PPI industry data for Motor vehicle and parts merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,99.6,106.4,112.1,115.7,113.4,109.3,116.6,118.4,121.2,126.9,125.0,137.803
PCU4232--4232--               ,PCU4232--4232--               ,"PPI industry group data for Furniture and home furnishing merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,80.4,75.0,79.4,84.1,92.5,92.4,96.7,99.0,100.3,100.6,104.6,116.088
PCU42320-42320-               ,PCU42320-42320-               ,"PPI industry data for Furniture and home furnishing merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,80.4,75.0,79.4,84.1,92.5,92.4,96.7,99.0,100.3,100.6,104.6,116.088
PCU423200423200               ,PCU423200423200               ,"PPI industry data for Furniture and home furnishing merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,80.4,75.0,79.4,84.1,92.5,92.4,96.7,99.0,100.3,100.6,104.5,116.061
PCU4232004232001              ,PCU4232004232001              ,"PPI industry data for Furniture and home furnishing merchant wholesalers-Furniture and home furnishing wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,87.9,82.0,86.8,92.0,101.1,101.0,105.7,108.3,109.6,109.9,113.9,126.401
