index,Index,Label,unit,start,last,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU5613--5613--               ,PCU5613--5613--               ,"PPI industry group data for Employment services, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M02,,,,,,,,101.0,103.2,105.2,107.3,108.2,108.9,111.4,113.9,116.3,119.2,121.7,123.2,123.5,124.9,125.5,126.3,128.6,131.1,133.4,136.7,138.7,139.5,142.3,145.1,150.721
PCU56133-56133-               ,PCU56133-56133-               ,"PPI industry data for Employee leasing services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,101.3,102.9,105.4,107.6,109.0,110.2,112.1,112.4,113.6,115.5,116.7,117.5,122.7,124.1,123.2,125.2,124.9,127.499
PCU561330561330               ,PCU561330561330               ,"PPI industry data for Professional employer organizations, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,101.3,102.9,105.4,107.6,109.0,110.2,112.1,112.4,113.6,115.5,116.7,117.5,122.7,124.1,123.2,125.2,124.9,127.499
PCU5613305613301              ,PCU5613305613301              ,"PPI industry data for Professional employer organizations-Co-employment staffing, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,103.7,106.0,108.1,108.6,110.6,115.1,121.4,125.1,128.4,130.9,133.0,136.2,139.0,140.9,142.4,144.8,145.3,146.8,149.2,150.8,151.8,158.6,160.5,159.3,161.9,161.5,164.882
PCU561330561330P              ,PCU561330561330P              ,"PPI industry data for Professional employer organizations-Primary services, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,103.7,106.0,108.1,108.6,110.6,115.1,121.4,125.1,128.4,130.9,133.0,136.2,139.0,140.9,142.4,144.8,145.3,146.8,149.2,150.8,151.8,158.6,160.5,159.3,161.9,161.5,164.882
PCU56138-56138-               ,PCU56138-56138-               ,"PPI industry data for Staffing services (except PEOs), not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,100.1,100.5,102.4,105.1,107.8,109.0,110.7,112.5,115.1,119.2,125.336
PCU561380561380               ,PCU561380561380               ,"PPI industry data for Staffing services (except PEOs), not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,100.1,100.5,102.4,105.1,107.8,109.0,110.7,112.5,115.1,119.2,125.328
PCU5613805613801              ,PCU5613805613801              ,"PPI industry data for Staffing services (except PEOs)-Temporary help services, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,103.0,104.9,106.5,108.8,110.6,112.5,112.3,112.2,114.9,117.8,120.1,123.3,126.3,127.9,127.4,128.3,129.1,129.9,131.8,135.1,138.4,140.5,142.7,145.3,149.5,155.6,164.644
PCU561380561380101            ,PCU561380561380101            ,"PPI industry data for Staffing services (except PEOs)-Temporary help services, office and clerical, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,103.4,105.6,107.4,109.9,111.8,113.8,115.4,115.7,118.5,121.0,124.8,130.0,131.2,131.8,133.4,137.9,139.9,140.1,143.8,146.4,149.6,154.1,158.1,161.6,165.6,167.5,167.166
PCU561380561380102            ,PCU561380561380102            ,"PPI industry data for Staffing services (except PEOs)-Temporary help services, light and heavy industrial, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,104.4,106.1,107.8,109.5,110.3,111.9,113.5,115.6,118.6,119.8,121.6,124.1,126.4,128.4,127.2,128.9,129.6,130.7,129.9,130.8,135.3,141.3,146.8,152.8,157.3,165.3,174.492
PCU561380561380103            ,PCU561380561380103            ,"PPI industry data for Staffing services (except PEOs)-Temporary help services, technical and professional, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,100.3,100.7,101.1,103.9,104.6,104.0,85.5,73.0,74.7,77.5,75.7,76.9,82.8,85.0,81.8,77.0,77.4,77.6,80.5,83.8,84.8,82.3,80.8,81.2,83.9,86.4,90.38
PCU561380561380104            ,PCU561380561380104            ,"PPI industry data for Staffing services (except PEOs)-Temporary help services, medical, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,102.2,103.3,105.0,107.1,110.3,115.1,120.6,122.7,125.2,125.2,129.7,135.3,139.5,143.9,141.8,138.4,136.6,134.8,135.5,140.8,144.9,147.5,149.1,149.1,154.2,154.7,183.98
PCU561380561380105            ,PCU561380561380105            ,"PPI industry data for Staffing services (except PEOs)-Temporary help services, other, not seasonally adjusted",Index base: 1994.06 = 100,1994-M06,2022-M02,,,,,,101.1,102.6,104.7,102.4,104.0,108.7,109.8,112.2,114.3,124.7,128.5,129.0,131.0,132.1,133.2,133.1,129.9,129.6,128.9,132.7,137.3,139.4,142.6,146.1,148.4,169.7,182.445
PCU5613805613802              ,PCU5613805613802              ,"PPI industry data for Staffing services (except PEOs)-Employment placement services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,102.4,104.6,104.6,106.9,107.7,108.5,109.1,109.7,108.6,114.9,121.1,125.1,125.2,128.5,131.5,128.5,130.0,131.459
