index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CUUS0000SAH      ,CUUS0000SAH      ,"Housing in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.4,104.8,106.5,109.0,110.2,111.6,113.1,115.4,117.2,119.8,121.7,124.4,126.8,130.2,132.6,134.6,136.6,138.5,140.3,142.2,143.9,145.6,147.4,149.5,151.7,153.9,155.9,157.7,159.4,161.4,162.8,164.9,167.8,171.4,175.5,177.3,179.2,181.4,184.0,185.6,188.1,190.9,193.8,197.6,201.6,204.8,208.234,210.938,214.717,217.81099999999998,217.275,216.83900000000003,216.058,216.454,217.94099999999997,220.263,221.685,223.745,226.128,228.575,231.90900000000002,234.521,236.743,239.378,241.968,245.97799999999998,249.52200000000002,252.93599999999998,256.757,260.199,264.21299999999997,267.69,270.47700000000003,273.069,276.962
CUUS0000SAH1     ,CUUS0000SAH1     ,"Shelter in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.5,105.5,108.1,111.6,114.4,117.2,119.8,122.7,125.6,128.5,131.1,134.6,137.8,142.2,145.0,147.6,150.2,152.2,154.8,156.7,159.4,161.7,164.4,167.0,169.8,172.2,175.0,177.6,180.7,183.5,186.1,188.4,191.9,194.8,198.7,202.4,206.8,209.4,212.1,214.2,217.6,220.1,223.5,225.4,229.9,234.4,239.00799999999998,242.213,245.635,247.69799999999998,249.44099999999997,249.268,248.101,248.692,250.37900000000002,252.91299999999998,255.729,258.438,261.49,264.621,268.597,272.42900000000003,276.557,281.04900000000004,285.66,290.8,295.45099999999996,300.156,305.263,310.063,315.577,320.53,324.587,327.184,330.907
CUUS0000SAH2     ,CUUS0000SAH2     ,"Fuels and utilities in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.6,106.1,105.7,107.4,105.0,103.2,102.1,104.0,103.4,105.5,106.7,108.8,110.4,112.8,114.5,116.1,116.6,119.0,120.0,122.6,122.4,123.2,122.9,124.4,125.9,129.1,130.3,131.3,128.2,128.7,126.8,130.9,132.9,142.9,152.3,148.1,141.6,145.5,152.5,156.6,157.9,165.9,169.8,188.3,194.3,195.1,197.808,203.457,214.06799999999998,225.968,210.91,210.482,212.80200000000002,215.571,218.08900000000003,222.645,217.706,220.267,223.03400000000002,227.38099999999997,233.78599999999997,235.391,231.04,229.21900000000002,225.69799999999998,232.013,235.217,239.41299999999998,240.637,242.472,242.05700000000002,243.14,242.138,245.761,253.574
CUUS0000SAH21    ,CUUS0000SAH21    ,"Household energy in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.6,105.3,104.0,105.0,100.9,97.5,96.2,98.4,96.7,99.3,99.6,102.2,103.1,105.9,106.3,107.2,106.6,109.6,109.8,112.7,111.2,112.1,110.6,112.4,113.3,117.1,117.7,118.1,113.7,113.8,111.4,115.6,117.5,128.0,137.9,132.9,125.3,129.2,136.3,140.1,140.5,148.3,151.8,171.3,177.1,177.1,179.13299999999995,184.356,194.981,206.635,189.06400000000002,187.16299999999998,188.38099999999997,190.19,191.671,195.62599999999998,188.658,189.958,191.892,195.78900000000002,201.955,202.43,196.28599999999997,193.048,188.03099999999998,194.06799999999998,196.38400000000001,200.232,200.438,201.21400000000003,199.886,200.199,198.074,200.90200000000002,208.21400000000003
CUUS0000SAH3     ,CUUS0000SAH3     ,"Household furnishings and operations in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,101.5,102.3,103.6,104.1,104.9,105.6,106.8,107.4,108.6,110.2,110.8,111.7,112.8,113.7,115.6,116.4,117.6,118.4,118.8,119.7,120.8,121.3,122.4,123.6,124.5,124.9,125.4,125.3,126.4,126.7,126.8,126.7,127.8,128.7,129.0,129.1,128.8,127.9,127.0,125.3,125.6,125.4,126.2,126.0,126.9,127.2,127.389,126.36,127.208,128.393,129.42,127.98299999999999,126.42,124.559,124.789,125.096,125.99799999999999,125.5,125.383,124.146,123.51799999999999,122.777,122.92299999999999,122.285,122.137,121.09299999999999,121.345,120.087,121.45100000000001,121.682,123.626,123.969,124.931,126.92200000000001,129.257
CUUS0000SAH31    ,CUUS0000SAH31    ,"Household furnishings and supplies in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.351,97.535,97.63600000000001,97.795,98.329,97.71,97.45299999999999,96.029,95.257,94.036,93.84899999999999,92.84700000000001,92.415,91.06299999999999,91.029,89.42200000000004,89.836,89.655,90.917,90.598,91.23,92.695,93.928
CUUS0000SEHA     ,CUUS0000SEHA     ,"Rent of primary residence in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.7,106.9,109.9,113.6,116.7,119.8,121.9,124.4,126.6,129.1,131.3,134.3,136.8,140.1,142.2,144.5,146.1,147.7,149.5,151.2,153.0,155.0,156.8,158.7,160.8,163.1,165.4,168.0,170.5,173.6,176.2,178.8,182.1,185.7,189.9,194.3,198.3,201.1,204.3,206.8,209.5,212.6,215.7,219.0,222.6,227.6,232.607,236.75099999999998,241.16099999999997,245.38099999999997,248.66299999999998,248.96,249.03099999999998,249.74,252.123,255.15400000000002,258.671,262.063,265.871,269.578,273.778,278.546,283.328,288.736,293.897,299.744,305.286,310.999,316.42,322.158,328.02,334.228,339.7,343.236,346.139
CUUS0000SEHB     ,CUUS0000SEHB     ,"Lodging away from home in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.113,159.032,168.25900000000001,163.517,154.006,143.825,153.25799999999995
CUUS0000SEHB01   ,CUUS0000SEHB01   ,"Housing at school, excluding board in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.015,554.054,557.809,566.549,570.749,579.363,582.844
CUUS0000SEHB02   ,CUUS0000SEHB02   ,"Other lodging away from home including hotels and motels in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.528,324.283,345.349,333.67800000000005,311.2390000000001,287.154,308.6
