index,Index,Label,unit,start,last,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CUUS0000SAE      ,CUUS0000SAE      ,"Education and communication in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,84.4,86.6,87.8,89.7,91.2,93.2,94.3,96.4,97.5,99.4,100.0,100.6,100.7,101.7,102.0,103.0,104.1,106.4,106.8,109.0,109.2,110.4,111.0,112.2,112.8,114.6,115.7,117.8,118.307,120.84700000000001,122.101,125.161,126.29799999999999,128.489,129.215,130.623,130.642,132.291,133.285,134.403,135.317,136.45600000000002,137.16299999999998,137.873,137.543,138.874,139.197,139.07,136.819,136.195,136.28799999999998,137.285,137.172,138.408,139.261,141.339,141.74
CUUS0000SAE1     ,CUUS0000SAE1     ,"Education in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,76.7,80.0,81.7,84.8,86.5,89.6,91.2,94.1,95.7,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.064,261.615,263.901,267.779,269.497,271.965,272.313
CUUS0000SAE2     ,CUUS0000SAE2     ,"Communication in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,96.6,96.9,97.6,97.5,98.8,98.9,99.1,100.1,100.6,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.031,73.692,73.033,73.333,73.767,75.214,75.521
CUUS0000SAE21    ,CUUS0000SAE21    ,"Information and information processing in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,97.5,97.9,98.6,98.6,98.6,98.7,99.0,100.0,100.6,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.137,69.79899999999999,69.051,69.329,69.681,71.079,71.32
CUUS0000SAEC     ,CUUS0000SAEC     ,"Education and communication commodities in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.75200000000001,98.25200000000001,96.836,94.289,93.501,91.913,90.78,88.949,87.89,85.94200000000002,84.146,82.654,80.635,79.34100000000002,78.199,77.218,76.376,74.649,72.467,71.212,69.26,68.017,67.602
CUUS0000SAES     ,CUUS0000SAES     ,"Education and communication services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.306,101.645,101.796,103.44,104.365,105.5,106.40899999999999,107.589,108.32700000000001,109.181,109.11399999999999,110.45100000000001,110.992,111.056,109.24,108.82600000000001,109.024,110.12200000000001,110.31200000000001,111.557,112.561,114.54799999999999,114.955
CUUS0000SEEA     ,CUUS0000SEEA     ,"Educational books and supplies in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.632,695.573,687.711,683.018,672.59,682.841,687.413
CUUS0000SEEB     ,CUUS0000SEEB     ,"Tuition, other school fees, and childcare in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.924,749.6,756.828,768.671,774.26,781.173,782.0169999999997
CUUS0000SEEB01   ,CUUS0000SEEB01   ,"College tuition and fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.347,852.317,859.43,871.278,874.561,879.9639999999997,877.8389999999997
CUUS0000SEEB02   ,CUUS0000SEEB02   ,"Elementary and high school tuition and fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.5369999999997,852.727,858.949,877.188,883.552,898.3,905.155
CUUS0000SEEB03   ,CUUS0000SEEB03   ,"Child care and nursery school in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1990.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.531,296.565,300.624,305.913,310.353,313.422,314.83
CUUS0000SEEB04   ,CUUS0000SEEB04   ,"Technical and business school tuition and fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.74099999999999,252.683,252.52700000000002,254.47099999999998,257.186,261.37,261.655
CUUS0000SEEC     ,CUUS0000SEEC     ,"Postage and delivery services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.662,185.21099999999998,194.179,195.34599999999998,202.213,203.169,208.639
CUUS0000SEEC01   ,CUUS0000SEEC01   ,"Postage in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.318,289.966,305.107,307.0420000000001,318.772,320.39599999999996,328.285
CUUS0000SEEC02   ,CUUS0000SEEC02   ,"Delivery services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.244,310.70799999999997,317.74,318.916,320.012,320.302,336.644
