index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CUUR0000SAE      ,CUUR0000SAE      ,"Education and communication in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,88.8,92.2,95.3,98.4,100.3,101.2,102.5,105.2,107.9,109.8,111.6,113.7,116.8,119.57700000000001,123.631,127.39299999999999,129.91899999999998,131.466,133.844,135.886,137.518,138.209,139.13299999999998,136.507,136.786,137.79,140.3
CUUR0000SAE1     ,CUUR0000SAE1     ,"Education in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,83.3,88.0,92.7,97.3,102.1,107.0,112.5,118.5,126.0,134.4,143.7,152.7,162.1,171.388,181.27700000000002,190.857,199.33700000000002,207.768,216.328,224.521,231.91400000000002,240.535,247.52599999999998,253.21099999999998,258.84,265.84,270.731
CUUR0000SAE2     ,CUUR0000SAE2     ,"Communication in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,97.6,98.8,99.6,100.3,98.7,96.0,93.6,93.3,92.3,89.7,86.7,84.7,84.1,83.367,84.185,84.954,84.681,83.345,83.06,82.613,82.06299999999997,80.208,79.236,75.00399999999998,73.862,73.183,74.491
CUUR0000SAE21    ,CUUR0000SAE21    ,"Information and information processing in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7,98.6,98.7,99.5,100.4,98.5,95.5,92.8,92.3,90.8,87.8,84.6,82.6,81.7,80.72,81.352,81.944,81.513,79.964,79.54899999999998,78.891,78.219,76.373,75.398,71.148,69.968,69.19,70.38
CUUR0000SAEC     ,CUUR0000SAEC     ,"Education and communication commodities in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00200000000001,95.56200000000001,92.70700000000001,89.86399999999998,86.916,83.4,79.988,77.709,75.513,71.839,68.638
CUUR0000SAES     ,CUUR0000SAES     ,"Education and communication services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.975,102.618,104.932,106.999,108.75399999999999,109.78200000000001,111.024,109.03299999999999,109.573,110.934,113.554
CUUR0000SEEA     ,CUUR0000SEEA     ,"Educational books and supplies in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,35.4,37.4,38.8,41.4,44.2,45.6,47.2,50.3,53.7,56.9,61.6,65.7,71.4,80.3,91.0,100.3,108.7,118.2,128.1,138.1,148.1,158.0,171.3,180.3,190.3,197.6,205.5,214.4,226.9,238.4,250.8,261.7,279.9,295.9,317.6,335.4,351.0,365.6,388.9,420.418,450.18699999999995,482.07199999999995,505.569,529.545,562.555,594.71,615.447,648.165,678.783,689.453,696.102,685.365,677.716
CUUR0000SEEB     ,CUUR0000SEEB     ,"Tuition, other school fees, and childcare in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,64.7,71.2,79.9,90.5,99.7,109.8,119.7,129.6,140.0,151.0,162.7,175.7,191.4,208.5,225.3,239.8,253.8,267.1,280.4,294.2,308.4,324.0,341.1,362.1,386.7,414.3,440.9,468.1,494.079,522.0980000000002,548.971,573.174,597.2080000000002,620.979,643.681,664.78,688.814,708.115,724.655,741.262,762.7489999999997,777.716
CUUR0000SEEB01   ,CUUR0000SEEB01   ,"College tuition and fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9,64.7,70.8,79.6,90.3,99.7,109.9,119.9,129.6,139.4,150.0,161.9,175.0,192.8,213.5,233.5,249.8,264.8,279.8,294.1,306.5,318.7,331.9,348.8,372.6,403.9,442.1,475.1,507.0,538.687,572.283,606.674,638.188,670.2510000000002,702.758,732.44,759.495,785.85,807.0,823.1289999999997,841.332,865.3539999999997,877.263
CUUR0000SEEB02   ,CUUR0000SEEB02   ,"Elementary and high school tuition and fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,64.6,72.3,81.1,91.0,99.6,109.4,119.0,129.2,141.3,154.6,168.0,182.8,198.0,213.7,228.9,242.6,259.2,272.8,288.1,307.9,327.3,349.9,372.6,398.4,424.9,453.5,483.2,511.2,539.442,570.5830000000002,600.396,624.4730000000002,648.102,671.2139999999997,695.784,722.824,750.706,777.085,804.95,838.132,868.069,890.926
CUUR0000SEEB03   ,CUUR0000SEEB03   ,"Child care and nursery school in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1990.12=100,1990-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,108.3,113.6,119.6,124.5,129.4,134.3,140.9,148.1,156.3,164.1,172.5,180.3,187.1,195.4,206.0,214.877,224.635,232.828,240.43200000000002,247.06400000000002,253.141,259.406,264.874,275.381,283.099,290.379,295.048,303.268,311.888
CUUR0000SEEB04   ,CUUR0000SEEB04   ,"Technical and business school tuition and fees in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,109.9,116.1,122.5,128.8,138.3,149.3,161.7,170.8,177.666,185.812,193.92,200.81400000000002,210.868,219.875,226.29,230.46099999999998,233.982,237.917,245.46200000000002,250.71200000000002,253.49900000000002,259.278
CUUR0000SEEC     ,CUUR0000SEEC     ,"Postage and delivery services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,103.1,103.2,107.3,113.7,119.4,119.8,120.2,126.6,130.10299999999998,135.49200000000002,141.154,145.909,152.161,157.702,167.261,174.15400000000002,174.602,175.61,180.295,184.93599999999998,194.763,202.69099999999997
CUUR0000SEEC01   ,CUUR0000SEEC01   ,"Postage in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,14.2,14.8,14.7,14.5,14.5,15.6,15.7,16.1,17.7,18.0,19.3,19.3,19.3,19.4,20.8,22.7,23.5,23.7,23.9,27.5,28.4,28.6,28.8,29.6,33.7,34.7,34.9,40.9,43.4,43.4,50.5,52.0,65.9,66.8,72.3,76.2,76.2,89.4,100.0,100.0,100.0,108.8,110.2,110.2,121.4,125.1,125.1,143.6,145.3,145.3,145.3,160.3,160.3,160.3,160.3,165.1,165.1,171.5,181.8,190.9,190.9,190.9,201.1,206.067,213.09799999999998,223.608,229.84599999999998,238.703,247.12400000000002,262.592,273.728,274.517,276.58099999999996,283.659,289.642,306.074,319.584
