index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CUUR0000SAG      ,CUUR0000SAG      ,"Other goods and services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,36.9,38.7,40.9,42.9,44.7,46.4,49.8,53.9,57.0,60.4,64.3,68.9,75.2,82.6,91.1,101.1,107.9,114.5,121.4,128.5,137.0,147.7,159.0,171.6,183.3,192.9,198.5,206.9,215.4,224.8,237.7,258.3,271.1,282.6,293.2,298.7,304.7,313.4,321.7,333.328,345.381,368.586,381.291,387.224,394.395,401.002,408.097,414.898,423.073,432.584,442.314,451.283,462.402,476.829
CUUR0000SAG1     ,CUUR0000SAG1     ,"Personal care in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,14.2,14.4,15.2,15.5,15.5,15.4,15.8,17.4,19.2,20.5,21.2,22.7,25.4,26.3,26.2,26.2,28.7,29.0,29.3,29.4,29.9,31.2,32.3,33.4,34.1,34.6,34.8,35.4,35.9,36.3,36.6,37.3,38.4,40.0,42.0,43.5,44.9,46.0,48.1,52.8,57.9,61.7,65.7,69.9,75.2,81.9,89.1,95.4,100.3,104.3,108.3,111.9,115.1,119.4,125.0,130.4,134.9,138.3,141.5,144.6,147.1,150.1,152.7,156.7,161.1,165.6,170.5,174.7,178.0,181.7,185.6,190.2,195.622,201.279,204.587,206.643,208.556,212.135,214.978,217.989,220.821,224.273,227.023,231.062,234.027,238.329,243.464
CUUR0000SAGC     ,CUUR0000SAGC     ,"Other goods in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.943,102.336,103.822,104.91,106.746,107.74,108.915,111.068,112.349,114.287,116.72,120.262
CUUR0000SAGS     ,CUUR0000SAGS     ,"Other personal services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.164,102.926,105.254,107.646,109.57,112.145,115.3,118.192,122.113,124.941,128.407,132.511
CUUR0000SEGA     ,CUUR0000SEGA     ,"Tobacco and smoking products in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,13.8,13.7,14.2,14.2,14.5,15.0,15.2,15.7,16.5,16.9,17.6,18.2,19.8,20.7,21.3,21.7,22.4,23.5,24.5,24.9,25.0,25.5,26.3,27.1,28.1,29.1,29.3,29.5,30.4,31.2,32.6,34.2,35.5,37.8,39.8,43.1,44.9,47.4,48.7,51.1,54.7,57.0,59.8,63.0,66.8,72.0,77.8,86.5,103.4,110.1,116.7,124.7,133.6,145.8,164.4,181.5,202.7,219.8,228.4,220.0,225.7,232.8,243.7,274.8,355.8,394.9,425.2,461.5,469.0,478.0,502.8,519.9,554.184,588.682,730.316,807.33,834.769,853.459,876.822,903.299,930.848,963.38,1022.785,1063.453,1115.941,1171.554,1256.433
CUUR0000SEGA01   ,CUUR0000SEGA01   ,"Cigarettes in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8,143.8,159.9,172.5,187.7,190.4,193.5,203.5,210.4,224.787,238.951,297.381,329.046,340.026,347.536,357.104,368.444,379.982,393.495,418.274,434.883,457.011,481.555,518.09
CUUR0000SEGA02   ,CUUR0000SEGA02   ,"Tobacco products other than cigarettes in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,111.3,119.2,123.3,129.0,134.5,143.3,151.1,156.1,160.713,168.921,198.797,216.512,225.641,231.632,237.463,239.795,244.548,251.358,261.736,272.087,281.579,285.85,298.864
CUUR0000SEGB     ,CUUR0000SEGB     ,"Personal care products in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,22.0,22.3,23.0,23.1,22.9,22.8,23.3,25.2,25.5,26.2,26.4,27.6,33.2,34.2,33.0,32.2,35.7,35.0,34.8,34.6,34.6,35.4,36.6,37.9,38.2,38.2,38.1,38.5,38.6,38.6,38.4,38.0,38.6,39.8,41.6,42.7,44.0,45.2,46.4,51.5,58.0,61.3,64.7,68.2,72.9,79.6,87.8,95.1,100.7,104.2,107.6,111.3,113.9,118.1,123.2,128.2,132.8,136.5,139.0,141.5,143.1,144.3,144.2,148.3,151.8,153.7,155.1,154.7,153.5,153.9,154.4,155.8,158.285,159.29,162.578,161.062,160.529,162.172,161.794,163.445,163.262,163.05,161.664,161.452,160.703,160.063,159.711
CUUR0000SEGB01   ,CUUR0000SEGB01   ,"Hair, dental, shaving, and miscellaneous personal care products in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,101.6,103.3,104.4,104.4,102.5,102.1,101.8,102.6,103.606,104.299,105.371,104.251,102.397,103.111,102.82,103.364,103.701,103.084,102.332,102.335,103.021,103.779,103.822
CUUR0000SEGB02   ,CUUR0000SEGB02   ,"Cosmetics, perfume, bath, nail preparations and implements in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,74.6,80.7,87.5,94.9,100.6,104.5,108.1,111.9,114.6,118.5,123.0,128.6,134.6,136.5,140.5,144.5,145.2,148.2,151.7,159.3,165.3,166.8,168.1,167.2,168.0,169.5,171.3,173.1,177.001,178.037,183.638,182.171,184.268,186.689,186.364,189.252,188.16,188.828,186.96,186.32,182.827,179.464,178.504
