index,Index,Label,unit,start,last,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURD000AA0      ,CUURD000AA0      ,"All items - old base in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1977.12=100,1977-M12,2017-M13,104.9,116.6,131.3,144.8,156.0,160.7,167.2,172.0,173.9,179.0,185.6,193.7,204.8,212.9,218.2,224.9,231.4,239.5,247.8,252.9,256.5,262.0,269.8,275.7,278.8,284.5,291.4,302.6,312.7,321.745,335.274,334.01599999999996,340.61300000000006,352.462,361.691,367.029,374.13800000000003,374.792,379.39599999999996,386.05199999999996
CUURD000SA0      ,CUURD000SA0      ,"All items in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.0,72.3,81.4,89.8,96.7,99.6,103.7,106.7,107.8,111.0,115.1,120.1,127.0,132.0,135.3,139.5,143.4,148.5,153.6,156.8,159.0,162.4,167.3,171.0,172.9,176.4,180.7,187.6,193.9,199.50099999999998,207.889,207.11,211.2,218.547,224.27,227.58,231.987,232.393,235.248,239.375
CUURD000SA0E     ,CUURD000SA0E     ,"Energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,54.8,67.5,86.7,98.1,99.0,100.5,100.5,100.4,86.4,87.0,87.2,91.2,98.2,97.9,97.7,98.2,99.0,100.0,105.2,105.8,99.3,102.9,118.8,122.7,117.8,130.4,145.5,170.9,190.4,200.15200000000002,227.56099999999998,185.52599999999998,203.148,237.16099999999997,240.03,237.673,237.2,197.952,186.99900000000002,200.356
CUURD000SA0L1    ,CUURD000SA0L1    ,"All items less food in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,63.8,70.9,80.5,89.1,96.7,99.7,103.7,106.8,107.8,110.7,114.7,119.4,126.3,131.6,135.5,139.9,144.0,149.5,154.5,157.4,159.4,162.9,167.6,171.3,173.1,176.5,180.2,187.5,194.0,199.201,206.94,205.36900000000003,209.982,217.106,222.703,225.891,229.891,229.43900000000002,232.713,237.2
CUURD000SA0L1E   ,CUURD000SA0L1E   ,"All items less food and energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.2,71.4,79.5,87.6,96.3,99.6,104.2,108.1,111.8,115.2,119.9,124.7,131.7,137.9,142.5,147.5,152.2,158.4,163.3,166.7,170.2,173.6,176.4,180.1,183.1,185.1,187.1,191.5,196.2,200.709,205.579,210.06900000000002,212.755,215.851,221.87099999999998,225.951,230.72299999999998,236.053,241.488,244.753
CUURD000SA0L2    ,CUURD000SA0L2    ,"All items less shelter in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,67.2,74.1,82.7,90.9,96.1,100.0,104.0,106.6,107.0,110.2,114.3,119.5,126.5,131.5,134.7,138.4,141.9,146.2,150.8,153.7,155.5,158.9,164.3,168.0,169.3,173.1,178.2,186.2,192.4,197.80900000000003,207.00400000000002,204.972,211.14700000000002,220.642,226.36,229.50900000000001,233.06099999999998,230.09900000000002,230.58700000000002,233.37900000000002
CUURD000SA0L5    ,CUURD000SA0L5    ,"All items  less medical care in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.4,72.7,81.9,90.3,97.0,99.5,103.4,106.2,106.8,109.6,113.5,118.2,124.6,129.0,131.7,135.4,139.0,143.7,148.7,151.7,153.5,156.7,161.3,164.6,165.8,169.0,172.7,179.2,185.0,190.238,198.332,197.05599999999998,200.775,207.843,213.12599999999998,216.021,220.02200000000002,219.794,221.898,225.858
CUURD000SA0LE    ,CUURD000SA0LE    ,"All items less energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,66.3,72.8,80.6,88.7,96.4,99.5,104.1,107.5,111.0,114.6,119.2,124.4,131.3,137.0,140.8,145.4,149.8,155.5,160.6,164.1,167.5,170.9,174.1,177.8,180.8,183.2,186.0,190.6,195.2,200.327,206.373,210.787,213.166,217.08900000000003,223.187,227.257,232.36700000000002,237.71900000000002,242.321,245.36700000000002
CUURD000SAA      ,CUURD000SAA      ,"Apparel in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,81.3,85.1,91.4,96.0,97.4,100.5,102.2,104.9,105.7,105.4,112.3,115.6,122.0,127.0,131.1,133.7,134.3,134.9,133.3,133.5,134.3,134.7,132.8,131.1,126.6,122.5,117.9,120.3,118.5,117.95299999999999,113.863,115.42200000000001,116.264,116.74700000000001,123.10600000000001,125.037,127.569,126.46700000000001,126.061,124.383
CUURD000SAC      ,CUURD000SAC      ,"Commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,68.8,76.4,85.4,92.9,97.1,99.6,103.2,105.2,103.6,106.2,110.3,115.5,121.5,124.9,126.7,129.0,131.0,134.1,137.8,139.7,139.6,142.7,147.7,148.5,147.2,149.2,153.6,160.7,164.4,168.074,175.863,170.518,176.722,187.28900000000002,191.205,191.68200000000002,193.415,187.041,184.6,186.44099999999997
CUURD000SACE     ,CUURD000SACE     ,"Energy commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,51.6,68.6,95.2,107.7,103.2,99.1,97.7,96.8,75.5,78.1,77.6,86.3,98.6,96.1,93.7,93.2,92.9,95.8,103.4,103.4,88.6,97.2,124.6,120.8,110.2,128.7,153.3,191.1,215.8,230.912,270.49,193.717,229.238,288.569,294.78,286.597,279.476,201.717,182.91099999999997,207.15400000000002
CUURD000SACL1    ,CUURD000SACL1    ,"Commodities less food in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,67.9,75.4,85.2,92.7,97.3,99.8,103.0,104.9,101.1,102.8,106.8,111.2,116.7,120.3,122.7,124.8,126.2,129.3,132.0,132.8,131.2,134.2,139.0,138.6,135.6,136.6,139.8,147.6,151.0,152.804,158.85399999999996,150.424,158.326,169.15900000000005,172.14,171.30700000000004,171.09400000000005,160.334,156.863,158.628
CUURD000SACL11   ,CUURD000SACL11   ,"Commodities less food and beverages in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,67.8,75.4,85.2,92.8,97.4,99.7,102.9,104.8,100.8,102.6,106.6,111.0,116.5,119.7,122.0,124.1,125.5,128.6,131.2,131.9,130.2,133.2,138.1,137.5,134.4,135.3,138.5,146.4,149.7,151.421,157.44899999999996,148.661,156.618,167.565,170.50099999999995,169.59099999999995,169.37900000000005,158.30100000000004,154.648,156.304
CUURD000SACL1E   ,CUURD000SACL1E   ,"Commodities less food and energy commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,70.9,76.5,82.8,89.2,95.7,99.9,104.4,107.1,108.4,110.5,115.5,119.2,123.4,128.3,131.8,134.4,136.3,139.5,141.3,142.2,143.1,145.2,145.9,146.2,144.4,142.0,141.2,143.4,143.2,142.82299999999995,143.265,146.361,149.567,151.748,154.001,154.58,155.874,156.58100000000005,155.85,154.217
CUURD000SAD      ,CUURD000SAD      ,"Durables in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,69.8,76.0,82.0,88.5,95.6,99.2,105.1,106.9,106.9,108.7,111.0,113.0,114.3,116.3,118.9,121.2,124.7,129.1,130.4,129.5,127.7,126.3,126.1,124.4,120.8,117.6,116.2,118.0,116.5,114.69200000000001,113.955,113.696,116.26100000000001,118.365,119.321,119.505,119.094,118.82700000000001,116.41,113.869
CUURD000SAE      ,CUURD000SAE      ,"Education and communication in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,100.2,100.1,101.3,104.5,107.9,110.0,112.8,115.1,119.2,123.098,126.875,130.541,133.314,136.803,140.942,143.597,145.649,146.593,147.079,143.666
CUURD000SAEC     ,CUURD000SAEC     ,"Education and communication commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.54299999999999,96.20200000000001,93.11,91.361,92.262,90.708,88.462,87.825
CUURD000SAES     ,CUURD000SAES     ,"Education and communication services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.19,104.399,108.251,110.706,112.345,113.365,114.109,111.221
CUURD000SAF      ,CUURD000SAF      ,"Food and beverages in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,71.3,79.1,86.0,93.2,96.9,99.4,103.7,105.7,108.2,112.3,116.8,123.2,130.2,133.9,134.6,137.4,140.8,143.8,149.4,153.8,156.8,160.3,165.3,169.1,171.8,176.2,183.3,188.3,192.8,201.00599999999997,212.99599999999998,217.267,218.172,226.701,233.267,237.28099999999998,243.84799999999998,249.238,249.77,251.968
CUURD000SAF1     ,CUURD000SAF1     ,"Food in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,71.3,79.1,86.1,93.3,96.9,99.3,103.8,105.6,108.1,112.4,117.0,123.5,130.6,133.6,134.0,136.8,140.2,143.2,148.9,153.4,156.4,159.9,164.9,168.6,171.3,175.7,182.9,188.0,192.4,200.843,213.183,217.25,217.887,226.692,233.364,237.438,244.396,249.94799999999998,250.225,252.15200000000002
CUURD000SAF11    ,CUURD000SAF11    ,"Food at home in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,73.8,82.0,88.3,94.8,97.8,99.0,103.1,103.8,106.0,110.3,114.7,121.9,129.4,132.0,131.4,134.3,137.8,140.9,147.1,151.4,154.3,157.8,162.4,166.5,167.9,172.1,179.8,183.5,186.6,196.058,209.72299999999998,211.02,211.729,222.199,228.451,230.75099999999998,237.83,241.736,237.718,236.922
CUURD000SAF116   ,CUURD000SAF116   ,"Alcoholic beverages in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,72.0,78.0,85.1,90.9,95.5,100.7,103.9,107.2,110.4,112.1,114.9,118.9,124.7,138.7,142.6,146.6,149.7,151.9,157.2,160.4,161.0,164.4,170.5,176.1,179.0,183.9,189.2,192.2,197.3,202.905,209.75,217.047,222.15,226.325,231.11,234.044,234.173,236.97,241.16400000000002,247.135
CUURD000SAG      ,CUURD000SAG      ,"Other goods and services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,63.1,68.4,75.2,82.3,92.0,101.2,106.8,112.4,118.8,124.7,133.0,142.4,154.6,167.5,177.4,185.7,189.0,198.6,208.6,219.4,236.4,260.7,273.4,285.6,295.9,301.4,307.7,318.0,329.4,340.105,354.361,387.689,406.725,417.338,429.088,438.842,446.594,454.106,470.33,479.608
CUURD000SAGC     ,CUURD000SAGC     ,"Other goods in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.67399999999999,104.015,106.26100000000001,107.535,109.061,110.67200000000001,113.68,114.84200000000001
CUURD000SAGS     ,CUURD000SAGS     ,"Other personal services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.565,104.637,108.465,112.38799999999999,114.854,117.088,122.73200000000001,126.762
CUURD000SAH      ,CUURD000SAH      ,"Housing in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,62.8,69.9,79.2,87.9,97.6,99.5,102.9,106.2,108.4,110.3,113.3,116.4,121.8,125.8,128.7,132.5,136.6,141.6,147.1,150.1,152.6,154.8,158.3,162.5,164.5,167.2,169.7,174.5,181.1,186.055,193.334,194.96900000000002,193.78599999999997,195.985,200.196,203.64700000000002,209.206,214.951,220.458,225.889
CUURD000SAH1     ,CUURD000SAH1     ,"Shelter in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,60.0,68.1,78.3,87.0,98.2,98.9,103.0,107.4,112.3,115.6,119.7,124.3,130.9,136.0,139.8,145.5,151.1,158.9,165.6,169.8,173.5,177.1,180.3,184.0,188.0,190.8,192.6,196.4,203.0,209.44099999999997,215.74400000000003,218.321,216.94,218.856,224.75,228.55599999999998,235.301,244.649,253.855,261.633
CUURD000SAH2     ,CUURD000SAH2     ,"Fuels and utilities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,61.8,67.5,76.2,86.3,94.3,100.8,104.9,107.3,104.1,103.8,104.7,106.3,111.2,114.1,116.2,118.3,121.0,121.6,126.5,128.2,130.9,131.9,139.4,149.5,148.1,155.4,161.7,175.3,190.0,195.872,213.794,209.96400000000003,210.957,218.83599999999998,219.86700000000002,225.945,234.855,233.733,233.24,238.03900000000002
CUURD000SAH21    ,CUURD000SAH21    ,"Household energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,57.2,65.2,76.4,87.7,94.6,101.6,103.8,103.6,97.0,96.4,96.9,96.9,100.3,101.2,102.8,104.2,105.6,104.9,108.6,109.8,109.8,109.7,117.1,127.2,124.7,131.4,136.8,149.9,164.3,168.81099999999995,185.076,177.957,177.225,183.90599999999998,182.949,186.47400000000002,194.282,191.18099999999998,188.679,192.42
CUURD000SAH3     ,CUURD000SAH3     ,"Household furnishings and operations in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,74.1,79.0,85.3,92.4,98.0,100.2,101.8,103.7,105.5,106.4,109.2,110.0,112.7,115.1,116.1,116.6,118.2,120.7,123.9,125.1,123.8,123.0,123.3,123.2,122.3,120.4,122.1,122.9,123.2,122.928,126.575,129.132,126.652,125.727,127.075,127.54700000000001,127.012,126.565,124.895,123.615
CUURD000SAH31    ,CUURD000SAH31    ,"Household furnishings and supplies in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20299999999999,97.177,98.10700000000001,98.37799999999999,97.50399999999999,96.441,94.45700000000001,93.084
CUURD000SAM      ,CUURD000SAM      ,"Medical care in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,60.2,66.1,74.3,82.7,92.4,100.8,106.8,112.5,121.4,129.6,136.5,146.1,160.2,173.6,185.2,195.4,205.4,215.7,222.5,228.7,236.3,245.0,251.8,263.7,277.0,287.7,302.0,317.3,329.8,342.898,355.086,366.07,377.10699999999997,388.389,401.899,412.876,424.55699999999996,437.629,454.773,461.45099999999996
CUURD000SAM1     ,CUURD000SAM1     ,"Medical care commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,64.6,68.9,75.9,83.7,92.4,100.3,107.4,115.6,123.0,129.7,139.3,148.8,160.2,176.4,186.0,194.5,200.0,204.2,209.7,214.4,220.2,230.1,235.2,245.6,253.9,257.4,265.2,273.8,283.7,286.767,298.275,308.51599999999996,317.918,327.666,327.087,319.528,335.9380000000001,351.756,361.028,373.121
CUURD000SAM2     ,CUURD000SAM2     ,"Medical care services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,59.4,65.5,74.0,82.5,92.4,100.9,106.7,112.0,121.0,129.5,135.7,145.3,160.2,172.9,185.0,195.6,206.9,218.9,226.0,232.6,240.8,248.9,256.3,268.7,283.9,297.3,314.1,332.0,345.4,362.319,374.75300000000004,385.9,397.491,409.277,428.666,447.45599999999996,456.772,468.38800000000003,488.543,492.95099999999996
CUURD000SAN      ,CUURD000SAN      ,"Nondurables in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,67.9,76.4,87.3,95.3,97.7,99.8,102.6,104.5,102.4,105.3,110.2,116.6,124.4,128.3,129.8,132.1,133.6,136.2,140.8,143.8,144.4,149.6,157.1,159.1,159.2,163.9,171.3,181.2,187.9,194.829,207.773,199.328,207.615,223.204,228.74,229.372,232.334,222.543,220.293,225.138
CUURD000SANL1    ,CUURD000SANL1    ,"Nondurables less food in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,64.8,73.9,88.3,97.0,98.3,100.1,101.5,103.5,97.2,98.9,103.9,110.1,118.5,123.0,125.3,127.3,127.4,129.6,133.2,135.1,133.6,140.3,149.7,150.3,148.2,153.1,160.7,174.1,182.5,188.201,201.476,184.25400000000002,197.69,217.515,222.31900000000002,220.53400000000002,220.64700000000002,199.433,195.36700000000002,202.424
CUURD000SANL11   ,CUURD000SANL11   ,"Nondurables less food and beverages in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,64.4,73.7,88.5,97.3,98.5,100.2,101.4,103.3,96.6,98.3,103.5,109.7,118.3,122.3,124.6,126.3,126.3,128.5,132.0,133.9,132.2,139.1,148.5,149.0,146.8,151.7,159.4,173.4,182.1,187.74099999999999,201.40400000000002,182.919,196.785,217.31,222.106,220.125,220.271,197.834,193.373,200.517
