index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CUUS0000SAT      ,CUUS0000SAT      ,"Transportation in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.8,104.6,105.9,107.0,103.7,100.9,103.9,106.9,107.4,110.0,113.5,114.7,117.4,123.7,123.5,124.2,125.2,127.9,129.5,131.2,132.5,136.1,138.9,139.3,142.2,143.9,144.7,143.9,141.9,141.2,142.1,146.7,152.2,154.5,156.1,152.4,151.4,154.3,158.1,157.0,161.5,164.7,169.3,178.5,181.4,180.4,182.31099999999998,187.053,198.701,192.398,172.94099999999997,185.56400000000002,192.271,194.521,211.484,213.248,217.715,216.96,218.49099999999999,216.333,219.24400000000003,212.63400000000001,199.804,198.33,193.855,195.93200000000002,200.732,202.398,210.013,211.31400000000002,209.708,210.429,200.112,202.55700000000002,220.06400000000002
CUUS0000SAT1     ,CUUS0000SAT1     ,"Private transportation in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.7,104.4,105.6,106.7,102.8,99.6,102.6,105.8,106.3,108.9,112.4,113.5,115.7,121.9,121.3,122.5,123.2,126.0,126.9,128.2,129.3,133.5,136.1,136.4,139.4,140.7,141.4,140.6,138.3,137.6,138.2,142.8,148.0,150.2,152.0,148.1,147.2,150.4,154.3,152.9,157.7,161.1,165.7,174.7,177.5,176.4,178.472,183.084,194.597,187.481,168.43400000000003,181.09099999999998,187.757,189.737,206.763,208.518,213.137,212.36700000000002,213.422,211.37599999999998,214.204,207.783,194.28799999999998,193.109,188.101,190.90200000000002,195.42700000000002,197.843,205.544,207.34,205.34400000000002,206.205,196.858,200.46400000000003,218.265
CUUS0000SATCLTB  ,CUUS0000SATCLTB  ,"Transportation commodities less motor fuel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.766,101.48899999999999,103.417,105.71600000000001,106.147,106.103,106.471,106.63600000000001,106.632,106.29700000000001,106.647,106.225,106.51899999999999,105.01,105.166,103.404,104.25200000000001,103.98,105.09200000000001,104.57700000000001,104.615,108.395,114.384
CUUS0000SETA     ,CUUS0000SETA     ,"New and used motor vehicles in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,,,,,,,,,,,,,,,,,,,90.8,92.8,94.4,96.7,99.2,99.6,101.0,101.0,101.4,99.7,100.0,100.2,99.9,100.4,100.7,101.0,101.8,100.8,99.7,98.8,97.7,95.2,94.1,94.3,95.7,95.5,96.0,95.2,94.34200000000001,94.264,94.16799999999999,92.414,92.37799999999999,94.595,96.932,97.366,98.821,100.71799999999999,100.68,100.527,100.819,101.042,100.95,100.641,100.969,100.538,100.902,99.516,99.57600000000001,98.18,99.12799999999999,99.132,99.715,99.19200000000001,98.88600000000001,102.473,108.155
CUUS0000SETA01   ,CUUS0000SETA01   ,"New vehicles in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.1,103.2,105.5,106.6,109.2,112.0,113.7,115.0,115.9,117.1,119.3,119.1,121.5,121.3,125.8,126.2,129.0,129.4,132.1,133.4,136.8,138.4,140.9,141.0,143.5,143.9,145.0,143.5,143.9,143.0,143.4,142.3,143.2,142.3,142.8,141.5,140.7,139.3,138.7,137.0,137.7,136.4,139.1,136.8,138.5,136.7,136.875,135.634,135.532,132.855,134.636,136.611,138.27,137.741,141.159,142.608,144.234,144.23,146.001,145.566,146.358,146.192,147.509,146.761,147.79,146.92600000000004,148.356,145.629,146.585,145.988,147.498,146.17,147.253,147.94799999999995,150.849
CUUS0000SETA02   ,CUUS0000SETA02   ,"Used cars and trucks in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,110.1,114.9,115.0,112.4,110.0,107.6,110.2,116.0,116.6,119.4,120.8,120.1,117.3,117.9,116.1,120.2,118.5,127.8,129.1,138.7,136.4,146.9,155.5,157.4,157.5,156.6,153.9,148.3,148.8,152.4,149.2,154.9,154.2,157.4,159.7,157.7,152.9,151.1,148.2,137.7,131.1,135.5,138.3,140.6,140.3,139.7,134.691,136.80200000000002,136.795,131.108,122.824,131.121,141.407,144.85,145.945,152.076,150.465,150.196,148.958,150.815,149.64,148.548,147.224,147.015,145.648,141.329,139.369,137.149,138.53,138.24,139.797,139.72899999999998,138.15200000000002,150.29,166.798
CUUS0000SETA03   ,CUUS0000SETA03   ,"Leased cars and trucks in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2001.12=100,2018-S01,2020-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.37799999999999,89.969,87.87899999999998,86.015,85.369,,
CUUS0000SETA04   ,CUUS0000SETA04   ,"Car and truck rental in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.085,131.358,120.96799999999999,133.977,116.185,140.437,174.83700000000005
CUUS0000SETB     ,CUUS0000SETB     ,"Motor fuel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,98.4,97.3,97.3,100.0,83.7,70.5,77.3,83.2,79.6,82.2,87.7,89.4,91.6,110.8,99.9,98.9,96.4,101.7,98.6,97.4,94.8,102.2,100.7,99.3,105.3,107.3,106.8,105.7,94.0,90.3,92.7,108.7,126.4,132.3,133.4,116.0,111.1,122.1,136.1,135.4,155.0,165.8,177.4,214.0,223.0,219.1,229.862,248.278,293.723,265.582,181.38400000000001,222.572,237.632,240.72400000000002,303.789,301.448,315.89599999999996,309.423,309.81,297.889,306.8590000000001,278.012,216.768,209.356,181.87900000000002,194.9,207.618,217.824,239.50599999999997,244.217,230.99599999999998,235.472,196.38099999999997,194.102,244.584
CUUS0000SETB01   ,CUUS0000SETB01   ,"Gasoline (all types) in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,98.3,97.2,97.2,100.0,83.5,70.4,77.2,83.1,79.5,82.2,87.6,89.3,91.3,110.6,99.7,98.8,96.2,101.7,98.5,97.0,94.3,102.1,100.5,99.1,104.9,106.8,106.2,105.3,93.4,89.8,92.2,108.1,125.7,131.5,132.7,115.3,110.5,121.5,135.5,134.8,154.4,165.0,176.5,212.9,221.9,218.0,228.829,247.08900000000003,291.726,263.187,180.731,222.37900000000002,237.15400000000002,240.035,303.033,300.3540000000001,314.785,308.154,308.594,296.56,305.33099999999996,276.447,215.554,208.46,181.166,194.03799999999998,206.713,216.826,238.34,242.857,229.72,234.287,195.072,193.188,243.583
