index,Index,Label,unit,start,last,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURA210SACL11   ,CUURA210SACL11   ,"Commodities less food and beverages in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,59.8,63.1,71.7,82.6,90.3,94.7,101.1,104.3,105.3,102.5,106.1,108.0,113.2,119.9,124.0,125.6,127.9,131.1,132.2,133.2,133.9,134.2,134.4,139.4,140.5,136.5,136.3,140.5,147.4,147.6,151.378,158.725,149.345,156.227,166.032,170.197,168.722,167.435,158.97899999999996,156.128,156.105
CUURA210SAD      ,CUURA210SAD      ,"Durables in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,40.5,41.3,42.9,43.6,44.6,45.6,48.0,52.7,54.7,57.0,60.8,69.6,80.0,86.8,91.6,101.2,107.1,107.4,108.4,108.6,110.5,111.5,113.9,117.1,118.1,119.7,122.7,123.9,123.1,123.8,124.3,122.3,122.2,120.9,117.0,113.6,113.6,114.4,112.7,112.822,113.039,111.181,109.95100000000001,111.82600000000001,112.431,111.19,110.251,110.29299999999999,108.289,104.819
CUURA210SAE      ,CUURA210SAE      ,"Education and communication in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,99.5,99.0,100.7,103.2,104.6,105.8,107.1,108.6,110.17299999999999,111.72,113.274,115.62700000000001,118.29299999999999,120.163,123.43299999999999,125.68700000000001,125.6,126.709,124.554
CUURA210SAEC     ,CUURA210SAEC     ,"Education and communication commodities in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.288,98.286,97.175,93.985,94.719,88.488,88.281,79.946
CUURA210SAES     ,CUURA210SAES     ,"Education and communication services in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.12299999999999,102.948,104.837,108.26700000000001,110.365,110.98200000000001,112.13,111.056
CUURA210SAF      ,CUURA210SAF      ,"Food and beverages in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,66.4,72.1,79.6,85.6,93.2,96.3,99.8,103.9,106.2,107.6,111.3,116.4,124.0,130.6,135.4,136.1,139.7,144.4,148.9,154.2,158.1,163.3,169.5,172.9,176.5,180.1,183.6,187.8,192.8,197.7,203.99099999999999,214.53,219.666,221.97799999999998,231.56900000000002,238.699,241.16299999999998,246.00900000000001,250.428,249.703,250.236
CUURA210SAF1     ,CUURA210SAF1     ,"Food in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1914-M12,2017-M13,10.2,11.5,15.2,16.8,19.0,21.8,16.0,14.7,15.6,15.3,16.7,17.5,16.6,16.4,16.5,15.6,12.5,10.4,10.3,11.4,12.6,12.7,13.1,12.4,12.1,12.2,13.5,15.8,17.9,17.8,18.0,20.6,25.1,27.5,26.2,26.6,29.5,30.2,29.0,29.1,28.6,28.9,29.8,30.8,30.0,30.5,30.5,30.5,30.8,30.9,31.7,33.5,33.7,35.3,37.2,39.5,40.0,41.5,47.8,54.2,59.2,62.6,66.0,71.9,79.5,85.5,93.0,96.2,99.7,104.0,106.2,107.5,111.3,116.6,124.3,131.2,135.3,135.9,139.7,144.8,149.6,155.1,159.2,165.0,171.4,174.7,178.6,182.5,186.2,190.5,195.7,200.5,207.123,218.24,223.514,225.632,236.144,243.731,246.09,251.149,255.68,254.50099999999998,254.548
CUURA210SAF11    ,CUURA210SAF11    ,"Food at home in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1953-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,30.7,29.9,30.1,31.0,32.2,31.1,31.5,31.4,31.4,31.6,31.6,32.5,34.4,34.3,35.8,37.8,40.2,40.4,42.0,49.0,55.5,60.4,63.8,67.0,73.9,82.1,87.3,94.3,97.2,99.9,102.9,105.0,105.7,109.8,112.3,121.0,128.3,132.4,131.4,135.0,139.7,144.2,150.2,154.4,160.3,167.6,171.2,173.4,177.5,180.9,184.0,189.7,193.0,198.486,211.519,217.273,219.477,232.638,239.938,240.84599999999998,245.672,248.282,243.38099999999997,240.919
CUURA210SAF116   ,CUURA210SAF116   ,"Alcoholic beverages in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,71.7,74.8,80.8,86.2,97.9,98.0,100.6,101.4,104.9,109.4,112.0,114.9,121.0,124.6,136.3,139.4,140.9,141.1,143.1,145.7,147.2,146.3,150.4,154.2,155.8,154.6,155.4,159.3,161.0,165.9,169.204,173.767,177.577,181.94099999999997,180.737,182.572,186.19400000000002,188.49,191.636,195.265,200.206
CUURA210SAG      ,CUURA210SAG      ,"Other goods and services in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,61.8,65.9,71.1,76.7,84.9,92.8,100.6,106.7,111.5,117.0,123.8,133.1,141.0,149.6,160.1,170.2,180.3,184.3,190.0,193.0,204.6,217.4,230.6,245.0,264.5,278.9,281.3,291.0,305.3,319.9,327.725,333.05,363.224,377.209,381.211,393.353,398.67800000000005,403.345,411.095,416.455,414.645
