index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
WDU081101                     ,WDU081101                     ,"PPI Commodity data for Lumber and wood products-Douglas fir, dressed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2003-M13,26.8,30.6,26.7,33.0,36.1,35.7,32.9,33.5,36.6,36.4,32.8,32.2,36.7,33.5,32.2,33.1,34.4,35.0,34.7,36.4,37.6,45.2,49.5,40.8,52.7,60.5,78.7,80.3,79.6,94.2,109.5,127.6,144.2,132.6,117.1,100.0,135.8,123.2,126.5,124.5,125.1,135.7,151.6,138.4,139.6,169.5,237.6,236.2,198.8,227.1,221.3,186.1,212.1,185.2,178.1,178.5,176.7,,,,,,,,,
WDU08110101                   ,WDU08110101                   ,"PPI Commodity data for Lumber and wood products-Flooring, C and Better. . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1971-M13,56.7,70.9,65.8,68.0,75.8,71.4,72.7,73.8,76.4,77.1,73.2,67.6,75.9,76.7,72.8,72.0,79.0,90.1,92.6,98.3,100.0,97.8,125.5,135.0,141.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110102                   ,WDU08110102                   ,"PPI Commodity data for Lumber and wood products-Finish, C and Better, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1972-M03,1972-M13,,,,,,,,,,,,,,,,,,,,,,,,,,106.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110103                   ,WDU08110103                   ,"PPI Commodity data for Lumber and wood products-Drop siding,C and Better, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1975-M03,59.5,74.2,71.5,77.7,82.8,80.3,81.3,82.3,84.5,83.8,81.8,78.2,85.3,84.6,80.4,81.8,87.6,95.6,96.2,100.0,100.0,98.8,126.1,128.5,130.6,149.2,193.6,255.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110105                   ,WDU08110105                   ,"PPI Commodity data for Lumber and wood products-Dimension,construction,dried, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,74.9,84.3,74.9,91.6,99.0,101.8,94.2,95.0,104.6,104.1,95.4,93.2,102.9,97.3,93.9,94.4,95.5,96.6,97.8,100.4,100.0,126.3,132.2,107.3,143.5,174.7,219.3,192.3,192.4,231.9,279.0,306.8,337.4,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110107                   ,WDU08110107                   ,"PPI Commodity data for Lumber and wood products-Dimension, Std. and Better, S-green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,77.0,82.6,69.7,92.1,101.4,101.6,89.4,93.6,103.2,102.0,89.5,88.1,102.4,94.5,91.7,93.1,94.5,92.9,93.1,96.9,100.0,130.8,133.3,106.3,147.8,177.6,229.1,203.3,207.4,253.4,309.3,343.2,380.8,298.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110109                   ,WDU08110109                   ,"PPI Commodity data for Lumber and wood products-Boards,construction,dried . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,83.8,90.2,78.6,97.3,105.0,105.3,100.2,97.2,101.8,99.4,89.3,88.7,101.1,91.1,82.5,86.4,90.6,91.9,88.8,95.8,100.0,113.7,132.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110111                   ,WDU08110111                   ,"PPI Commodity data for Lumber and wood products-Boards, Std. and Better, S-green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,83.9,87.9,74.0,96.0,105.1,102.7,94.2,92.1,101.2,100.3,85.2,85.5,107.8,90.2,79.6,84.9,89.4,88.7,83.8,96.5,100.0,113.7,125.6,94.4,112.8,129.8,186.2,159.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110113                   ,WDU08110113                   ,"PPI Commodity data for Lumber and wood products-Timbers,construction,green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1979-M13,62.1,69.2,62.3,78.7,94.5,91.8,77.4,79.4,92.2,99.1,87.4,81.2,94.4,92.9,85.1,86.7,88.2,90.8,93.2,98.2,100.0,120.2,148.1,130.2,157.1,178.8,267.7,288.1,258.6,301.3,339.7,407.6,486.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110115                   ,WDU08110115                   ,"PPI Commodity data for Lumber and wood products-Dimension, Utility, S-green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,85.1,99.3,71.1,104.7,102.8,108.5,95.2,100.9,113.5,103.7,85.6,97.4,109.5,84.5,85.8,91.1,93.8,88.1,85.7,87.9,100.0,143.8,136.6,84.8,160.1,187.1,240.8,174.0,186.3,233.9,281.5,340.9,343.7,298.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
