index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDUDUR0110                    ,WDUDUR0110                    ,"PPI Commodity data for Durability of product-Total durable goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,21.5,23.7,24.2,25.2,27.6,27.7,28.3,28.5,29.7,31.6,32.7,33.0,33.7,33.7,33.6,33.5,33.5,33.9,34.4,35.1,35.8,37.1,38.6,40.3,41.9,43.4,45.8,53.8,59.4,63.1,67.4,73.4,81.3,90.1,96.7,100.0,102.8,105.2,106.6,107.5,109.9,114.7,119.0,121.2,122.9,124.4,126.8,130.0,133.9,133.7,133.9,132.6,132.2,133.4,133.2,132.9,133.7,139.6,144.1,151.0,155.0,162.0,158.4,163.1,168.9,169.9,169.9,171.8,170.1,169.3,173.4,178.8
WDUDUR0120                    ,WDUDUR0120                    ,"PPI Commodity data for Durability of product-Total nondurable goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,28.3,30.3,27.6,28.8,32.3,30.8,29.8,29.7,29.1,29.3,30.1,30.6,30.2,30.3,30.2,30.3,30.2,30.0,30.7,32.0,31.7,32.3,33.4,34.5,35.5,37.3,44.4,53.2,57.6,59.6,62.9,67.2,76.7,89.6,99.1,100.0,100.1,102.5,100.6,94.8,97.5,101.1,107.1,112.2,111.7,112.0,113.2,113.6,118.1,123.1,122.9,118.6,120.5,131.5,134.0,129.5,141.0,151.5,166.8,174.4,184.9,208.6,182.9,199.6,223.3,224.6,226.8,228.7,203.7,195.3,206.6,217.2
WDUDUR0200                    ,WDUDUR0200                    ,"PPI Commodity data for Durability of product-Manufactured goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,24.7,26.7,25.8,26.8,29.7,29.1,29.0,29.2,29.6,30.7,31.7,32.0,32.3,32.4,32.2,32.3,32.2,32.4,32.9,33.8,34.2,35.1,36.3,37.7,38.9,40.3,44.1,52.6,58.5,61.2,64.9,69.8,78.2,89.3,97.7,100.0,101.0,103.5,104.0,101.7,104.4,109.1,114.3,118.1,119.0,120.1,121.8,123.8,128.9,130.5,130.7,129.0,130.1,135.2,135.8,134.8,138.5,145.4,153.9,161.4,167.7,181.9,171.4,180.8,195.6,198.6,199.1,200.2,189.1,184.9,191.6,200.6
WDUDUR0211                    ,WDUDUR0211                    ,"PPI Commodity data for Durability of product-Durable manufactured goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,21.2,23.4,24.0,24.9,27.3,27.4,28.0,28.4,29.4,31.3,32.5,32.9,33.6,33.6,33.4,33.4,33.4,33.8,34.2,35.0,35.7,37.0,38.5,40.1,41.8,43.3,45.5,53.1,59.2,62.8,67.2,73.2,80.8,89.6,96.4,100.0,102.7,105.0,106.5,107.5,109.6,114.1,118.3,120.7,122.7,124.3,126.7,129.6,133.2,133.3,133.5,132.6,132.4,133.5,133.4,133.1,133.5,138.2,142.6,148.1,151.3,157.4,155.7,158.2,162.7,164.4,164.9,166.8,166.7,166.1,169.0,173.8
WDUDUR0222                    ,WDUDUR0222                    ,"PPI Commodity data for Durability of product-Nondurable manufactured goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,28.1,30.0,27.5,28.6,32.1,30.6,30.0,30.1,29.8,30.2,30.9,31.1,30.9,31.1,31.0,31.0,31.0,30.9,31.6,32.6,32.6,33.1,34.1,35.3,36.1,37.4,42.8,52.1,57.6,59.4,62.6,66.3,75.4,89.1,99.1,100.0,99.4,101.9,101.3,96.0,99.2,104.1,110.2,115.2,115.2,115.8,117.0,118.2,124.6,127.4,127.6,125.2,127.6,136.2,137.4,136.3,143.3,152.6,165.5,175.0,184.1,206.3,187.2,203.6,229.1,233.5,234.0,234.3,211.0,202.9,213.8,227.2
WDUDUR0300                    ,WDUDUR0300                    ,"PPI Commodity data for Durability of product-Total raw or slightly processed goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,28.9,31.4,28.1,29.4,33.1,31.6,29.8,29.3,28.5,28.6,29.1,29.9,29.2,29.1,28.9,29.2,29.0,28.7,29.6,31.3,30.2,30.9,32.6,33.6,34.7,37.6,49.1,57.3,58.4,61.1,64.6,70.8,81.6,92.3,99.9,100.0,102.6,104.7,99.0,92.3,94.2,95.9,101.3,106.3,104.4,103.8,105.3,104.9,106.2,114.5,113.3,104.5,105.1,120.6,125.5,114.2,134.1,149.0,168.1,174.6,188.9,216.8,175.2,196.1,217.6,211.1,215.7,221.1,190.4,181.5,195.7,201.6
WDUDUR0313                    ,WDUDUR0313                    ,"PPI Commodity data for Durability of product-Durable raw or slightly processed goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,35.1,41.6,33.4,38.8,43.9,42.6,40.6,37.0,44.5,50.0,44.9,39.7,41.8,39.4,40.1,37.6,37.8,41.3,44.1,46.0,42.8,42.6,48.9,53.0,48.0,49.2,63.9,92.7,73.4,80.3,79.8,89.7,112.1,119.0,116.0,100.0,106.6,114.1,107.9,107.8,122.6,148.0,151.6,144.9,132.2,128.0,131.0,147.6,165.2,153.0,151.7,134.4,126.9,133.9,126.1,132.3,149.5,204.1,214.7,278.8,316.6,369.0,281.9,382.0,444.0,416.7,393.8,398.9,325.4,314.3,369.5,406.0
WDUDUR0324                    ,WDUDUR0324                    ,"PPI Commodity data for Durability of product-Nondurable raw or slightly processed goods, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2018-M13,28.6,30.9,27.9,29.0,32.7,31.1,29.2,28.9,27.8,27.7,28.5,29.5,28.6,28.6,28.4,28.8,28.6,28.1,29.0,30.7,29.6,30.3,32.0,32.8,34.1,37.1,48.4,55.8,57.7,60.1,63.8,69.8,80.1,90.9,99.0,100.0,102.4,104.2,98.5,91.5,92.9,93.4,98.9,104.5,103.0,102.5,104.0,102.8,103.2,112.6,111.4,103.1,104.1,120.1,125.5,113.3,133.4,146.4,165.9,169.6,182.7,209.3,169.9,186.9,206.4,201.0,207.2,212.7,184.1,175.3,187.2,191.6
