index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WDU021101                     ,WDU021101                     ,"PPI Commodity data for Processed foods and feeds-White pan bread, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2006-M06,20.6,22.4,21.9,22.7,25.4,25.4,26.2,28.0,29.2,30.0,30.6,31.3,32.5,33.2,33.8,33.9,34.2,33.9,34.1,36.6,37.7,38.3,39.1,41.2,42.8,43.9,48.6,59.8,65.0,65.8,66.8,72.2,80.3,89.4,96.4,100.0,103.7,106.4,110.8,112.8,113.9,122.1,133.3,139.1,143.6,152.2,158.5,159.2,165.1,171.6,175.0,176.0,179.6,193.9,206.8,210.5,214.7,215.1,218.7,,,,,,,,,,,,,,
WDU02110101                   ,WDU02110101                   ,"PPI Commodity data for Processed foods and feeds-Bread,white,Chicago . . . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1967-M01,1968-M13,,,,,,,,,,,,,,,,,,,,,100.0,103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU02110103                   ,WDU02110103                   ,"PPI Commodity data for Processed foods and feeds-Bread,white,New York. . . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1967-M01,1968-M13,,,,,,,,,,,,,,,,,,,,,100.0,101.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU02110104                   ,WDU02110104                   ,"PPI Commodity data for Processed foods and feeds-Bread,white,San Francisco . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1967-M01,1968-M13,,,,,,,,,,,,,,,,,,,,,100.0,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU02110106                   ,WDU02110106                   ,"PPI Commodity data for Processed foods and feeds-White pan bread, northeast, not seasonally adjusted, discontinued",Index base: 1982 = 100,1969-M01,1999-M06,,,,,,,,,,,,,,,,,,,,,,,40.0,41.7,42.8,43.8,48.7,60.5,,,65.9,,77.5,,95.0,100.0,107.2,110.3,115.8,115.8,114.9,125.1,136.9,143.9,148.1,152.6,158.2,156.6,154.4,159.1,165.1,170.2,,,,,,,,,,,,,,,,,,,,,
WDU02110107                   ,WDU02110107                   ,"PPI Commodity data for Processed foods and feeds-White pan bread, north central, not seasonally adjusted, discontinued",Index base: 1982 = 100,1969-M01,1999-M06,,,,,,,,,,,,,,,,,,,,,,,38.7,41.5,43.1,44.2,49.8,60.9,,,67.7,,83.1,91.0,96.9,100.0,102.7,106.8,111.7,112.7,115.3,127.7,141.3,151.6,159.8,172.7,184.0,186.4,188.9,205.0,209.6,209.0,,,,,,,,,,,,,,,,,,,,,
WDU02110108                   ,WDU02110108                   ,"PPI Commodity data for Processed foods and feeds-White pan bread, south, not seasonally adjusted, discontinued",Index base: 1982 = 100,1969-M01,1999-M06,,,,,,,,,,,,,,,,,,,,,,,41.8,44.0,46.3,47.5,51.9,62.8,67.7,67.9,68.0,73.5,81.8,91.9,97.8,100.0,102.6,104.6,106.2,109.3,111.1,115.4,126.0,127.9,129.4,135.0,138.6,139.0,146.7,155.7,157.0,157.1,,,,,,,,,,,,,,,,,,,,,
WDU02110109                   ,WDU02110109                   ,"PPI Commodity data for Processed foods and feeds-White pan bread, west, not seasonally adjusted, discontinued",Index base: 1982 = 100,1969-M01,1999-M06,,,,,,,,,,,,,,,,,,,,,,,35.6,36.6,38.0,38.9,42.5,53.2,59.9,63.4,64.6,68.6,77.5,88.0,95.7,100.0,102.1,103.5,109.8,114.2,115.2,122.2,130.9,136.4,141.9,154.0,159.1,160.4,178.0,171.4,174.2,173.8,,,,,,,,,,,,,,,,,,,,,
WDU02110111                   ,WDU02110111                   ,"PPI Commodity data for Processed foods and feeds-White pan bread, including frozen, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1,116.4,118.4,120.8,121.0,123.1,,,,,,,,,,,,,,
WDU0211020115                 ,WDU0211020115                 ,"PPI Commodity data for Processed foods and feeds-Breads made in retail bakeries, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,101.7,,,,,,
