index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WDU141102                     ,WDU141102                     ,"PPI Commodity data for Transportation equipment-Motor trucks and truck tractors, not seasonally adjusted, discontinued",Index base: 1982 = 100,1926-M01,1982-M13,19.6,18.0,16.7,17.3,16.0,15.0,14.6,13.3,13.7,13.2,13.2,13.9,15.3,15.3,15.9,16.5,17.3,17.3,17.8,19.6,21.0,23.2,25.4,26.4,26.1,28.2,29.0,28.7,28.4,29.5,31.8,33.5,34.9,35.6,34.7,34.7,34.5,34.2,34.2,34.5,34.7,35.4,36.6,37.6,39.4,42.0,42.9,43.6,48.5,54.0,58.3,62.9,68.5,74.6,82.3,93.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU14110271                   ,WDU14110271                   ,"PPI Commodity data for Transportation equipment-Trucks 10,000 lbs gvw and under, not seasonally adjusted, discontinued",Index base: 1982 = 100,1964-M01,1982-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,37.6,37.5,37.7,39.0,40.1,42.0,45.3,46.2,47.0,52.2,56.8,60.4,64.7,70.5,76.4,83.3,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU14110281                   ,WDU14110281                   ,"PPI Commodity data for Transportation equipment-Trucks 10,001 lbs gvw and over, not seasonally adjusted, discontinued",Index base: 1982 = 100,1964-M01,1982-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,31.5,31.9,32.9,34.0,35.0,36.2,38.4,39.2,39.8,44.4,50.7,56.1,61.2,66.8,73.4,82.3,92.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU141103                     ,WDU141103                     ,"PPI Commodity data for Transportation equipment-Buses and military vehicles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2004-M03,,,,,,,,,,,,,,,,,,,,,,22.8,23.4,25.2,25.4,26.2,26.6,27.1,27.2,27.5,29.0,31.3,32.5,33.3,33.2,33.5,33.5,33.5,33.5,33.5,33.9,34.6,35.9,37.0,38.5,39.8,40.5,40.8,44.9,54.2,58.4,61.2,68.2,,,,,,,,,,,,,,,,,,,,,,136.7,136.7,137.9,141.5,,,,,,,,,,,
WDU14110305                   ,WDU14110305                   ,"PPI Commodity data for Transportation equipment-Buses and military vehicles, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1991-M07,2004-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4,137.4,138.6,142.2,,,,,,,,,,,
WDU14110681                   ,WDU14110681                   ,"PPI Commodity data for Transportation equipment-Trucks, over 10,000 lbs. gvw, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,107.6,112.2,115.2,118.3,123.1,128.2,132.8,137.9,138.4,134.4,136.3,140.3,141.7,141.3,145.7,147.6,,,,,,,,,,,
WDU14110682                   ,WDU14110682                   ,"PPI Commodity data for Transportation equipment-Trucks, truck tractors & bus chassis 14001 to 33000, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,108.7,,,,,,,,,
WDU14110683                   ,WDU14110683                   ,"PPI Commodity data for Transportation equipment-Trucks, truck tractors & bus chassis 33001 lb & more, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,106.0,,,,,,,,,
WDU141107                     ,WDU141107                     ,"PPI Commodity data for Transportation equipment-Truck tractors, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1984-M06,1987-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU14110791                   ,WDU14110791                   ,"PPI Commodity data for Transportation equipment-Truck tractors, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1984-M06,1987-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5,104.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU141108                     ,WDU141108                     ,"PPI Commodity data for Transportation equipment-Fire department vehicles, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,2004-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,104.5,106.1,108.1,113.3,117.7,124.1,,,,,147.0,153.6,159.3,,166.9,168.3,171.3,175.8,181.6,,,,,,,,,,,
WDU14110801                   ,WDU14110801                   ,"PPI Commodity data for Transportation equipment-Fire department vehicles, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,2004-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,153.6,159.3,,166.9,168.3,171.3,175.8,181.6,,,,,,,,,,,
WDU141203                     ,WDU141203                     ,"PPI Commodity data for Transportation equipment-Motor vehicle parts, new, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,99.8,100.2,101.0,103.2,104.7,107.0,108.4,109.6,110.2,110.9,111.4,113.0,113.2,112.5,111.8,111.0,110.6,110.3,110.0,108.8,,,,,,,,,,,
WDU14120331                   ,WDU14120331                   ,"PPI Commodity data for Transportation equipment-Motor vehicle parts, new, excl. motorcycle parts, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,100.2,101.0,103.2,104.6,107.0,108.5,109.6,110.2,110.9,111.3,113.0,113.2,112.4,111.7,111.0,110.5,110.3,109.9,108.8,,,,,,,,,,,
WDU14120335                   ,WDU14120335                   ,"PPI Commodity data for Transportation equipment-Motorcycle parts, new, not seasonally adjusted, discontinued",Index base: 1984.12 = 100,1984-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.4,105.2,105.2,105.7,107.4,112.3,117.2,118.2,119.8,126.8,129.4,134.0,135.5,136.2,138.3,136.7,136.9,137.3,,,,,,,,,,,
WDU141204                     ,WDU141204                     ,"PPI Commodity data for Transportation equipment-Motor vehicle parts, rebuilt, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,106.2,109.4,113.7,116.2,118.4,123.2,128.6,132.1,134.7,137.7,138.3,140.2,139.7,137.6,136.5,138.4,140.1,139.3,137.5,136.9,,,,,,,,,,,
WDU14120431                   ,WDU14120431                   ,"PPI Commodity data for Transportation equipment-Motor vehicle parts, rebuilt, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,,,,,,,,,134.7,137.7,138.3,140.2,139.7,137.6,136.5,138.4,140.1,139.3,137.5,136.9,,,,,,,,,,,
WDU141205043                  ,WDU141205043                  ,"PPI Commodity data for Transportation equipment-Motor vehicle brake parts and assemblies, rebuilt, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2015-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8
WDU14120509                   ,WDU14120509                   ,"PPI Commodity data for Transportation equipment-Motorcycle parts, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,101.9,102.1,102.4,105.5,106.2,106.1,107.1,108.9,110.4,
WDU141205127                  ,WDU141205127                  ,"PPI Commodity data for Transportation equipment-Motor vehicle mechanical air conditioning systems, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,100.1,99.8,100.5,99.6,,100.3,100.6,,,
WDU14120512B                  ,WDU14120512B                  ,"PPI Commodity data for Transportation equipment-Automotive air conditioning compressors (open type, with or without motor), not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2006-M07,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,101.0,100.0,101.3,101.2,,,
WDU14130102                   ,WDU14130102                   ,"PPI Commodity data for Transportation equipment-Truck bodies sold separately, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2000-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,107.0,109.6,112.3,115.0,120.3,126.2,128.1,130.4,132.3,132.9,137.8,145.5,149.5,152.3,154.1,155.7,157.0,,,,,,,,,,,,,,
WDU14130104                   ,WDU14130104                   ,"PPI Commodity data for Transportation equipment-Bus bodies sold separately, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2000-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,105.2,108.7,109.7,,112.9,116.6,117.3,120.7,121.6,121.6,123.8,,,130.6,132.9,133.1,143.6,,,,,,,,,,,,,,
WDU14130106                   ,WDU14130106                   ,"PPI Commodity data for Transportation equipment-Other vehicle bodies, incl truck cabs, beds and kits, not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2000-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,110.1,112.3,115.5,119.8,122.7,123.9,127.9,129.2,138.8,139.5,140.9,142.9,,,,,,,,,,,,,,
