index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WDU0411                       ,WDU0411                       ,"PPI Commodity data for Hides, skins, leather, and related products-Cattle hides, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2001-M06,64.5,64.3,52.9,62.0,75.4,35.9,35.3,28.0,28.5,29.5,27.1,27.9,48.4,33.5,36.2,36.5,26.0,24.1,33.3,42.8,28.5,26.6,34.2,30.4,32.3,69.4,76.9,55.1,51.8,78.1,85.8,111.2,169.3,104.6,104.5,100.0,109.8,143.8,126.1,147.7,179.9,205.8,213.1,217.8,173.4,171.4,180.2,200.9,209.9,186.5,196.1,153.6,141.9,169.4,,,,,,,,,,,
WDU041101                     ,WDU041101                     ,"PPI Commodity data for Hides, skins, leather, and related products-Cattle hides, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,2001-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,78.1,85.8,111.2,169.3,104.6,104.5,100.0,109.8,143.8,126.1,147.7,179.9,205.8,213.1,217.8,173.4,171.4,180.2,200.9,209.9,186.5,196.1,153.6,141.9,169.4,,,,,,,,,,,
WDU04110101                   ,WDU04110101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, native cow, light, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1980-M13,58.6,56.7,50.9,57.2,69.0,35.9,35.5,28.6,27.4,32.0,31.3,32.5,51.0,37.8,39.8,37.2,25.4,26.2,31.3,40.4,32.1,31.2,36.1,34.1,33.4,71.6,77.8,60.3,52.7,71.7,81.0,102.4,157.7,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04110102                   ,WDU04110102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, branded cow, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1988-M13,79.4,80.6,64.6,78.9,94.7,44.9,43.5,33.6,32.2,36.1,33.1,35.7,63.5,41.4,44.8,44.8,31.8,27.9,39.6,51.5,33.1,29.5,40.4,34.9,35.4,86.1,89.6,57.6,52.7,94.6,103.8,139.7,204.8,121.8,106.3,100.0,112.6,138.1,117.1,140.0,175.1,215.1,,,,,,,,,,,,,,,,,,,,,,,
WDU04110105                   ,WDU04110105                   ,"PPI Commodity data for Hides, skins, leather, and related products-Cattle hides, not seasonally adjusted, discontinued",Index base: 1988.12 = 100,1991-M07,1995-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,101.2,112.9,117.9,,,,,,,,,,,,,,,,
WDU04110106                   ,WDU04110106                   ,"PPI Commodity data for Hides, skins, leather, and related products-Cattle hides, including kip, not seasonally adjusted, discontinued",Index base: 1995.12 = 100,1995-M12,2001-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,110.7,86.8,79.8,95.3,,,,,,,,,,,
WDU04110111                   ,WDU04110111                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, native steer, heavy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M03,64.8,63.4,52.3,61.9,77.1,37.0,36.3,29.0,31.1,30.6,27.3,28.4,48.0,34.5,37.2,37.7,27.6,26.4,35.6,44.1,29.4,27.7,36.0,31.8,35.6,73.0,84.6,56.9,57.3,82.8,91.1,116.5,180.5,113.4,106.3,100.0,116.5,146.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04110112                   ,WDU04110112                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, Colorado steer, heavy, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,259.7,265.3,206.4,237.9,288.8,124.8,123.5,98.8,105.4,100.6,91.4,89.1,173.8,112.9,126.6,133.1,93.6,81.0,123.3,164.7,100.0,88.4,122.1,103.9,111.9,269.0,272.7,183.9,193.9,311.2,330.3,451.7,648.2,407.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04110114                   ,WDU04110114                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, butt brander, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1988-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,111.1,146.4,133.9,164.6,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04110116                   ,WDU04110116                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other cattle hides, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1988-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,100.0,108.7,146.0,125.7,144.5,178.4,203.6,,,,,,,,,,,,,,,,,,,,,,,
