index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WDU09110221                   ,WDU09110221                   ,"PPI Commodity data for Pulp, paper, and allied products-Bleached sulphite, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1983-M13,20.9,22.5,21.3,21.2,24.1,24.1,24.1,24.1,24.8,25.9,26.1,26.7,26.7,26.5,24.1,23.9,23.4,24.6,25.4,25.4,25.4,25.4,25.4,27.9,28.7,28.7,32.8,57.6,75.8,73.8,70.5,68.1,85.3,106.7,109.4,100.0,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110223                   ,WDU09110223                   ,"PPI Commodity data for Pulp, paper, and allied products-Sulfite and other woodpulp, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2006-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6,110.0,116.3,124.5,129.5,115.2,94.7,97.4,87.1,,,,,,,,,66.4,66.5,67.1,68.2,,,,,,,,,,,,,,
WDU091103                     ,WDU091103                     ,"PPI Commodity data for Pulp, paper, and allied products-Special alpha and dissolving woodpulp, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1997-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,70.9,74.7,76.2,75.3,77.8,90.4,97.5,100.0,96.1,97.5,96.7,96.2,98.6,111.4,132.4,136.7,124.8,118.7,115.0,111.3,155.0,153.0,,,,,,,,,,,,,,,,,,,,,,,
WDU09110301                   ,WDU09110301                   ,"PPI Commodity data for Pulp, paper, and allied products-Dissolving woodpulp 92-94 alpha, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1979-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,72.4,76.7,77.7,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110302                   ,WDU09110302                   ,"PPI Commodity data for Pulp, paper, and allied products-96-98 alpha, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1974-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110311                   ,WDU09110311                   ,"PPI Commodity data for Pulp, paper, and allied products-Special alpha and dissolving woodpulp, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,1997-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,122.4,118.5,114.8,159.8,157.8,,,,,,,,,,,,,,,,,,,,,,,
WDU091104                     ,WDU091104                     ,"PPI Commodity data for Pulp, paper, and allied products-Pulp, other than wood, inc pulp mill byprod, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,125.2,117.7,113.8,122.7,136.4,146.8,170.3,,,,158.2,207.5,186.6,179.3,182.0,185.6,200.6,181.3,174.2,189.2,203.3,216.5,,,,,,,,,,,,,,
WDU09110411                   ,WDU09110411                   ,"PPI Commodity data for Pulp, paper, and allied products-Other pulp, including byproducts, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,,,,,,146.8,,,,,158.2,207.5,186.6,179.3,182.0,185.6,200.6,181.3,174.2,189.2,203.3,216.5,,,,,,,,,,,,,,
WDU09120102                   ,WDU09120102                   ,"PPI Commodity data for Pulp, paper, and allied products-No. 1 news,avg. of 5 markets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,176.6,112.1,81.0,141.2,183.2,82.8,121.1,104.6,139.0,139.7,96.8,116.5,126.4,101.0,102.1,139.0,134.7,124.8,137.3,139.7,138.7,190.2,170.5,149.9,143.1,165.3,190.3,279.6,155.1,276.7,290.7,278.1,210.5,232.2,132.7,,,267.8,208.1,191.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120121                   ,WDU09120121                   ,"PPI Commodity data for Pulp, paper, and allied products-Northeast, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8,103.4,37.0,30.7,28.0,22.8,30.4,106.6,244.9,57.4,50.2,62.6,109.3,145.0,62.0,96.3,126.2,148.4,159.7,,,,,,,,,,,,,,
WDU09120122                   ,WDU09120122                   ,"PPI Commodity data for Pulp, paper, and allied products-North Central, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.1,115.8,65.1,54.8,47.6,42.0,48.9,105.3,198.9,24.2,18.1,25.9,37.1,76.8,44.0,56.7,65.5,84.4,79.8,,,,,,,,,,,,,,
WDU09120123                   ,WDU09120123                   ,"PPI Commodity data for Pulp, paper, and allied products-South, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5,119.6,87.4,72.4,71.3,79.5,80.4,131.3,285.5,74.6,74.9,89.0,110.3,175.5,116.7,161.6,155.9,204.3,201.4,,,,,,,,,,,,,,
WDU09120124                   ,WDU09120124                   ,"PPI Commodity data for Pulp, paper, and allied products-West, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5,110.8,67.0,57.2,74.3,64.2,69.1,109.8,216.4,90.8,92.8,96.7,121.2,180.4,128.2,138.1,143.6,147.9,145.0,,,,,,,,,,,,,,
WDU091202                     ,WDU091202                     ,"PPI Commodity data for Pulp, paper, and allied products-Mixed wastepaper, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,86.8,,,,73.3,110.5,123.3,158.4,144.5,156.7,134.1,,,173.0,147.2,129.0,153.1,168.7,115.3,86.9,64.1,64.5,90.2,211.7,518.9,119.2,105.6,170.4,398.4,825.7,204.4,414.3,561.0,754.0,660.2,563.1,821.4,804.4,407.4,788.4,837.9,745.7,747.1,640.5,,,,,
WDU09120205                   ,WDU09120205                   ,"PPI Commodity data for Pulp, paper, and allied products-No. 1 mixed,avg. of 5 markets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,272.0,137.0,79.3,208.8,315.6,92.1,157.6,133.9,192.5,202.3,68.3,92.8,163.3,127.7,,118.6,110.3,102.4,113.1,111.6,70.7,107.9,118.9,92.1,86.8,109.7,163.2,233.9,73.3,110.5,123.3,158.4,144.5,156.7,134.2,,,173.0,147.2,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120221                   ,WDU09120221                   ,"PPI Commodity data for Pulp, paper, and allied products-Northeast, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,103.1,65.8,14.8,10.1,8.8,9.5,41.3,297.6,221.3,193.4,320.3,760.9,1544.9,361.7,1048.3,1371.5,1868.6,1502.2,,,,,,,,,,,,,,
WDU09120222                   ,WDU09120222                   ,"PPI Commodity data for Pulp, paper, and allied products-North Central, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.7,141.0,99.5,93.0,65.2,53.4,72.2,218.5,493.4,42.4,41.4,50.0,113.5,253.2,96.0,160.4,212.2,323.4,306.9,,,,,,,,,,,,,,
WDU09120223                   ,WDU09120223                   ,"PPI Commodity data for Pulp, paper, and allied products-South, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3,115.2,78.7,74.0,65.7,90.9,131.7,218.2,455.1,89.9,87.8,158.0,203.9,827.4,236.3,503.0,766.3,865.9,741.9,,,,,,,,,,,,,,
WDU09120224                   ,WDU09120224                   ,"PPI Commodity data for Pulp, paper, and allied products-West, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8,129.9,92.8,80.7,52.0,,,235.3,450.6,103.7,111.8,95.2,204.8,478.5,298.1,361.2,387.5,450.5,430.3,,,,,,,,,,,,,,
WDU09120225                   ,WDU09120225                   ,"PPI Commodity data for Pulp, paper, and allied products-Mixed wastepaper, not seasonally adjusted, discontinued",Index base: 2006.06 = 100,2006-M06,2014-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2,144.2,73.0,141.3,150.2,133.6,133.9,114.8,,,,,
WDU09120311                   ,WDU09120311                   ,"PPI Commodity data for Pulp, paper, and allied products-Old corrugated boxes,avg. of 5 markets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,202.9,131.4,85.8,167.3,290.2,86.0,131.5,113.5,155.9,150.0,125.6,155.0,158.5,124.0,120.4,137.2,132.9,143.9,145.6,174.5,105.8,136.0,148.6,143.4,118.0,139.2,236.3,266.0,94.9,207.1,197.2,213.7,294.6,203.2,144.9,,,317.8,154.9,238.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120321                   ,WDU09120321                   ,"PPI Commodity data for Pulp, paper, and allied products-Northeast, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9,88.6,63.3,50.5,34.0,28.4,30.8,54.1,74.0,35.6,43.5,29.1,38.7,45.9,22.0,40.1,40.3,52.0,52.0,,,,,,,,,,,,,,
WDU09120322                   ,WDU09120322                   ,"PPI Commodity data for Pulp, paper, and allied products-North Central, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,95.6,66.4,64.2,74.4,68.5,69.9,168.2,284.6,121.1,182.2,131.8,132.6,164.7,85.0,141.3,153.1,217.4,199.5,,,,,,,,,,,,,,
WDU09120323                   ,WDU09120323                   ,"PPI Commodity data for Pulp, paper, and allied products-South, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.4,99.4,77.5,73.5,71.4,70.4,68.0,151.6,236.4,103.8,138.5,100.9,122.6,139.5,74.1,119.6,119.2,156.6,142.9,,,,,,,,,,,,,,
WDU09120324                   ,WDU09120324                   ,"PPI Commodity data for Pulp, paper, and allied products-West, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.2,94.4,67.9,65.6,72.6,51.4,43.7,98.8,152.3,,77.6,55.7,56.7,74.1,42.5,55.5,57.3,75.7,75.0,,,,,,,,,,,,,,
WDU091204                     ,WDU091204                     ,"PPI Commodity data for Pulp, paper, and allied products-.009 semi-chemical kraft clippings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,67.8,,,,71.6,111.7,112.2,119.5,178.7,173.6,149.9,,,169.1,111.3,153.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120415                   ,WDU09120415                   ,"PPI Commodity data for Pulp, paper, and allied products-Semi-chemical kraft clippings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,68.2,63.2,70.8,75.7,81.0,53.3,66.9,79.5,77.6,67.8,82.0,119.2,153.9,71.6,111.7,112.2,119.5,178.7,173.6,148.0,,,169.1,111.3,153.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU091205                     ,WDU091205                     ,"PPI Commodity data for Pulp, paper, and allied products-.009 mixed kraft clippings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1982-M09,,,,,,,,,,,,,,,,,,,,,,,,,64.7,,,,68.4,114.2,114.8,123.0,190.1,183.7,157.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120521                   ,WDU09120521                   ,"PPI Commodity data for Pulp, paper, and allied products-Mixed kraft clippings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1982-M09,,,,,,,,,,,,,,,,64.5,61.2,68.8,73.3,79.6,49.5,65.0,77.9,76.0,64.7,80.7,122.2,159.8,68.4,114.2,114.8,123.0,190.1,183.7,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU091206                     ,WDU091206                     ,"PPI Commodity data for Pulp, paper, and allied products-White news blanks, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,58.9,,,,79.7,132.6,133.2,127.3,132.9,155.0,148.0,,,160.8,92.7,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120625                   ,WDU09120625                   ,"PPI Commodity data for Pulp, paper, and allied products-White news blanks,avg. of 4 markets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,64.3,64.7,67.8,74.6,75.8,71.4,65.6,64.2,60.2,58.9,61.2,88.8,151.3,79.7,132.6,133.2,127.3,132.9,155.0,147.6,,,160.8,92.7,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09120721                   ,WDU09120721                   ,"PPI Commodity data for Pulp, paper, and allied products-Northeast, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6,123.1,124.5,103.8,82.6,79.9,74.9,75.0,80.2,42.1,40.5,40.5,50.2,67.0,43.9,47.0,56.2,61.7,59.5,,,,,,,,,,,,,,
WDU09120722                   ,WDU09120722                   ,"PPI Commodity data for Pulp, paper, and allied products-North Central, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,128.2,135.8,122.1,98.6,104.0,104.9,117.5,167.6,94.8,116.3,106.2,111.9,198.9,123.8,123.1,148.6,160.1,164.4,,,,,,,,,,,,,,
WDU09120723                   ,WDU09120723                   ,"PPI Commodity data for Pulp, paper, and allied products-South, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6,153.2,159.2,151.4,123.9,122.6,114.1,156.0,254.6,101.6,100.5,107.9,120.4,165.5,98.3,104.8,130.5,148.0,143.3,,,,,,,,,,,,,,
WDU09120724                   ,WDU09120724                   ,"PPI Commodity data for Pulp, paper, and allied products-West, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2006-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1,170.9,164.2,139.4,116.7,128.9,110.9,134.0,217.5,,183.6,173.7,184.4,255.1,164.8,170.2,194.5,213.3,219.3,,,,,,,,,,,,,,
WDU091208                     ,WDU091208                     ,"PPI Commodity data for Pulp, paper, and allied products-Wastepaper exports (all grades), not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2012-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9,128.8,113.9,101.2,91.2,90.0,83.3,124.4,223.1,89.6,105.8,84.6,116.4,157.3,88.2,119.4,124.1,160.7,169.5,169.3,271.6,290.6,232.7,,,,,,,,,,
WDU09120801                   ,WDU09120801                   ,"PPI Commodity data for Pulp, paper, and allied products-Wastepaper exports (all grades), not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1991-M07,2012-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,83.3,124.4,223.1,89.6,105.8,84.6,116.4,157.3,88.2,119.4,124.1,160.7,169.5,169.3,271.6,290.6,232.7,,438.5,,,,,,,,
WDU09130111                   ,WDU09130111                   ,"PPI Commodity data for Pulp, paper, and allied products-Uncoated groundwood, publishing and printing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1999-M10,26.8,28.2,28.3,28.5,30.7,32.5,32.5,32.5,33.0,34.0,35.7,36.2,36.8,37.2,36.9,36.8,36.8,36.8,36.8,36.9,36.9,36.8,37.2,,,,41.6,45.4,,,,,,,,100.0,96.2,101.4,103.0,103.3,107.7,115.3,118.7,117.4,117.2,110.8,111.1,104.2,117.2,97.4,104.0,101.0,,,,,,,,,,,,,,,,,,,,,
WDU09130112                   ,WDU09130112                   ,"PPI Commodity data for Pulp, paper, and allied products-Uncoated groundwood, excl. publishing and printing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M05,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,104.3,104.9,105.5,108.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09130113                   ,WDU09130113                   ,"PPI Commodity data for Pulp, paper, and allied products-No. 3 clay coated, 2-sides, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,58.4,63.4,68.6,75.9,82.4,88.0,95.2,100.0,101.7,110.6,115.6,115.3,116.9,124.2,129.9,130.2,128.6,123.2,123.2,125.8,154.7,155.2,153.5,153.3,,,,,,,,,,,,,,,,,,,,,
WDU09130115                   ,WDU09130115                   ,"PPI Commodity data for Pulp, paper, and allied products-No. 5 clay coated, 2-sides, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,57.1,60.6,67.9,75.1,81.4,91.1,98.5,100.0,96.7,112.1,122.4,116.1,108.3,125.6,129.6,127.0,121.8,118.5,123.3,124.5,152.0,,138.3,140.9,,,,,,,,,,,,,,,,,,,,,
WDU09130116                   ,WDU09130116                   ,"PPI Commodity data for Pulp, paper, and allied products-Coated, 2 sides, ex. no. 3 and no. 5 clay coated, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.1,112.3,118.0,116.4,117.4,126.3,131.7,132.1,130.2,126.9,126.7,128.8,161.6,154.0,148.2,150.0,,,,,,,,,,,,,,,,,,,,,
WDU09130117                   ,WDU09130117                   ,"PPI Commodity data for Pulp, paper, and allied products-Coated, 1 side, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.6,108.2,110.3,111.2,116.1,126.5,133.5,137.6,138.4,139.9,142.0,146.1,171.6,171.1,169.1,165.0,,,,,,,,,,,,,,,,,,,,,
WDU09130118                   ,WDU09130118                   ,"PPI Commodity data for Pulp, paper, and allied products-Clay coated printing and converting paper, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,101.4,97.9,98.7,100.1,111.4,115.9,116.2,131.1,126.9,122.7,129.6,,,,,,,,
WDU09130121                   ,WDU09130121                   ,"PPI Commodity data for Pulp, paper, and allied products-Book paper,A grade, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,53.8,57.6,60.1,62.1,68.5,71.9,72.8,73.4,76.1,81.1,83.7,84.8,86.6,89.7,90.2,91.5,91.3,93.0,94.0,97.9,100.0,101.7,104.6,109.4,110.7,109.0,112.4,140.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09130122                   ,WDU09130122                   ,"PPI Commodity data for Pulp, paper, and allied products-Offset uncoated book paper, not seasonally adjusted, discontinued",Index base: 1982 = 100,1957-M01,1999-M13,,,,,,,,,,,30.3,30.7,31.4,32.3,32.5,32.9,33.0,33.8,34.1,35.5,36.5,37.3,38.7,40.8,42.4,43.2,44.1,56.0,57.6,60.1,63.4,68.6,78.1,87.1,97.1,100.0,98.7,105.7,100.5,101.7,105.3,118.4,125.5,122.6,116.0,112.7,112.5,114.5,149.8,133.9,128.3,128.5,128.1,,,,,,,,,,,,,,,,,,,,
