index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
WDU101101                     ,WDU101101                     ,"PPI Commodity data for Metals and metal products-Iron ore, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,1989-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,61.3,66.8,69.9,77.8,87.8,96.3,100.0,101.2,101.2,97.5,91.5,84.2,82.8,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10110101                   ,WDU10110101                   ,"PPI Commodity data for Metals and metal products-Mesabi,Bessemer . . . . . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,,,,,,,,,53.2,57.9,68.7,73.5,78.9,82.0,91.6,93.9,95.5,102.9,107.9,108.3,108.3,108.3,108.3,102.2,100.8,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10110106                   ,WDU10110106                   ,"PPI Commodity data for Metals and metal products-Mesabi, regular-unscreened, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1984-M13,,,,,,,,,17.1,18.6,22.1,23.7,25.5,26.5,29.6,30.4,30.9,33.4,35.0,35.2,35.2,35.2,35.2,33.0,32.7,32.4,32.4,32.4,32.4,32.4,32.4,33.1,34.3,34.3,36.4,42.7,54.8,59.6,64.4,66.3,68.9,81.6,89.7,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10110112                   ,WDU10110112                   ,"PPI Commodity data for Metals and metal products-Brazilian, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1972-M13,,,,,,,,,,,,,,,,,,,,,,,111.0,111.0,111.0,102.6,102.6,102.6,100.0,92.2,92.2,92.2,92.2,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10110116                   ,WDU10110116                   ,"PPI Commodity data for Metals and metal products-Taconite sinter, not seasonally adjusted, discontinued",Index base: 1967 = 100,1967-M01,1975-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10110117                   ,WDU10110117                   ,"PPI Commodity data for Metals and metal products-Pellets, not seasonally adjusted, discontinued",Index base: 1982 = 100,1970-M01,1989-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,33.9,33.9,35.5,42.8,55.4,61.5,66.9,70.2,78.3,88.3,96.7,100.0,101.3,101.3,97.2,90.6,80.7,79.3,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101102                     ,WDU101102                     ,"PPI Commodity data for Metals and metal products-Ores, Great Lakes area, not seasonally adjusted, discontinued",Index base: 1989.12 = 100,1989-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.0,101.0,100.5,100.4,112.4,118.1,117.7,,,,,,,,,,,,,,,,,,,,
WDU10110201                   ,WDU10110201                   ,"PPI Commodity data for Metals and metal products-Pellets, intra-company transfers, Great Lakes area, not seasonally adjusted, discontinued",Index base: 1989.12 = 100,1989-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,101.0,101.0,100.5,100.3,114.4,120.9,120.4,,,,,,,,,,,,,,,,,,,,
WDU10110202                   ,WDU10110202                   ,"PPI Commodity data for Metals and metal products-Pellets, market sales, Great Lakes area, not seasonally adjusted, discontinued",Index base: 1989.12 = 100,1990-M10,1993-M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,100.9,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101103                     ,WDU101103                     ,"PPI Commodity data for Metals and metal products-Ores, all areas, excluding Great Lakes, not seasonally adjusted, discontinued",Index base: 1989.12 = 100,1991-M07,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7,101.5,102.8,103.4,109.5,109.5,,,,,,,,,,,,,,,,,,,,
