index,Index,Label,unit,start,last,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
EIUIH142                      ,EIUIH142                      ,"Monthly export price index for balance of payments H142, Air passenger fares, not seasonally adjusted",Index base: 2000=100,1986-M09,2021-M11,64.1,61.4,62.7,65.9,67.1,66.2,67.9,70.5,69.3,69.9,70.4,72.0,72.0,69.9,71.5,74.7,79.0,80.5,82.7,84.3,85.2,83.0,83.5,87.3,90.5,83.2,84.5,89.7,91.0,86.0,87.3,90.2,92.9,89.6,92.4,99.4,96.4,91.6,93.0,94.4,97.7,94.7,85.3,97.7,95.0,87.4,89.5,90.2,90.6,93.1,95.5,96.8,100.6,98.6,98.1,101.5,102.6,97.7,99.6,100.4,102.5,98.4,97.5,103.2,108.1,103.2,108.4,117.0,118.0,118.4,123.2,123.8,130.1,134.0,136.3,136.2,139.5,128.3,130.8,139.3,142.4,137.3,140.2,147.3,154.6,155.7,156.4,171.4,171.9,164.6,141.7,138.2,141.3,156.1,157.7,176.3,172.2,169.0,172.8,186.6,192.7,191.1,185.1,202.8,187.8,186.4,185.3,195.9,185.5,192.3,178.6,196.6,188.9,188.5,164.7,168.6,156.8,160.9,156.6,153.1,146.3,168.5,155.8,156.5,147.7,158.7,158.4,158.9,151.2,150.8,149.2,154.2,146.3,146.9,137.1,133.7,154.0,153.3,160.0,169.7,170.1
EIUIH1421                     ,EIUIH1421                     ,"Monthly export price index for balance of payments H1421, Air passenger fares, Europe, not seasonally adjusted",Index base: 2000=100,1994-M03,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,88.9,93.6,85.4,88.0,100.9,100.8,92.8,94.9,100.9,109.0,100.4,94.2,105.6,105.1,97.2,97.7,107.2,111.1,105.2,102.7,109.6,110.4,96.8,98.2,101.7,102.9,97.2,103.3,107.0,112.2,106.0,106.6,116.6,121.5,118.1,126.0,146.7,140.2,139.9,151.0,150.7,151.3,158.9,163.1,166.7,165.0,143.9,146.0,169.5,174.9,162.2,164.8,180.1,187.6,182.6,178.0,224.8,211.8,186.7,153.7,174.4,166.9,187.5,196.6,240.8,216.2,189.3,182.4,242.0,230.9,206.9,209.0,253.9,220.2,216.3,221.8,258.8,224.1,216.1,216.4,263.5,233.9,225.7,209.6,229.2,213.7,199.3,223.3,212.9,193.9,217.8,205.4,207.7,206.3,203.5,210.9,212.5,198.5,204.7,195.8,201.3,186.2,184.8,171.7,155.7,156.1,180.7,188.1,194.7,203.0
EIUIH14211                    ,EIUIH14211                    ,"Monthly export price index for balance of payments H14211, Air passenger fares, United Kingdom, not seasonally adjusted",Index base: 2002.12=100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.8,115.1,111.9,111.5,121.6,119.2,116.8,121.4,127.5,140.3,137.9,112.4,114.1,140.3,143.0,126.7,128.3,152.6,153.2,133.0,130.5,153.1,147.9,134.7,109.4,116.4,122.5,139.2,137.2,171.8,155.5,138.9,132.4,172.1,162.5,151.3,168.9,192.7,164.0,161.7,160.4,174.9,154.4,149.3,151.5,182.9,158.9,152.0,159.2,165.6,164.0,147.2,160.9,156.0,150.7,152.0,160.2,147.8,157.1,147.6,151.6,140.1,135.3,144.2,135.3,125.7,120.0,126.7,107.7,91.3,96.3,129.6,132.9,135.5,140.6
EIUIH14212                    ,EIUIH14212                    ,"Monthly export price index for balance of payments H14212, Air passenger fares, Other Europe, not seasonally adjusted",Index base: 2002.12=100,2002-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.7,133.9,125.9,125.8,134.5,136.6,140.1,148.5,149.4,142.0,141.6,131.9,133.8,147.0,153.6,148.7,151.3,157.9,167.9,173.2,168.3,219.0,204.4,177.7,147.1,171.0,157.8,176.4,189.5,230.2,206.1,178.9,173.0,231.1,221.2,195.8,190.7,237.2,207.1,203.2,210.6,250.8,216.0,208.1,207.6,253.4,226.3,218.8,195.5,217.4,198.7,187.7,212.1,201.1,179.3,209.0,189.2,198.0,191.8,192.7,200.3,209.5,193.7,197.6,190.8,203.5,184.4,178.1,170.8,158.6,154.3,165.6,177.4,184.7,194.3
EIUIH1422                     ,EIUIH1422                     ,"Monthly export price index for balance of payments H1422, Air passenger fares, Asia, not seasonally adjusted",Index base: 2000=100,1994-M03,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6,109.0,111.8,107.5,114.0,124.4,111.5,103.1,106.8,102.7,103.2,94.8,76.0,97.1,93.5,84.0,87.1,83.8,82.9,88.4,91.5,90.9,99.0,100.5,98.3,102.2,103.6,95.9,95.8,95.2,96.6,89.7,87.2,92.6,101.7,91.8,97.3,100.8,103.8,103.5,107.1,107.0,120.4,117.5,120.9,115.9,119.6,106.7,111.1,113.1,114.4,108.3,109.7,116.7,126.7,126.4,133.2,136.5,146.1,145.1,128.3,109.2,122.2,127.3,142.9,155.3,163.2,157.6,163.2,163.1,180.9,178.9,166.9,178.9,174.2,180.1,160.4,167.4,155.2,162.9,149.3,168.3,156.3,163.2,137.7,143.2,133.5,139.4,128.5,133.8,125.0,141.2,126.3,128.2,118.9,134.2,131.9,136.3,134.9,133.3,131.2,138.9,130.6,129.2,120.9,131.3,188.2,164.4,186.6,179.5,188.5
EIUIH14221                    ,EIUIH14221                    ,"Monthly export price index for balance of payments H14221, Air passenger fares, Japan, not seasonally adjusted",Index base: 2000=100,1994-M03,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1,104.5,108.2,103.2,110.8,121.7,107.3,97.5,102.0,96.0,96.4,87.2,72.2,96.1,92.5,82.4,87.2,80.5,79.2,86.4,90.4,88.3,98.9,101.6,98.3,102.4,104.0,95.3,95.1,93.4,95.1,86.4,83.9,89.2,99.2,88.9,96.4,98.9,104.6,101.2,107.5,105.7,118.8,115.7,119.7,120.2,123.9,104.8,112.9,116.3,117.4,109.4,107.8,110.7,126.2,125.8,137.1,145.1,161.4,153.4,137.8,113.6,132.3,133.2,152.1,157.3,173.9,155.9,163.9,166.3,208.7,204.5,198.4,192.2,201.3,195.4,175.7,163.4,166.2,172.8,162.1,181.8,174.0,166.4,138.7,135.4,140.4,151.0,139.8,135.8,143.8,155.6,151.4,143.1,138.8,155.2,165.4,160.3,170.4,178.7,176.8,179.0,173.7,176.9,162.2,151.6,163.4,189.6,200.8,213.3,228.5
EIUIH14222                    ,EIUIH14222                    ,"Monthly export price index for balance of payments H14222, Air passenger fares, Other Asia, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.9,123.3,104.6,110.4,95.0,116.2,113.9,109.2,94.5,120.6,110.6,114.8,102.5,125.0,102.7,108.6,97.8,117.3,102.8,105.4,92.1,107.6,93.5,95.8,82.9,93.3,80.8,93.2,77.8,79.5,72.3,83.9,74.7,83.5,77.3,71.9,70.1,78.5,71.2,67.9,64.0,77.6,138.7,101.7,122.8,108.5,113.3
EIUIH1424                     ,EIUIH1424                     ,"Monthly export price index for balance of payments H1424, Air passenger fares, Latin America/Caribbean, not seasonally adjusted",Index base: 2000=100,1986-M09,2021-M11,58.1,58.0,58.0,57.6,58.5,58.5,59.3,59.5,59.7,59.8,60.7,60.8,62.1,62.0,62.8,62.8,64.4,66.8,70.1,70.3,70.6,72.0,74.3,74.5,74.8,75.1,75.2,75.0,76.2,76.7,78.1,77.9,79.6,80.9,80.3,78.4,79.3,81.3,80.7,79.8,80.4,81.1,81.3,85.3,85.8,85.0,85.7,87.0,90.4,90.3,89.0,91.0,92.6,93.1,97.6,100.1,98.3,104.0,110.5,111.2,110.0,119.5,122.6,122.4,122.4,116.7,116.7,117.5,123.8,127.1,128.9,130.5,130.1,135.9,135.3,139.5,142.6,149.8,144.8,149.1,153.3,157.8,168.0,163.9,168.6,169.9,155.2,165.9,168.9,178.9,149.7,143.7,144.2,171.7,161.8,169.5,168.2,189.0,185.6,183.5,191.7,204.8,236.3,224.0,215.4,199.3,198.6,189.8,186.4,209.8,202.9,196.8,183.8,199.8,184.1,171.6,148.8,162.9,156.4,153.2,153.9,170.8,167.4,160.6,162.7,169.4,167.5,163.1,153.2,147.9,154.7,159.1,154.1,158.5,150.7,142.9,139.3,140.2,127.4,159.1,146.2
EIUIH14243                    ,EIUIH14243                    ,"Monthly export price index for balance of payments H14243, Air passenger fares, Central/South America, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.8,94.1,97.7,112.9,114.7,109.0,115.8,122.1,140.0,130.0,131.6,118.2,117.4,112.8,121.0,129.5,128.6,120.9,117.1,123.1,113.9,101.8,88.4,95.8,91.4,94.6,101.1,113.9,109.3,102.6,109.7,112.8,112.8,109.7,101.5,96.7,97.5,101.8,99.8,105.4,95.5,91.7,90.9,92.2,83.5,94.0,84.7
EIUIH231                      ,EIUIH231                      ,"Monthly export price index for balance of payments H231, Air freight, not seasonally adjusted",Index base: 2000=100,1996-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.9,111.1,110.4,109.0,105.4,107.1,106.6,108.0,109.2,102.1,102.5,100.8,99.1,99.1,100.8,100.8,99.4,99.7,98.4,98.6,97.9,95.5,97.9,98.3,95.2,96.3,95.2,95.1,95.4,97.1,99.1,100.3,106.1,106.4,110.1,110.9,112.0,113.6,115.9,117.9,116.7,117.0,117.0,119.8,127.1,132.0,140.8,144.3,135.0,124.1,117.4,121.6,122.9,124.0,126.3,125.7,128.1,139.2,147.4,146.4,144.2,148.9,148.0,146.7,147.0,149.0,146.3,147.3,147.4,151.2,160.3,159.5,155.9,156.7,157.9,156.6,156.5,153.7,153.5,153.0,154.8,159.1,161.9,158.3,159.3,162.5,164.1,164.3,164.8,165.8,165.3,162.1,163.8,167.5,168.2,164.9,165.8,170.8,170.0,172.0
