index,Index,Label,unit,start,last,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
EIUCDINDUSMANU                ,EIUCDINDUSMANU                ,"Monthly export price index by destination for NAICS, Manufacturing, Industrialized Countries, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,101.9,102.9,102.8,102.1,102.7,102.7,103.0,103.0,103.2,102.1,104.5,105.1,106.7,109.7,110.9
EIUCDINDUSNONM                ,EIUCDINDUSNONM                ,"Monthly export price index by destination for NAICS, Nonmanufacturing, Industrialized Countries, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,96.1,95.8,101.3,121.2,121.8,110.6,103.2,105.3,83.4,84.1,89.0,98.3,117.3,127.2,130.8
EIUCDINDUSTOT                 ,EIUCDINDUSTOT                 ,"Monthly export price index by destination for NAICS, All industries, Industrialized Countries, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,101.5,102.4,102.6,103.3,103.9,103.0,102.8,103.0,100.9,100.0,102.8,104.4,107.9,111.6,113.0
EIUCDJPNMANU                  ,EIUCDJPNMANU                  ,"Monthly export price index by destination for NAICS, Manufacturing, Japan, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,100.8,101.0,100.9,100.2,99.1,98.8,100.7,100.3,100.3,101.7,102.4,102.3,102.5,104.4,107.6
EIUCDJPNNONM                  ,EIUCDJPNNONM                  ,"Monthly export price index by destination for NAICS, Nonmanufacturing, Japan, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,110.3,104.7,98.6,100.0,103.5,105.2,96.5,98.7,78.0,76.5,83.1,94.8,116.9,132.6,126.1
EIUCDJPNTOT                   ,EIUCDJPNTOT                   ,"Monthly export price index by destination for NAICS, All industries, Japan, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,102.2,101.6,100.5,100.2,100.1,100.1,100.3,100.5,96.6,97.0,99.3,102.0,107.3,112.1,112.7
EIUCDLATMANU                  ,EIUCDLATMANU                  ,"Monthly export price index by destination for NAICS, Manufacturing, Latin America, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,101.1,103.5,103.9,100.8,102.6,100.5,100.0,99.8,97.8,93.7,95.0,97.4,107.9,116.4,115.9
EIUCDLATNONM                  ,EIUCDLATNONM                  ,"Monthly export price index by destination for NAICS, Nonmanufacturing, Latin America, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,103.1,106.3,104.8,115.5,108.1,105.9,100.4,103.8,95.6,94.3,100.0,116.5,141.3,155.5,171.9
EIUCDLATTOT                   ,EIUCDLATTOT                   ,"Monthly export price index by destination for NAICS, All industries, Latin America, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,101.3,103.6,103.9,101.7,102.9,100.9,100.0,100.0,97.6,93.8,95.4,98.7,110.4,119.3,120.2
EIUCDMEXMANU                  ,EIUCDMEXMANU                  ,"Monthly export price index by destination for NAICS, Manufacturing, Mexico, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,100.9,102.5,102.7,100.7,102.0,100.4,100.0,100.0,98.4,95.1,96.3,98.2,108.0,119.9,118.9
EIUCDMEXNONM                  ,EIUCDMEXNONM                  ,"Monthly export price index by destination for NAICS, Nonmanufacturing, Mexico, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,102.1,104.9,103.1,115.5,103.7,98.5,94.1,96.4,91.7,88.9,95.4,115.4,128.9,147.8,166.8
EIUCDMEXTOT                   ,EIUCDMEXTOT                   ,"Monthly export price index by destination for NAICS, All industries, Mexico, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,100.9,102.6,102.7,101.6,102.1,100.3,99.7,99.8,98.0,94.8,96.4,99.3,109.2,121.6,122.0
EIUCDPRIMMANU                 ,EIUCDPRIMMANU                 ,"Monthly export price index by destination for NAICS, Manufacturing, Pacific Rim, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,101.2,101.5,100.9,100.9,101.1,100.7,100.9,100.5,100.5,100.7,101.1,102.6,105.2,106.9,108.7
EIUCDPRIMNONM                 ,EIUCDPRIMNONM                 ,"Monthly export price index by destination for NAICS, Nonmanufacturing, Pacific Rim, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,106.1,103.1,92.2,95.7,99.0,98.6,97.2,95.6,83.9,80.6,84.0,92.3,110.1,121.2,126.2
EIUCDPRIMTOT                  ,EIUCDPRIMTOT                  ,"Monthly export price index by destination for NAICS, All industries, Pacific Rim, not seasonally adjusted",Index base: 2017.12=100,2017-M12,2021-M11,100.0,101.7,101.8,99.7,100.1,100.6,99.9,99.9,99.2,97.6,97.2,98.3,101.1,106.8,110.3,112.6
