index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU3231130001    ,CEU3231130001    ,32311300,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,100.1,102.9,101.9,99.4,100.2,99.4,98.6,98.3,94.4,92.1,88.6,84.3,84.5,82.7,78.7,75.1,73.3,72.7,70.9,69.1,66.7,67.3,69.2,69.7,72.7,75.5,75.7,76.7,77.4,73.4,77.7
CEU3231130010    ,CEU3231130010    ,32311300,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,48.2,48.8,48.3,47.5,48.9,48.9,47.7,46.7,44.2,43.4,40.7,38.2,38.6,36.1,37.6,37.7,37.1,34.3,35.1,35.9,34.6,34.7,34.6,33.5,32.3,30.8,32.5,37.0,37.3,36.1,36.6
CEU3231135001    ,CEU3231135001    ,32311350,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,55.4,57.2,56.8,55.7,56.7,57.2,56.9,56.8,53.9,52.8,50.6,48.4,47.7,47.0,46.5,44.3,43.0,41.0,40.8,40.3,38.6,38.1,37.9,38.4,39.6,40.8,41.0,42.2,42.4,37.7,40.6
CEU3231140001    ,CEU3231140001    ,32311400,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.1,221.6,217.8,216.5,216.6,216.1,209.9,205.1,202.8,198.8,197.3,192.8,183.2,184.7,180.9,174.0,176.2,173.4,172.7,172.3,172.5,172.6,172.3,169.7,168.6,170.4,171.6,174.0,175.0,173.6,169.6,173.0
CEU3231140006    ,CEU3231140006    ,32311400,6,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.7,184.6,182.3,180.0,179.7,179.0,174.1,171.8,169.9,166.1,164.4,158.7,148.7,151.9,150.0,144.0,145.8,142.6,142.4,142.2,141.8,143.6,145.5,143.1,140.0,140.8,140.8,142.3,140.3,139.4,137.6,142.4
CEU3231140010    ,CEU3231140010    ,32311400,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6,91.2,88.0,86.2,86.2,86.6,84.4,83.6,82.6,79.8,79.6,76.4,73.3,76.2,76.2,73.5,73.3,71.0,70.8,70.2,68.0,68.0,66.5,63.7,64.1,68.6,71.4,72.5,72.7,68.6,64.6,64.4
CEU3231141001    ,CEU3231141001    ,32311410,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,94.0,95.5,96.2,96.9,100.3,96.7,96.9,98.8,97.9,100.9,96.1,93.5,94.2,91.7,89.0,88.6,88.1,86.0,86.3,87.7,88.0,87.8,89.4,88.7,88.5,90.2,91.3,92.0,93.8,91.2,92.5
CEU3231141010    ,CEU3231141010    ,32311410,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,44.0,43.5,42.7,42.9,45.6,44.2,44.8,45.7,44.4,45.5,43.2,42.3,42.9,42.1,40.5,40.6,40.2,40.2,39.0,37.7,37.2,36.2,36.7,37.1,38.4,40.4,40.4,41.3,39.7,37.6,37.6
CEU3231141101    ,CEU3231141101    ,32311411,1,1972-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,47.9,45.5,44.6,47.3,48.2,49.8,50.6,46.9,46.9,46.6,46.7,48.2,49.9,48.2,48.3,49.1,49.8,50.1,49.9,49.1,49.2,48.8,50.8,47.3,47.3,47.4,44.0,45.0,41.1,38.3,37.1,34.9,32.8,32.7,31.4,31.0,30.9,30.5,30.9,30.6,31.1,31.3,31.4,32.0,31.9,32.5,33.0,29.2,27.6
CEU3231141201    ,CEU3231141201    ,32311412,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,44.1,46.4,47.0,48.2,49.5,49.3,49.6,51.4,53.9,55.9,55.1,55.2,57.1,56.8,56.1,55.9,56.8,55.1,55.4,57.3,57.2,57.2,58.4,57.4,57.1,58.2,59.4,59.6,60.8,61.9,64.9
CEU3231142001    ,CEU3231142001    ,32311420,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.2,127.6,122.3,120.3,119.7,115.8,113.2,108.3,104.0,100.8,96.4,96.7,89.6,90.5,89.2,85.0,87.6,85.3,86.7,86.1,84.8,84.5,84.5,80.2,80.0,81.9,81.4,82.7,83.0,79.8,78.4,80.5
CEU3231142010    ,CEU3231142010    ,32311420,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,47.1,44.5,43.5,43.3,41.0,40.2,38.8,36.9,35.4,34.1,33.2,31.0,33.4,34.2,33.0,32.7,30.8,30.6,31.2,30.3,30.8,30.3,27.0,27.1,30.2,31.0,32.1,31.4,28.8,26.9,26.9
CEU3231150001    ,CEU3231150001    ,32311500,1,1958-M01,2022-M04,,,,,,,,,,,,,,,,,,,,296.7,294.9,293.5,288.6,281.2,273.6,268.7,265.6,257.5,250.5,240.4,231.3,223.8,213.4,201.3,192.5,186.1,180.0,177.3,174.3,170.4,167.1,162.5,157.7,154.7,152.8,151.7,150.9,150.7,149.2,147.1,146.0,144.5,144.5,142.7,142.3,137.9,137.1,133.5,131.4,131.1,133.4,136.0,136.6,136.8,134.7,131.4,131.6,131.2,131.0,129.1,130.7,130.3,133.6,134.3,134.1,134.4,136.3,140.7,145.9,150.5,155.6,152.7,154.7
CEU3231150006    ,CEU3231150006    ,32311500,6,1958-M01,2022-M04,,,,,,,,,,,,,,,,,,,,173.7,166.6,161.2,153.8,144.7,136.7,129.1,125.7,121.9,119.5,116.9,112.7,110.2,107.0,104.6,101.3,99.0,95.9,95.5,95.0,93.8,93.6,93.1,90.9,90.8,91.4,92.0,93.1,94.2,94.8,92.8,92.9,92.2,92.6,92.5,93.3,90.8,91.3,90.2,89.7,91.8,93.8,95.5,95.0,95.5,89.2,85.9,89.9,93.0,96.0,93.1,93.5,94.2,93.6,93.1,96.0,99.0,99.7,103.5,105.0,108.4,110.4,109.4,110.5
CEU3231150010    ,CEU3231150010    ,32311500,10,1959-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,43.9,43.6,42.8,41.5,40.9,41.0,40.5,40.0,39.7,38.5,37.9,37.4,35.8,34.4,35.0,34.7,34.6,34.9,34.8,34.6,35.3,35.8,35.0,33.9,34.1,34.5,34.2,34.1,34.2,34.3,34.4,34.9,34.9,34.4,34.6,33.7,33.8,32.2,31.3,31.5,31.4,32.9,33.7,33.7,33.8,34.1,33.6,34.1,34.1,34.0,35.1,34.2,35.1,35.4,35.6,37.2,41.1,43.1,44.6,46.1,46.9,43.4,44.7
CEU3231151101    ,CEU3231151101    ,32311511,1,1982-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,82.3,80.7,79.2,76.7,73.4,70.8,69.4,68.2,67.0,65.4,63.8,61.0,60.2,57.8,57.3,57.0,56.4,57.3,57.6,57.4,56.5,54.2,54.8,55.2,55.1,53.5,53.0,52.1,52.7,52.7,53.4,52.9,53.3,54.4,55.1,55.3,54.7,53.9,52.5
CEU3231160001    ,CEU3231160001    ,32311600,1,1976-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.8,358.6,360.9,366.0,366.4,363.1,354.6,353.4,362.4,368.3,378.2,391.5,404.6,416.7,427.4,430.7,437.6,447.8,455.7,476.0,486.3,491.2,498.9,505.4,506.9,515.9,517.2,515.7,505.4,504.1,506.0,507.9,510.4,497.2,489.3,486.3,483.5,482.3,480.8,485.6,496.0,512.5,522.1,532.2,536.7,528.3
CEU3231160006    ,CEU3231160006    ,32311600,6,1976-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0,301.7,304.9,311.0,311.8,309.7,302.6,301.6,310.7,316.9,327.4,337.8,348.9,359.7,368.0,371.5,375.6,384.8,392.0,409.2,418.7,421.5,428.3,438.3,440.3,445.4,445.3,445.8,437.6,435.7,438.0,441.2,440.0,428.3,417.7,416.0,418.4,417.5,417.1,418.7,422.8,438.6,442.3,447.9,454.7,450.8
