index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU1000000007    ,CEU1000000007    ,10000000,7,1947-M01,2022-M05,42.3,41.1,38.2,39.8,40.2,40.5,40.7,40.3,42.3,42.3,41.7,40.6,42.1,41.9,42.1,42.5,43.0,43.4,43.7,44.1,43.9,44.0,44.3,43.9,43.7,44.1,43.8,43.7,43.7,44.2,44.7,44.9,44.7,44.9,45.1,44.1,43.9,44.6,44.6,43.6,43.5,43.3,44.1,45.0,45.3,44.6,44.9,45.3,45.3,46.0,46.2,44.9,44.2,44.4,44.6,43.2,43.6,44.5,45.6,45.6,45.9,45.1,43.2,44.6,46.7,46.6,45.9,47.3,45.8,45.3,46.1,46.8,46.9,44.9,46.5
CEU1000000008    ,CEU1000000008    ,10000000,8,1947-M01,2022-M05,1.43,1.61,1.67,1.72,1.88,1.95,2.08,2.09,2.15,2.27,2.39,2.42,2.5,2.55,2.59,2.65,2.7,2.76,2.87,3.0,3.14,3.3,3.54,3.77,3.99,4.28,4.59,5.09,5.68,6.19,6.7,7.44,8.2,8.97,9.89,10.64,11.14,11.54,11.87,12.14,12.17,12.45,12.9,13.4,13.82,14.09,14.12,14.41,14.78,15.09,15.57,16.2,16.33,16.55,17.0,17.19,17.56,18.07,18.72,19.9,20.97,22.5,23.29,23.82,24.5,25.79,26.8,26.84,26.48,26.97,27.44,28.27,29.92,30.42,31.08
CEU1000000030    ,CEU1000000030    ,10000000,30,1947-M01,2022-M05,60.35,66.31,63.7,68.56,75.5,79.04,84.62,84.2,90.99,96.26,99.82,98.23,105.3,107.11,108.84,112.65,116.42,119.89,125.48,132.5,137.76,145.26,157.11,165.82,174.18,188.76,201.43,222.24,248.38,273.69,299.46,334.27,366.58,402.51,446.1,469.1,488.89,514.77,529.62,529.2,529.72,539.63,568.55,602.43,625.46,628.94,634.77,653.13,670.4,695.04,720.07,727.19,721.77,734.88,757.96,741.97,765.94,804.01,853.87,907.95,962.63,1014.69,1006.67,1063.11,1144.64,1201.69,1229.7,1270.91,1211.91,1221.69,1265.92,1322.45,1402.39,1365.39,1443.7
CEU1000000031    ,CEU1000000031    ,10000000,31,1964-M01,2022-M04,,,,,,,,,,,,,,,,,,384.26,395.84,406.44,410.0,415.03,425.77,425.18,427.96,448.36,450.63,448.06,459.11,478.48,491.72,509.56,501.48,485.54,488.07,484.11,489.87,498.33,495.43,487.29,470.86,461.22,463.74,467.0,465.72,455.09,446.71,448.58,447.53,451.03,456.9,455.35,442.26,435.1,436.86,421.81,426.0,435.78,447.05,460.65,474.75,480.77,480.21,496.86,516.59,531.18,536.23,545.99,522.8,521.92,529.56,539.45,562.71,541.29,543.75
CEU1000000032    ,CEU1000000032    ,10000000,32,1964-M01,2022-M04,,,,,,,,,,,,,,,,,,8.85,9.05,9.2,9.35,9.43,9.59,9.67,9.8,10.17,10.27,10.26,10.5,10.82,11.0,11.34,11.22,10.82,10.82,10.98,11.16,11.17,11.1,11.18,10.82,10.64,10.52,10.39,10.29,10.2,9.94,9.9,9.87,9.79,9.88,10.14,10.01,9.8,9.8,9.77,9.77,9.79,9.8,10.1,10.34,10.66,11.11,11.13,11.06,11.4,11.69,11.53,11.42,11.52,11.48,11.53,12.01,12.06,11.71
CEU1000000034    ,CEU1000000034    ,10000000,34,1947-M01,2022-M05,194.7,196.0,168.3,171.6,179.1,172.2,166.7,148.1,154.7,159.4,155.5,135.8,137.4,132.8,124.2,121.5,120.0,121.3,121.6,121.1,117.0,114.9,118.1,115.7,109.9,115.6,117.0,127.7,134.9,142.4,151.1,156.9,175.2,187.2,206.2,195.5,162.8,169.3,162.7,133.5,125.2,125.6,123.2,128.6,123.8,113.3,110.3,111.0,110.3,112.7,117.6,112.8,102.9,105.1,108.3,100.0,97.4,104.0,114.7,125.8,133.5,137.6,117.2,124.5,147.4,158.7,155.0,164.3,144.1,113.4,120.2,134.5,133.3,101.5,103.2
CEU1000000035    ,CEU1000000035    ,10000000,35,1947-M01,2022-M05,16.1,18.4,16.3,17.2,19.5,19.6,20.2,18.0,19.3,21.1,21.7,19.1,20.0,19.7,18.7,18.7,18.9,19.5,20.3,21.2,21.3,22.1,24.3,25.4,25.5,28.8,31.3,37.8,44.6,51.3,58.9,67.9,83.5,97.7,118.7,121.0,105.5,113.6,112.3,94.3,88.6,91.0,92.4,100.2,99.5,92.8,90.6,93.0,94.8,99.0,106.5,106.2,97.8,101.2,107.1,100.0,99.5,109.3,124.9,145.6,162.7,180.1,158.7,172.5,210.0,238.0,241.6,256.5,221.9,177.9,191.9,221.2,231.9,179.5,186.6
CEU1000000081    ,CEU1000000081    ,10000000,81,1947-M01,2022-M05,36642.0,36887.0,31662.0,32293.0,33700.0,32411.0,31362.0,27862.0,29110.0,29999.0,29265.0,25553.0,25860.0,24994.0,23378.0,22859.0,22579.0,22823.0,22891.0,22797.0,22015.0,21622.0,22217.0,21769.0,20675.0,21751.0,22018.0,24024.0,25391.0,26795.0,28431.0,29529.0,32965.0,35221.0,38806.0,36798.0,30641.0,31855.0,30612.0,25130.0,23564.0,23634.0,23178.0,24201.0,23293.0,21312.0,20748.0,20880.0,20747.0,21211.0,22125.0,21224.0,19373.0,19787.0,20385.0,18818.0,18330.0,19570.0,21588.0,23674.0,25114.0,25888.0,22057.0,23425.0,27732.0,29862.0,29171.0,30922.0,27116.0,21341.0,22623.0,25315.0,25075.0,19094.0,19425.0
CEU1000000082    ,CEU1000000082    ,10000000,82,1947-M01,2022-M05,52231.0,59517.0,52781.0,55611.0,63250.0,63315.0,65284.0,58192.0,62589.0,68237.0,70060.0,61871.0,64743.0,63857.0,60499.0,60607.0,61062.0,63103.0,65669.0,68448.0,69054.0,71383.0,78737.0,82164.0,82475.0,93198.0,101170.0,122252.0,144307.0,165971.0,190484.0,219781.0,270321.0,316006.0,383909.0,391386.0,341243.0,367504.0,363449.0,305174.0,286758.0,294323.0,299106.0,324259.0,321853.0,300373.0,292999.0,300878.0,306710.0,320180.0,344555.0,343779.0,316377.0,327513.0,346577.0,323563.0,321821.0,353631.0,404096.0,471151.0,526559.0,582602.0,513651.0,558044.0,679441.0,770086.0,781781.0,830011.0,717958.0,575520.0,620830.0,715668.0,750279.0,580860.0,603707.0
CEU1011330007    ,CEU1011330007    ,10113300,7,1972-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,36.8,36.4,34.5,36.0,35.0,36.3,35.9,35.4,35.2,34.3,36.1,35.7,35.8,36.9,36.4,35.9,36.9,37.4,37.1,37.0,36.9,36.7,37.2,37.6,37.3,37.2,37.6,38.0,38.2,38.7,38.4,38.2,39.4,39.9,43.3,42.5,40.6,42.6,41.5,40.6,41.1,41.1,41.8,42.7,41.0,41.5,42.5,38.2,39.6
