index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU0500000001    ,CEU0500000001    ,5000000,1,1939-M01,2022-M05,26606.0,28156.0,31874.0,34621.0,36353.0,35819.0,34428.0,36054.0,38379.0,39213.0,37893.0,39167.0,41427.0,42182.0,43552.0,42235.0,43722.0,45087.0,45235.0,43480.0,45182.0,45832.0,45399.0,46655.0,47423.0,48680.0,50683.0,53110.0,54406.0,56050.0,58181.0,58318.0,58323.0,60333.0,63050.0,64086.0,62250.0,64501.0,67334.0,71014.0,73865.0,74158.0,75117.0,73706.0,74284.0,78389.0,81000.0,82661.0,84960.0,87838.0,90124.0,91112.0,89879.0,90012.0,91942.0,95118.0,97968.0,100289.0,103278.0,106237.0,108921.0,111221.0,110955.0,109121.0,108748.0,110148.0,112230.0,114462.0,115763.0,114714.0,108741.0,107855.0,109828.0,112237.0,114511.0,117058.0,119796.0,122112.0,124258.0,126454.0,128292.0,120200.0,124119.0
CEU0500000006    ,CEU0500000006    ,5000000,6,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,40575.0,42302.0,44292.0,45185.0,46519.0,48246.0,48180.0,48151.0,49971.0,52235.0,52846.0,51010.0,52916.0,55207.0,58188.0,60404.0,60377.0,60967.0,59475.0,60018.0,63333.0,65456.0,66825.0,68725.0,71059.0,72960.0,73721.0,72565.0,72851.0,74667.0,77473.0,79937.0,81880.0,84304.0,86506.0,88636.0,90534.0,90200.0,88649.0,87948.0,89230.0,91426.0,93759.0,95243.0,94660.0,89616.0,88940.0,90605.0,92766.0,94573.0,96688.0,98769.0,100555.0,102411.0,104169.0,105570.0,97901.0,101089.0
CEU0500000010    ,CEU0500000010    ,5000000,10,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,14826.0,15592.0,16748.0,17560.0,18438.0,19499.0,19852.0,20061.0,20886.0,22126.0,23044.0,22932.0,24224.0,25626.0,27446.0,28989.0,29787.0,30686.0,30863.0,31632.0,33622.0,35186.0,36568.0,38051.0,39686.0,41018.0,41764.0,41738.0,42029.0,42917.0,44309.0,45596.0,46669.0,48051.0,49308.0,50537.0,51627.0,51864.0,51264.0,51168.0,51677.0,52607.0,53605.0,54558.0,54546.0,52720.0,52260.0,52835.0,53884.0,54963.0,56078.0,57378.0,58779.0,59807.0,61014.0,62243.0,58033.0,60050.0
CEU0600000001    ,CEU0600000001    ,6000000,1,1939-M01,2022-M05,11511.0,12378.0,14940.0,17275.0,18738.0,17981.0,16308.0,16122.0,17314.0,17579.0,16464.0,17343.0,18703.0,18928.0,19733.0,18515.0,19234.0,19799.0,19669.0,18319.0,19163.0,19182.0,18647.0,19203.0,19385.0,19733.0,20595.0,21740.0,21882.0,22292.0,22893.0,22179.0,21602.0,22299.0,23450.0,23364.0,21318.0,22025.0,22972.0,24156.0,24997.0,24263.0,24118.0,22550.0,22110.0,23435.0,23585.0,23318.0,23470.0,23909.0,24045.0,23723.0,22588.0,22095.0,22219.0,22774.0,23156.0,23409.0,23886.0,24354.0,24465.0,24649.0,23873.0,22557.0,21816.0,21882.0,22190.0,22530.0,22233.0,21335.0,18558.0,17751.0,18047.0,18420.0,18738.0,19226.0,19610.0,19750.0,20084.0,20704.0,21037.0,20023.0,20325.0
CEU0600000006    ,CEU0600000006    ,6000000,6,1947-M01,2022-M05,,,,,,,,,15256.0,15386.0,14284.0,15094.0,16139.0,16109.0,16700.0,15458.0,16051.0,16382.0,16072.0,14735.0,15433.0,15322.0,14749.0,15180.0,15294.0,15618.0,16335.0,17196.0,17118.0,17385.0,17826.0,17143.0,16746.0,17416.0,18305.0,18059.0,16147.0,16732.0,17436.0,18351.0,18955.0,18075.0,17822.0,16357.0,16060.0,17149.0,17202.0,17010.0,17166.0,17509.0,17587.0,17322.0,16352.0,16044.0,16236.0,16795.0,17137.0,17318.0,17698.0,18008.0,18067.0,18169.0,17466.0,16400.0,15732.0,15821.0,16145.0,16559.0,16405.0,15724.0,13399.0,12774.0,13005.0,13287.0,13481.0,13858.0,14141.0,14215.0,14450.0,14876.0,15073.0,14217.0,14488.0
CEU0600000010    ,CEU0600000010    ,6000000,10,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,4258.0,4474.0,4892.0,5025.0,5160.0,5342.0,5159.0,4974.0,5219.0,5612.0,5631.0,5087.0,5438.0,5727.0,6103.0,6363.0,6257.0,6307.0,5989.0,5962.0,6318.0,6309.0,6294.0,6376.0,6498.0,6554.0,6470.0,6243.0,6119.0,6090.0,6168.0,6225.0,6214.0,6294.0,6353.0,6300.0,6297.0,5961.0,5486.0,5192.0,5117.0,5104.0,5083.0,5041.0,4866.0,4289.0,4088.0,4057.0,4093.0,4125.0,4211.0,4286.0,4322.0,4403.0,4576.0,4705.0,4517.0,4626.0
CEU0700000001    ,CEU0700000001    ,7000000,1,1939-M01,2022-M05,19134.0,20029.0,21660.0,22938.0,23837.0,24026.0,24203.0,25637.0,26631.0,27376.0,27379.0,27945.0,29227.0,29981.0,30577.0,30578.0,31510.0,32674.0,33290.0,33107.0,34211.0,35114.0,35458.0,36455.0,37379.0,38658.0,40279.0,42280.0,44049.0,45731.0,47619.0,48827.0,49734.0,51499.0,53462.0,55025.0,55751.0,57477.0,59620.0,62670.0,64936.0,66270.0,67179.0,67138.0,68186.0,71113.0,73947.0,76182.0,78647.0,81469.0,84006.0,85803.0,85837.0,86704.0,88712.0,91619.0,94245.0,96419.0,99055.0,101792.0,104763.0,107362.0,108200.0,108077.0,108515.0,109887.0,111843.0,113905.0,115748.0,115889.0,112739.0,112594.0,113867.0,115737.0,117626.0,119713.0,122215.0,124586.0,126524.0,128205.0,129867.0,122163.0,125799.0
CEU0700000010    ,CEU0700000010    ,7000000,10,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,14339.0,15141.0,16288.0,17298.0,18318.0,19372.0,20121.0,20651.0,21491.0,22595.0,23756.0,24372.0,25510.0,27002.0,28780.0,30321.0,31559.0,32406.0,32768.0,33588.0,35454.0,37319.0,38980.0,40641.0,42421.0,43991.0,45149.0,45480.0,46072.0,47153.0,48671.0,50069.0,51287.0,52747.0,54119.0,55689.0,57101.0,57917.0,58105.0,58313.0,58896.0,59892.0,60741.0,62096.0,62589.0,61331.0,61001.0,61390.0,62285.0,63306.0,64362.0,65697.0,67199.0,68223.0,69365.0,70592.0,66170.0,68126.0
CEU0800000001    ,CEU0800000001    ,8000000,1,1939-M01,2022-M05,15094.0,15778.0,16934.0,17347.0,17615.0,17839.0,18121.0,19932.0,21064.0,21634.0,21430.0,21824.0,22725.0,23254.0,23820.0,23720.0,24489.0,25288.0,25566.0,25161.0,26018.0,26650.0,26752.0,27451.0,28038.0,28947.0,30089.0,31370.0,32524.0,33759.0,35288.0,36139.0,36721.0,38034.0,39600.0,40721.0,40932.0,42476.0,44362.0,46858.0,48869.0,49895.0,50999.0,51156.0,52174.0,54954.0,57415.0,59343.0,61490.0,63929.0,66079.0,67389.0,67291.0,67918.0,69723.0,72344.0,74812.0,76880.0,79392.0,81883.0,84456.0,86572.0,87082.0,86564.0,86931.0,88266.0,90039.0,91931.0,93530.0,93380.0,90184.0,90104.0,91781.0,93817.0,95773.0,97832.0,100186.0,102362.0,104174.0,105750.0,107254.0,100177.0,103794.0
CEU0800000006    ,CEU0800000006    ,8000000,6,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,24958.0,25967.0,27096.0,28067.0,29134.0,30421.0,31037.0,31405.0,32555.0,33929.0,34788.0,34863.0,36184.0,37771.0,39837.0,41450.0,42302.0,43145.0,43118.0,43958.0,46184.0,48253.0,49815.0,51560.0,53549.0,55373.0,56398.0,56213.0,56807.0,58431.0,60678.0,62800.0,64562.0,66606.0,68497.0,70569.0,72365.0,72734.0,72249.0,72216.0,73409.0,75282.0,77200.0,78838.0,78936.0,76217.0,76166.0,77600.0,79479.0,81093.0,82830.0,84628.0,86340.0,87961.0,89293.0,90497.0,83683.0,86601.0
CEU0800000010    ,CEU0800000010    ,8000000,10,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,10568.0,11118.0,11856.0,12535.0,13277.0,14157.0,14693.0,15087.0,15667.0,16513.0,17413.0,17844.0,18786.0,19899.0,21343.0,22626.0,23530.0,24379.0,24874.0,25671.0,27304.0,28877.0,30274.0,31675.0,33188.0,34465.0,35294.0,35495.0,35910.0,36827.0,38141.0,39370.0,40455.0,41757.0,42954.0,44237.0,45330.0,45903.0,45778.0,45976.0,46560.0,47504.0,48523.0,49517.0,49681.0,48431.0,48172.0,48779.0,49792.0,50838.0,51867.0,53092.0,54457.0,55404.0,56439.0,57538.0,53516.0,55425.0
