index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5051111012    ,CEU5051111012    ,50511110,12,2006-M03,2022-M04,338.16,335.49,339.76,340.17,335.93,337.44,323.3,321.76,321.04,320.39,317.88,302.23,297.77,301.41,306.16
CEU5051111013    ,CEU5051111013    ,50511110,13,2006-M03,2022-M04,10.0,9.73,10.03,9.99,9.77,9.72,9.3,9.25,9.33,9.37,9.22,8.73,8.79,8.82,8.99
CEU5051111016    ,CEU5051111016    ,50511110,16,2006-M03,2022-M04,100.0,95.3,79.9,73.6,70.6,66.6,63.2,59.9,56.0,51.5,47.4,43.0,38.1,32.6,30.1
CEU5051111017    ,CEU5051111017    ,50511110,17,2006-M03,2022-M04,100.0,96.3,82.9,77.4,74.8,71.6,66.1,63.3,59.7,55.8,51.7,45.5,41.3,35.8,35.4
CEU5051111056    ,CEU5051111056    ,50511110,56,2006-M03,2022-M04,11727.0,11181.0,9373.0,8634.0,8283.0,7808.0,7414.0,7029.0,6564.0,6038.0,5562.0,5041.0,4466.0,3819.0,3534.0
CEU5051111057    ,CEU5051111057    ,50511110,57,2006-M03,2022-M04,243154.0,234149.0,201691.0,188101.0,181958.0,174188.0,160625.0,153952.0,145140.0,135772.0,125723.0,110549.0,100347.0,87148.0,86057.0
CEU5051112002    ,CEU5051112002    ,50511120,2,2006-M03,2022-M04,35.2,35.9,36.3,35.6,36.3,36.5,35.7,35.4,36.5,36.7,36.7,36.9,36.2,36.4,36.7
CEU5051112003    ,CEU5051112003    ,50511120,3,2006-M03,2022-M04,28.66,29.9,30.62,32.97,33.42,34.15,35.44,37.39,37.24,36.39,37.28,36.33,36.33,37.98,37.77
CEU5051112011    ,CEU5051112011    ,50511120,11,2006-M03,2022-M04,1007.73,1073.73,1112.73,1172.92,1213.3,1245.33,1263.4,1325.09,1357.84,1333.98,1368.43,1339.2,1316.07,1382.11,1385.42
CEU5051112012    ,CEU5051112012    ,50511120,12,2006-M03,2022-M04,486.02,498.71,518.67,537.9,539.39,542.41,542.33,559.73,572.89,555.81,558.27,533.32,514.78,534.02,511.28
CEU5051112013    ,CEU5051112013    ,50511120,13,2006-M03,2022-M04,13.82,13.89,14.27,15.12,14.86,14.87,15.21,15.79,15.71,15.16,15.21,14.47,14.21,14.67,13.94
CEU5051112016    ,CEU5051112016    ,50511120,16,2006-M03,2022-M04,100.0,100.2,88.9,81.6,81.0,79.4,75.5,72.1,71.7,70.4,66.7,63.2,59.5,53.6,50.6
CEU5051112017    ,CEU5051112017    ,50511120,17,2006-M03,2022-M04,100.0,104.5,95.0,93.8,94.5,94.7,93.4,94.0,93.2,89.4,86.8,80.1,75.4,71.0,66.7
CEU5051112056    ,CEU5051112056    ,50511120,56,2006-M03,2022-M04,5070.0,5080.0,4507.0,4135.0,4107.0,4028.0,3830.0,3653.0,3637.0,3568.0,3382.0,3205.0,3015.0,2717.0,2565.0
CEU5051112057    ,CEU5051112057    ,50511120,57,2006-M03,2022-M04,145298.0,151861.0,138025.0,136313.0,137245.0,137568.0,135731.0,136584.0,135456.0,129852.0,126078.0,116421.0,109519.0,103163.0,96852.0
CEU5051113002    ,CEU5051113002    ,50511130,2,2006-M03,2022-M04,35.2,36.8,37.0,37.1,37.2,36.4,35.8,36.9,37.9,38.1,38.0,37.9,37.3,36.9,35.7
CEU5051113003    ,CEU5051113003    ,50511130,3,2006-M03,2022-M04,23.86,24.51,24.61,24.22,25.29,26.06,28.55,29.11,27.87,26.82,28.05,29.7,31.76,35.03,37.74
CEU5051113011    ,CEU5051113011    ,50511130,11,2006-M03,2022-M04,840.95,902.82,911.32,899.66,939.64,947.35,1020.95,1073.75,1055.61,1022.57,1065.07,1125.12,1185.29,1291.21,1347.13
CEU5051113012    ,CEU5051113012    ,50511130,12,2006-M03,2022-M04,405.59,419.33,424.78,412.58,417.73,412.62,438.26,453.56,445.37,426.06,434.51,448.06,463.63,498.9,497.15
CEU5051113013    ,CEU5051113013    ,50511130,13,2006-M03,2022-M04,11.51,11.38,11.47,11.11,11.24,11.35,12.26,12.3,11.76,11.17,11.44,11.83,12.42,13.53,13.93
CEU5051113016    ,CEU5051113016    ,50511130,16,2006-M03,2022-M04,100.0,103.7,98.8,94.3,94.1,89.6,84.9,83.5,84.4,82.6,79.8,77.8,72.3,67.4,63.9
CEU5051113017    ,CEU5051113017    ,50511130,17,2006-M03,2022-M04,100.0,106.5,101.9,95.7,99.7,97.9,101.6,101.9,98.6,92.9,93.8,96.8,96.3,98.9,101.0
CEU5051113056    ,CEU5051113056    ,50511130,56,2006-M03,2022-M04,2874.0,2979.0,2839.0,2709.0,2703.0,2576.0,2440.0,2401.0,2427.0,2375.0,2294.0,2235.0,2079.0,1937.0,1836.0
CEU5051113057    ,CEU5051113057    ,50511130,57,2006-M03,2022-M04,68565.0,73000.0,69876.0,65615.0,68343.0,67144.0,69646.0,69892.0,67630.0,63706.0,64348.0,66363.0,66040.0,67832.0,69276.0
CEU5051120002    ,CEU5051120002    ,50511200,2,2006-M03,2022-M04,38.8,38.7,38.9,38.8,39.5,40.3,39.7,39.7,39.2,38.6,39.0,39.0,38.9,39.2,39.3
CEU5051120003    ,CEU5051120003    ,50511200,3,2006-M03,2022-M04,43.88,45.86,46.37,45.91,46.25,46.79,49.51,51.76,54.36,56.73,57.69,58.62,58.44,56.56,54.97
CEU5051120011    ,CEU5051120011    ,50511200,11,2006-M03,2022-M04,1700.64,1777.22,1804.71,1779.27,1826.0,1886.48,1967.9,2053.15,2133.05,2192.1,2251.43,2285.2,2272.62,2215.43,2162.12
CEU5051120012    ,CEU5051120012    ,50511200,12,2006-M03,2022-M04,820.21,825.45,841.21,815.97,811.78,821.66,844.75,867.27,899.96,913.35,918.5,910.05,888.93,856.0,797.92
