index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU6000000001    ,CEU6000000001    ,60000000,1,1939-M01,2022-M05,1985.0,2083.0,2276.0,2421.0,2529.0,2534.0,2506.0,2679.0,2841.0,2908.0,2867.0,2942.0,3075.0,3143.0,3230.0,3212.0,3336.0,3453.0,3519.0,3464.0,3607.0,3710.0,3760.0,3901.0,4007.0,4154.0,4323.0,4536.0,4739.0,4937.0,5175.0,5287.0,5348.0,5544.0,5796.0,5997.0,6056.0,6310.0,6611.0,6997.0,7339.0,7571.0,7809.0,7875.0,8065.0,8493.0,8900.0,9241.0,9639.0,10121.0,10588.0,10881.0,10746.0,11001.0,11527.0,12207.0,12878.0,13497.0,14371.0,15183.0,15994.0,16704.0,16514.0,16016.0,16029.0,16440.0,17003.0,17619.0,17998.0,17792.0,16634.0,16783.0,17389.0,17992.0,18575.0,19124.0,19695.0,20114.0,20508.0,20950.0,21274.0,20314.0,21250.0
CEU6000000006    ,CEU6000000006    ,60000000,6,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,3375.0,3531.0,3731.0,3906.0,4084.0,4270.0,4339.0,4372.0,4537.0,4767.0,4926.0,4959.0,5173.0,5424.0,5739.0,6016.0,6220.0,6418.0,6444.0,6604.0,6942.0,7282.0,7557.0,7885.0,8283.0,8676.0,8915.0,8773.0,8996.0,9477.0,10104.0,10672.0,11189.0,11924.0,12594.0,13214.0,13819.0,13617.0,13080.0,12942.0,13321.0,13892.0,14487.0,14828.0,14631.0,13565.0,13744.0,14298.0,14851.0,15352.0,15818.0,16183.0,16455.0,16751.0,17079.0,17301.0,16326.0,17076.0
CEU6000000010    ,CEU6000000010    ,60000000,10,1964-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,963.0,1045.0,1181.0,1301.0,1433.0,1570.0,1638.0,1698.0,1802.0,1929.0,2077.0,2150.0,2310.0,2502.0,2733.0,2943.0,3106.0,3274.0,3357.0,3481.0,3727.0,3964.0,4187.0,4428.0,4724.0,4988.0,5116.0,5036.0,5170.0,5409.0,5693.0,5990.0,6284.0,6716.0,7042.0,7382.0,7693.0,7603.0,7327.0,7262.0,7375.0,7590.0,7797.0,8026.0,7964.0,7490.0,7472.0,7706.0,7954.0,8267.0,8522.0,8755.0,9006.0,9220.0,9484.0,9699.0,9293.0,9816.0
CEU6054000001    ,CEU6054000001    ,60540000,1,1990-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4564.6,4535.2,4601.2,4714.7,4849.7,5105.8,5340.6,5657.5,6021.8,6375.5,6732.1,6901.3,6680.6,6637.0,6784.2,7064.5,7399.3,7704.5,7845.3,7552.9,7485.8,7712.5,7940.5,8169.9,8385.5,8658.4,8880.8,9057.8,9281.7,9535.7,9435.2,9882.7
CEU6054000006    ,CEU6054000006    ,60540000,6,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3499.8,3470.3,3517.7,3611.4,3729.0,3926.0,4094.2,4323.6,4599.4,4828.3,5118.5,5275.5,5060.9,5009.2,5159.6,5419.3,5760.8,6053.2,6222.9,5981.2,5930.2,6111.1,6300.1,6472.7,6631.6,6789.6,6969.6,7106.7,7241.4,7424.5,7281.0,7592.0
CEU6054000010    ,CEU6054000010    ,60540000,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217.4,2214.8,2248.2,2291.0,2343.4,2452.5,2561.1,2695.6,2840.3,2987.7,3156.0,3241.6,3162.1,3168.9,3226.7,3343.8,3498.4,3642.9,3736.4,3596.6,3536.7,3613.9,3693.3,3803.6,3892.8,3992.7,4121.5,4200.3,4311.7,4449.2,4432.2,4673.8
CEU6054110001    ,CEU6054110001    ,60541100,1,1990-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.6,946.0,949.8,963.9,965.6,959.2,968.4,987.5,1021.1,1051.4,1065.7,1091.3,1115.3,1142.1,1163.1,1168.0,1173.2,1175.4,1161.5,1124.9,1114.2,1115.7,1124.0,1128.5,1119.0,1118.6,1123.7,1136.8,1142.0,1150.7,1128.5,1154.8
CEU6054110006    ,CEU6054110006    ,60541100,6,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.7,740.8,737.6,745.5,743.3,735.4,742.2,757.1,783.8,807.5,816.5,833.4,847.0,876.5,893.9,896.7,901.8,906.0,901.6,874.6,867.9,866.4,875.2,880.8,872.3,869.0,872.6,879.4,882.4,886.0,856.2,871.2
CEU6054110010    ,CEU6054110010    ,60541100,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.9,645.2,646.7,653.4,654.9,650.2,657.8,671.0,691.4,710.9,717.9,736.8,757.2,781.9,795.8,801.2,805.4,806.7,797.4,770.9,760.0,763.2,764.7,764.0,750.1,753.9,762.0,768.9,767.0,767.5,748.1,770.6
CEU6054111001    ,CEU6054111001    ,60541110,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.0,907.0,908.5,918.9,918.8,916.4,922.3,939.3,966.4,991.1,1006.3,1028.8,1044.7,1059.3,1074.4,1076.2,1078.8,1086.4,1084.4,1055.2,1045.4,1044.7,1048.8,1047.4,1039.8,1035.6,1038.0,1045.5,1051.6,1059.2,1033.4,1047.3
