index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU1000000002    ,CEU1000000002    ,10000000,2,2006-M03,2022-M05,44.0,43.7,42.1,43.4,44.5,44.0,44.0,44.8,44.0,43.3,45.2,46.0,46.2,44.4,45.0
CEU1000000003    ,CEU1000000003    ,10000000,3,2006-M03,2022-M05,24.91,26.2,27.29,27.39,28.1,28.76,29.72,30.79,31.15,31.91,32.05,32.49,33.68,34.64,34.99
CEU1000000011    ,CEU1000000011    ,10000000,11,2006-M03,2022-M05,1094.81,1144.63,1150.12,1189.32,1250.91,1263.98,1306.16,1380.77,1371.13,1383.16,1448.75,1494.46,1555.88,1537.12,1573.25
CEU1000000012    ,CEU1000000012    ,10000000,12,2006-M03,2022-M04,528.02,531.64,536.09,545.42,556.11,550.53,560.69,583.25,578.49,576.3,591.04,595.15,608.58,593.92,580.6
CEU1000000013    ,CEU1000000013    ,10000000,13,2006-M03,2022-M04,12.01,12.17,12.72,12.56,12.49,12.53,12.76,13.01,13.14,13.3,13.08,12.94,13.17,13.38,12.91
CEU1000000016    ,CEU1000000016    ,10000000,16,2006-M03,2022-M05,100.0,105.2,91.9,96.1,110.2,117.1,119.2,125.5,112.4,91.0,96.0,105.1,105.5,83.6,79.9
CEU1000000017    ,CEU1000000017    ,10000000,17,2006-M03,2022-M05,100.0,110.7,100.7,105.7,124.3,135.2,142.2,155.1,140.6,116.6,123.5,137.1,142.7,116.3,112.3
CEU1000000056    ,CEU1000000056    ,10000000,56,2006-M03,2022-M05,31824.0,33490.0,29245.0,30587.0,35074.0,37279.0,37922.0,39936.0,35776.0,28951.0,30549.0,33443.0,33589.0,26599.0,25437.0
CEU1000000057    ,CEU1000000057    ,10000000,57,2006-M03,2022-M05,792643.0,877356.0,797994.0,837878.0,985508.0,1071958.0,1126894.0,1229579.0,1114502.0,923949.0,979116.0,1086596.0,1131125.0,921506.0,889933.0
CEU1011330002    ,CEU1011330002    ,10113300,2,2006-M03,2022-M04,39.4,39.7,38.2,40.8,40.8,39.7,40.8,40.6,40.8,40.1,39.0,40.1,42.0,39.3,38.8
CEU1011330003    ,CEU1011330003    ,10113300,3,2006-M03,2022-M04,16.94,17.72,17.58,18.8,20.19,20.57,20.69,20.8,20.86,21.26,21.26,21.26,22.64,23.75,26.24
CEU1011330011    ,CEU1011330011    ,10113300,11,2006-M03,2022-M04,668.01,703.41,670.88,767.48,823.73,816.44,843.35,843.95,850.76,852.58,829.83,852.25,951.56,933.24,1017.11
CEU1011330012    ,CEU1011330012    ,10113300,12,2006-M03,2022-M04,322.18,326.71,312.71,351.96,366.2,355.6,362.02,356.49,358.94,355.23,338.54,339.4,372.2,360.59,375.36
CEU1011330013    ,CEU1011330013    ,10113300,13,2006-M03,2022-M04,8.17,8.23,8.19,8.62,8.98,8.96,8.88,8.79,8.8,8.86,8.67,8.47,8.86,9.18,9.68
CEU1011330016    ,CEU1011330016    ,10113300,16,2006-M03,2022-M04,100.0,94.7,81.2,85.6,83.8,85.1,89.0,88.9,90.1,86.3,81.6,83.6,86.8,77.0,75.4
CEU1011330017    ,CEU1011330017    ,10113300,17,2006-M03,2022-M04,100.0,99.0,84.2,95.0,99.8,103.3,108.7,109.2,111.0,108.3,102.4,104.9,116.0,107.9,116.8
CEU1011330056    ,CEU1011330056    ,10113300,56,2006-M03,2022-M04,2371.0,2245.0,1925.0,2029.0,1986.0,2018.0,2110.0,2109.0,2137.0,2046.0,1935.0,1983.0,2058.0,1825.0,1788.0
CEU1011330057    ,CEU1011330057    ,10113300,57,2006-M03,2022-M04,40169.0,39778.0,33840.0,38150.0,40088.0,41509.0,43658.0,43871.0,44580.0,43496.0,41125.0,42151.0,46595.0,43334.0,46914.0
CEU1021000002    ,CEU1021000002    ,10210000,2,2006-M03,2022-M04,44.4,44.0,42.5,43.6,44.7,44.2,44.2,45.1,44.2,43.6,45.7,46.4,46.5,44.8,45.5
