index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU7000000002    ,CEU7000000002    ,70000000,2,2006-M03,2022-M05,26.1,25.9,25.6,25.7,25.9,26.1,26.0,26.2,26.3,26.1,26.1,26.1,25.9,25.5,26.2
CEU7000000003    ,CEU7000000003    ,70000000,3,2006-M03,2022-M05,12.39,12.77,12.97,13.08,13.23,13.37,13.5,13.91,14.32,14.87,15.47,15.98,16.56,17.07,18.43
CEU7000000011    ,CEU7000000011    ,70000000,11,2006-M03,2022-M05,323.54,330.32,331.64,336.83,342.67,349.12,350.95,364.07,376.2,387.8,403.77,416.89,429.0,435.09,482.39
CEU7000000012    ,CEU7000000012    ,70000000,12,2006-M03,2022-M04,156.04,153.42,154.58,154.47,152.34,152.06,150.65,153.79,158.72,161.58,164.72,166.02,167.8,168.11,178.02
CEU7000000013    ,CEU7000000013    ,70000000,13,2006-M03,2022-M04,5.98,5.93,6.05,6.0,5.88,5.82,5.8,5.88,6.04,6.2,6.31,6.36,6.48,6.6,6.8
CEU7000000016    ,CEU7000000016    ,70000000,16,2006-M03,2022-M05,100.0,99.1,95.4,95.9,98.7,102.6,105.7,109.8,113.7,116.5,119.5,121.3,122.6,95.6,105.3
CEU7000000017    ,CEU7000000017    ,70000000,17,2006-M03,2022-M05,100.0,102.2,99.8,101.2,105.3,110.7,115.2,123.2,131.3,139.8,149.2,156.4,163.8,131.7,156.6
CEU7000000056    ,CEU7000000056    ,70000000,56,2006-M03,2022-M05,350475.0,347474.0,334442.0,335965.0,345860.0,359581.0,370623.0,384689.0,398324.0,408323.0,418810.0,425073.0,429679.0,335163.0,369124.0
CEU7000000057    ,CEU7000000057    ,70000000,57,2006-M03,2022-M05,4344098.0,4438228.0,4336974.0,4395217.0,4575634.0,4806823.0,5002510.0,5350431.0,5703321.0,6072873.0,6480893.0,6793389.0,7115235.0,5720542.0,6801993.0
CEU7071000002    ,CEU7071000002    ,70710000,2,2006-M03,2022-M04,25.4,25.2,25.0,25.2,25.0,24.7,24.7,25.2,25.3,24.8,24.4,24.1,23.7,25.0,24.9
CEU7071000003    ,CEU7071000003    ,70710000,3,2006-M03,2022-M04,17.32,17.68,18.14,18.18,18.77,19.04,18.88,19.44,19.79,20.54,21.48,21.88,22.67,23.9,24.37
CEU7071000011    ,CEU7071000011    ,70710000,11,2006-M03,2022-M04,439.48,445.38,453.12,457.62,469.55,470.62,466.76,489.41,500.23,508.62,523.67,528.35,536.15,597.46,607.9
CEU7071000012    ,CEU7071000012    ,70710000,12,2006-M03,2022-M04,211.96,206.86,211.21,209.86,208.75,204.98,200.36,206.73,211.05,211.92,213.64,210.41,209.71,230.85,224.34
CEU7071000013    ,CEU7071000013    ,70710000,13,2006-M03,2022-M04,8.35,8.21,8.46,8.34,8.34,8.29,8.1,8.21,8.35,8.56,8.76,8.71,8.87,9.23,8.99
CEU7071000016    ,CEU7071000016    ,70710000,16,2006-M03,2022-M04,100.0,99.3,95.8,96.4,96.1,97.4,100.4,106.0,109.6,111.6,113.8,115.1,115.3,88.7,98.8
CEU7071000017    ,CEU7071000017    ,70710000,17,2006-M03,2022-M04,100.0,101.4,100.3,101.2,104.1,107.1,109.5,118.9,125.2,132.3,141.2,145.5,151.0,122.4,139.0
CEU7071000056    ,CEU7071000056    ,70710000,56,2006-M03,2022-M04,49970.0,49636.0,47850.0,48159.0,48006.0,48663.0,50177.0,52947.0,54753.0,55760.0,56886.0,57527.0,57635.0,44319.0,49371.0
CEU7071000057    ,CEU7071000057    ,70710000,57,2006-M03,2022-M04,865411.0,877445.0,867948.0,875544.0,901120.0,926457.0,947384.0,1029279.0,1083724.0,1145163.0,1221844.0,1258773.0,1306528.0,1059419.0,1203225.0
CEU7071100002    ,CEU7071100002    ,70711000,2,2006-M03,2022-M04,27.1,27.5,27.5,27.2,27.9,27.1,26.2,27.6,27.9,27.6,26.6,25.9,25.7,28.1,27.5
CEU7071100003    ,CEU7071100003    ,70711000,3,2006-M03,2022-M04,25.7,25.64,26.62,26.94,27.97,28.16,27.74,29.13,29.6,30.2,32.54,33.27,33.63,35.85,36.36
CEU7071100011    ,CEU7071100011    ,70711000,11,2006-M03,2022-M04,697.8,704.96,732.35,733.19,780.75,762.23,728.07,804.94,826.33,833.52,865.77,861.27,865.25,1008.02,1001.35
CEU7071100012    ,CEU7071100012    ,70711000,12,2006-M03,2022-M04,336.55,327.43,341.36,336.24,347.09,331.99,312.53,340.02,348.64,347.29,353.2,342.99,338.44,389.48,369.54
CEU7071100013    ,CEU7071100013    ,70711000,13,2006-M03,2022-M04,12.39,11.91,12.41,12.35,12.43,12.27,11.91,12.3,12.49,12.58,13.28,13.25,13.15,13.85,13.42
CEU7071100016    ,CEU7071100016    ,70711000,16,2006-M03,2022-M04,100.0,101.5,99.3,100.6,100.1,99.1,100.1,111.4,114.4,116.6,119.5,119.2,121.4,86.0,95.4
CEU7071100017    ,CEU7071100017    ,70711000,17,2006-M03,2022-M04,100.0,101.2,102.8,105.4,108.9,108.5,108.0,126.3,131.7,137.0,151.3,154.3,158.9,120.0,135.0
CEU7071100056    ,CEU7071100056    ,70711000,56,2006-M03,2022-M04,10995.0,11156.0,10916.0,11056.0,11004.0,10893.0,11004.0,12253.0,12574.0,12818.0,13139.0,13110.0,13351.0,9457.0,10491.0
CEU7071100057    ,CEU7071100057    ,70711000,57,2006-M03,2022-M04,282608.0,285979.0,290610.0,297840.0,307792.0,306704.0,305217.0,356863.0,372144.0,387112.0,427512.0,436148.0,449006.0,339024.0,381488.0
CEU7071110002    ,CEU7071110002    ,70711100,2,2006-M03,2022-M04,26.3,27.0,26.1,26.3,26.0,26.9,26.6,26.8,27.9,28.0,25.1,25.0,25.7,27.0,26.4
CEU7071110003    ,CEU7071110003    ,70711100,3,2006-M03,2022-M04,24.44,25.15,25.91,26.26,28.11,27.0,26.52,27.85,27.21,28.12,30.65,31.83,30.2,31.46,31.02
CEU7071110011    ,CEU7071110011    ,70711100,11,2006-M03,2022-M04,643.89,679.81,675.0,690.84,730.2,725.75,705.9,745.51,759.82,786.54,768.78,795.76,775.33,848.92,819.06
CEU7071110012    ,CEU7071110012    ,70711100,12,2006-M03,2022-M04,310.54,315.75,314.63,316.82,324.62,316.1,303.02,314.91,320.58,327.72,313.63,316.9,303.27,328.01,302.27
CEU7071110013    ,CEU7071110013    ,70711100,13,2006-M03,2022-M04,11.79,11.68,12.08,12.04,12.5,11.76,11.38,11.76,11.48,11.72,12.5,12.68,11.81,12.16,11.45
CEU7071110016    ,CEU7071110016    ,70711100,16,2006-M03,2022-M04,100.0,103.1,95.5,94.9,90.3,94.4,95.2,98.1,105.2,108.2,102.0,102.1,108.2,66.1,69.9
CEU7071110017    ,CEU7071110017    ,70711100,17,2006-M03,2022-M04,100.0,106.0,101.3,102.0,103.9,104.3,103.3,111.8,117.1,124.5,127.9,132.9,133.7,85.1,88.7
CEU7071110056    ,CEU7071110056    ,70711100,56,2006-M03,2022-M04,3097.0,3192.0,2959.0,2939.0,2798.0,2925.0,2949.0,3039.0,3258.0,3351.0,3158.0,3161.0,3351.0,2048.0,2164.0
CEU7071110057    ,CEU7071110057    ,70711100,57,2006-M03,2022-M04,75700.0,80269.0,76663.0,77196.0,78637.0,78973.0,78184.0,84627.0,88633.0,94234.0,96796.0,100618.0,101180.0,64433.0,67129.0
CEU7071120002    ,CEU7071120002    ,70711200,2,2006-M03,2022-M04,27.4,28.8,28.0,27.0,29.0,27.4,26.7,29.2,27.6,28.4,27.5,27.7,27.6,30.6,30.5
CEU7071120003    ,CEU7071120003    ,70711200,3,2006-M03,2022-M04,27.49,24.75,24.29,24.84,26.8,29.94,29.53,30.19,30.68,32.52,35.47,34.87,36.43,39.92,38.75
CEU7071120011    ,CEU7071120011    ,70711200,11,2006-M03,2022-M04,752.34,712.87,678.92,670.45,778.23,821.13,787.52,882.15,847.03,922.7,976.78,966.28,1005.92,1220.93,1180.29
