index,Index,Label,unit,start,last,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CWUS0000SERB01   ,CWUS0000SERB01   ,"Pets and pet products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.202,200.764,204.388,206.953,205.692,203.008,204.092,208.254
CWUS0000SERB02   ,CWUS0000SERB02   ,"Pet services including veterinary in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.872,250.958,256.543,261.732,265.369,272.453,281.612,282.989
CWUS0000SERC     ,CWUS0000SERC     ,"Sporting goods in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.565,109.533,109.835,111.027,111.322,113.832,116.675,119.58
CWUS0000SERC01   ,CWUS0000SERC01   ,"Sports vehicles including bicycles in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.3,140.384,141.784,144.478,144.577,148.277,151.709,156.423
CWUS0000SERC02   ,CWUS0000SERC02   ,"Sports equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.48,77.394,76.692,76.503,77.035,78.081,80.259,81.272
CWUS0000SERD     ,CWUS0000SERD     ,"Photography in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.824,77.089,76.146,75.899,77.634,78.046,78.99,81.056
CWUS0000SERD01   ,CWUS0000SERD01   ,"Photographic equipment and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.186,53.337,52.469,54.799,55.964,56.149,56.901,58.737
CWUS0000SERD02   ,CWUS0000SERD02   ,"Photographers and photo processing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.818,121.586,120.35,116.663,118.99,119.825,121.148,123.673
CWUS0000SERE     ,CWUS0000SERE     ,"Other recreational goods in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.425,34.599,33.901,32.7,31.788,31.116,31.67,31.554
CWUS0000SERE01   ,CWUS0000SERE01   ,"Toys in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.701,33.547,32.66,31.11,30.051,29.211,29.87,29.677
