index,Index,Label,unit,start,last,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000AA0      ,CWUR0000AA0      ,"All items - old base in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1913-M01,2022-M04,29.7,30.1,30.4,32.7,38.4,45.1,51.8,60.0,53.6,50.2,51.1,51.2,52.5,53.0,52.0,51.3,51.3,50.0,45.6,40.9,38.8,40.1,41.1,41.5,43.0,42.2,41.6,42.0,44.1,48.8,51.8,52.7,53.9,58.5,66.9,72.1,71.4,72.1,77.8,79.5,80.1,80.5,80.2,81.4,84.3,86.6,87.3,88.7,89.6,90.6,91.7,92.9,94.5,97.2,100.0,104.2,109.8,116.3,121.3,125.3,133.1,147.7,161.2,170.5,181.5,195.3,217.7,247.0,272.3,288.6,297.4,307.6,318.5,323.4,335.0,348.4,365.2,384.4,399.9,411.5,423.1,433.8,446.1,459.1,469.3,475.6,486.2,503.1,516.8,523.9,535.6,549.5,568.9,587.2,603.982,628.661,624.423,637.342,660.005,673.868,683.087,693.353,690.491,697.241,712.06,730.216,742.355,751.371,790.872
CWUR0000AA0R     ,CWUR0000AA0R     ,"Purchasing power of the consumer dollar - old base in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1913-M01,2022-M04,336.7,332.2,328.9,305.8,260.4,221.7,193.1,166.7,186.6,199.2,195.7,195.3,190.5,188.7,192.3,194.9,194.9,200.0,219.3,244.5,257.7,249.4,243.3,241.0,232.6,237.0,240.4,238.1,226.8,204.9,193.1,189.8,185.5,170.9,149.5,138.7,140.1,138.7,128.5,125.8,124.8,124.2,124.7,122.9,118.6,115.5,114.5,112.7,111.6,110.4,109.1,107.6,105.8,102.9,100.0,96.0,91.1,86.0,82.4,79.9,75.2,67.8,62.1,58.7,55.1,51.2,46.0,40.5,36.8,34.7,33.6,32.5,31.4,30.9,29.9,28.7,27.4,26.0,25.0,24.3,23.6,23.1,22.4,21.8,21.3,21.0,20.6,19.9,19.3,19.1,18.7,18.2,17.6,17.0,16.6,15.9,16.0,15.7,15.2,14.8,14.6,14.4,14.5,14.4,14.1,13.7,13.5,13.3,12.7
CWUR0000SA0      ,CWUR0000SA0      ,"All items in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1913-M01,2022-M04,10.0,10.1,10.2,11.0,12.9,15.1,17.4,20.1,18.0,16.9,17.2,17.2,17.6,17.8,17.5,17.2,17.2,16.8,15.3,13.7,13.0,13.5,13.8,13.9,14.4,14.2,14.0,14.1,14.8,16.4,17.4,17.7,18.1,19.6,22.5,24.2,24.0,24.2,26.1,26.7,26.9,27.0,26.9,27.3,28.3,29.1,29.3,29.8,30.1,30.4,30.8,31.2,31.7,32.6,33.6,35.0,36.9,39.0,40.7,42.1,44.7,49.6,54.1,57.2,60.9,65.6,73.1,82.9,91.4,96.9,99.8,103.3,106.9,108.6,112.5,117.0,122.6,129.0,134.3,138.2,142.1,145.6,149.8,154.1,157.6,159.7,163.2,168.9,173.5,175.9,179.8,184.5,191.0,197.1,202.767,211.053,209.63,213.967,221.575,226.229,229.324,232.771,231.81,234.076,239.051,245.146,249.222,252.248,265.51
CWUR0000SA0E     ,CWUR0000SA0E     ,"Energy in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1957-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,21.5,21.8,22.4,22.5,22.5,22.6,22.5,22.9,23.3,23.8,24.1,24.8,25.5,26.5,27.2,29.4,38.0,42.0,45.0,49.3,52.4,66.1,86.8,98.4,99.4,99.9,100.7,101.4,87.4,88.0,88.6,93.9,102.0,102.2,102.6,103.6,104.1,104.7,109.8,111.1,102.1,106.1,124.8,128.7,120.9,135.9,151.3,177.2,196.8,208.066,237.414,192.594,211.926,246.086,248.805,246.749,245.214,202.445,188.357,203.534,219.638,214.747,195.362,238.148
CWUR0000SA0L1    ,CWUR0000SA0L1    ,"All items less food in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M04,,,,,,,,,,,,,,,,,,,,,,,15.1,15.2,15.8,16.0,15.9,15.9,16.4,17.5,18.0,18.7,19.1,20.0,21.8,23.4,23.6,23.9,25.4,26.0,26.5,26.7,26.8,27.2,28.1,28.8,29.3,29.8,30.1,30.5,30.9,31.3,31.7,32.5,33.6,35.1,37.0,39.2,41.0,42.3,43.9,48.3,52.8,56.3,59.9,64.2,71.6,82.0,91.0,96.8,99.9,103.3,107.3,108.5,112.2,116.7,122.0,128.3,133.8,138.2,142.3,145.9,150.0,154.3,157.6,159.5,163.1,169.1,173.6,175.8,179.7,184.1,191.0,197.5,202.698,210.452,208.128,212.938,220.401,224.814,227.899,230.949,229.099,231.679,237.151,243.688,247.666,249.642,263.336
CWUR0000SA0L1E   ,CWUR0000SA0L1E   ,"All items less food and energy in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1957-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,29.9,30.5,31.0,31.3,31.7,32.1,32.6,33.1,33.9,35.1,36.7,38.8,41.2,43.2,44.5,46.0,49.8,54.4,58.0,61.6,66.1,72.5,81.3,89.7,96.4,99.9,103.7,108.2,112.3,116.8,121.9,127.3,133.3,139.6,144.7,149.3,153.5,158.2,162.3,166.0,169.6,173.1,177.1,181.7,185.6,187.9,190.6,194.6,199.2,203.554,208.147,212.126,214.835,218.461,223.114,226.997,230.799,234.827,239.837,243.985,249.189,254.487,259.269,269.409
CWUR0000SA0L2    ,CWUR0000SA0L2    ,"All items less shelter in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M04,,,,,,,,,,,,,,,,,,,,,,,14.0,14.2,14.6,14.2,14.0,14.0,14.9,16.8,18.1,18.4,18.9,20.8,24.1,26.0,25.6,25.7,27.9,28.4,28.5,28.5,28.4,28.8,29.7,30.6,30.8,31.3,31.7,32.0,32.4,32.8,33.3,34.3,35.2,36.7,38.4,40.3,42.0,43.3,46.2,51.4,56.0,59.3,63.1,67.4,74.4,83.2,91.3,96.3,99.8,103.9,106.8,107.4,111.0,115.2,120.9,127.3,132.3,135.9,139.7,143.0,146.8,151.0,154.0,155.0,158.1,163.8,167.6,168.3,171.9,176.4,183.4,189.2,193.94,203.102,199.86,205.943,215.223,219.7,221.776,223.832,219.518,219.274,222.665,227.469,229.458,230.793,245.705
CWUR0000SA0L5    ,CWUR0000SA0L5    ,"All items  less medical care in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1957-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,29.7,29.9,30.3,30.6,30.9,31.3,31.7,32.2,33.1,33.9,35.3,37.2,39.4,41.0,42.4,45.1,50.1,54.6,57.5,61.1,65.8,73.3,83.3,91.8,97.1,99.8,103.1,106.6,107.8,111.5,115.8,121.2,127.4,132.2,135.7,139.2,142.6,146.4,150.7,154.0,155.8,159.2,164.7,169.1,171.1,174.8,179.1,185.4,191.3,196.564,204.626,202.81,206.828,214.226,218.509,221.344,224.557,223.187,224.885,229.586,235.572,239.226,241.468,254.983
CWUR0000SA0LE    ,CWUR0000SA0LE    ,"All items less energy in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1957-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,30.0,30.2,30.7,31.0,31.4,31.8,32.3,32.7,33.8,34.7,36.3,38.3,40.6,42.4,43.8,46.5,51.0,55.6,58.8,62.4,67.3,74.0,82.4,90.5,96.6,99.8,103.6,107.6,111.5,116.0,121.0,126.7,133.0,138.9,143.2,147.5,151.5,156.1,160.4,164.1,167.6,171.1,175.1,179.8,183.6,186.1,189.5,193.5,198.0,203.002,208.719,212.652,215.173,219.598,224.463,228.218,232.33,236.424,240.688,244.48,249.387,254.573,260.055,270.278
CWUR0000SA0R     ,CWUR0000SA0R     ,"Purchasing power of the consumer dollar in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1913-M01,2022-M04,1002.3,988.9,979.1,910.3,775.2,660.0,574.8,496.3,555.5,593.0,582.6,581.4,567.1,561.7,572.5,580.2,580.2,595.4,652.8,727.9,767.2,742.4,724.3,717.4,692.4,705.5,715.7,708.8,675.2,610.0,574.8,565.0,552.2,508.8,445.1,412.9,417.1,412.9,382.5,374.5,371.5,369.7,371.2,365.9,353.1,343.8,340.9,335.5,332.2,328.7,324.8,320.3,315.0,306.3,297.7,285.8,271.2,256.0,245.3,237.9,223.9,201.8,184.9,174.7,164.0,152.4,136.9,120.6,109.6,103.3,100.0,96.8,93.5,92.0,89.0,85.5,81.6,77.5,74.5,72.4,70.4,68.7,66.8,64.9,63.5,62.6,61.3,59.2,57.6,56.9,55.6,54.2,52.4,50.7,49.3,47.4,47.7,46.7,45.1,44.2,43.6,43.0,43.2,42.7,41.8,40.8,40.1,39.7,37.7
