index,Index,Label,unit,start,last,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
CWURA104AA0      ,CWURA104AA0      ,"All items - old base in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1917-M12,1997-M13,45.2,51.9,59.6,53.3,49.7,50.8,51.3,53.0,53.4,52.5,52.1,52.1,50.4,45.7,40.6,38.0,39.5,40.7,41.2,42.8,41.9,41.0,41.6,43.8,48.3,51.4,52.4,53.7,58.3,67.7,72.5,71.6,72.2,78.2,79.7,80.2,80.9,80.3,82.3,84.9,87.5,88.6,90.5,91.3,92.1,93.1,94.3,95.8,98.3,100.0,104.7,110.4,116.4,121.5,125.3,132.9,147.3,160.0,168.3,179.8,195.0,217.5,248.0,273.5,288.6,301.3,302.3,308.3,309.9,318.5,328.6,343.3,360.8,374.4,387.1,398.2,411.4,425.0,436.6,447.6
CWURA104SA0      ,CWURA104SA0      ,"All items in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1917-M12,1997-M13,15.2,17.5,20.0,17.9,16.7,17.1,17.2,17.8,18.0,17.7,17.5,17.5,16.9,15.4,13.7,12.8,13.3,13.7,13.9,14.4,14.1,13.8,14.0,14.7,16.2,17.3,17.6,18.1,19.6,22.8,24.4,24.1,24.3,26.3,26.8,27.0,27.2,27.0,27.7,28.5,29.4,29.8,30.4,30.7,31.0,31.3,31.7,32.2,33.1,33.6,35.2,37.1,39.1,40.9,42.1,44.7,49.5,53.8,56.6,60.5,65.6,73.1,83.4,92.0,97.0,101.3,101.6,103.7,104.2,107.1,110.4,115.4,121.3,125.9,130.1,133.9,138.3,142.9,146.8,150.5
CWURA104SA0E     ,CWURA104SA0E     ,"Energy in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6,84.5,96.0,96.5,100.5,103.0,103.7,89.7,89.0,87.3,94.4,105.6,109.5,109.0,108.0,112.4,115.4,116.2,121.2
CWURA104SA0L1E   ,CWURA104SA0L1E   ,"All items less food and energy in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1982-M02,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,101.5,101.6,104.2,106.8,109.9,114.3,118.7,123.7,128.5,133.9,138.2,142.9,148.2,152.1,155.9
CWURA104SA0L2    ,CWURA104SA0L2    ,"All items less shelter in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,62.2,66.6,73.5,82.2,90.7,95.8,100.5,103.8,105.5,105.1,107.9,111.3,117.2,123.2,127.2,130.8,134.4,137.9,142.5,146.4,150.6
CWURA104SA0L5    ,CWURA104SA0L5    ,"All items  less medical care in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,35.6,37.5,39.6,41.4,42.6,45.2,50.1,54.4,57.0,60.8,65.9,73.6,83.9,92.5,97.4,101.3,101.3,103.1,103.3,105.9,109.1,113.9,119.6,123.8,128.0,131.5,135.7,140.3,143.9,147.6
CWURA104SA0LE    ,CWURA104SA0LE    ,"All items less energy in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,83.3,91.4,97.1,101.5,101.5,103.7,106.3,109.8,113.7,118.5,123.7,128.4,133.3,137.6,142.1,146.9,151.2,154.7
CWURA104SAA      ,CWURA104SAA      ,"Apparel in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M10,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,44.4,43.8,44.8,46.0,46.1,46.3,47.0,47.3,47.6,48.7,49.4,50.4,51.8,53.1,56.2,59.9,61.3,63.5,65.6,67.8,73.1,75.2,76.5,77.9,78.5,83.8,89.4,93.3,97.7,100.9,101.4,102.8,100.0,106.1,112.6,118.6,122.1,124.5,128.0,128.8,128.5,128.9,129.1,136.8
CWURA104SAC      ,CWURA104SAC      ,"Commodities in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,39.2,41.0,42.8,44.2,45.3,48.6,54.5,59.0,61.1,64.2,68.9,76.8,86.4,93.8,97.2,101.5,101.3,102.4,100.3,103.4,106.9,111.5,116.9,120.2,122.8,125.8,128.3,132.1,135.7,138.9
CWURA104SACL1    ,CWURA104SACL1    ,"Commodities less food in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,42.0,43.8,45.5,47.1,47.9,49.5,54.1,58.3,61.1,63.6,66.9,74.9,85.9,93.6,96.8,101.6,101.6,102.7,97.8,99.9,103.9,107.8,112.7,115.5,117.8,120.0,122.0,126.3,128.7,132.2
