index,Index,Label,unit,start,last,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CWUS0000SEED04   ,CWUS0000SEED04   ,"Land-line telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.316,117.806,119.087,123.34299999999999,128.821,130.356,135.043
CWUS0000SEEE     ,CWUS0000SEEE     ,"Information technology, hardware and services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1988.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.052999999999999,8.074,8.017999999999999,7.99,8.007,7.95,7.955
CWUS0000SEEE01   ,CWUS0000SEEE01   ,"Personal computers and peripheral equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2007.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.691,39.8,38.921,38.605,37.895,37.575,37.931999999999995
CWUS0000SEEE02   ,CWUS0000SEEE02   ,"Computer software and accessories in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.511,31.351999999999997,30.06,28.04,26.255,25.219,25.386999999999997
CWUS0000SEEE03   ,CWUS0000SEEE03   ,"Internet services and electronic information providers in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.785,76.969,77.263,77.568,78.737,78.649,79.293
CWUS0000SEEE04   ,CWUS0000SEEE04   ,"Telephone hardware, calculators, and other consumer information items in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.02,19.813,18.33,17.087,15.807,14.585999999999999,12.544
CWUS0000SEEEC    ,CWUS0000SEEEC    ,"Information technology commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.633,53.078,51.28100000000001,50.108000000000004,48.446999999999996,47.19300000000001,46.083
CWUSN000SAE      ,CWUSN000SAE      ,"Education and communication in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S01,,,,,,,,,,,99.8,100.3,100.3,101.1,101.5,102.2,103.0,105.3,105.4,106.7,106.9,107.6,107.5,107.8,107.9,109.2,110.3,111.6,112.149,113.927,114.596,117.3,118.051,119.749,120.47200000000001,121.41799999999999,121.02600000000001,122.105,123.146,123.72200000000001,124.266,124.96700000000001,126.089,126.306,125.367,126.10700000000001,126.369,126.72399999999999,122.92299999999999,120.786,120.764,121.242,120.9,121.559,122.663,125.28200000000001,125.238
CWUSN000SAEC     ,CWUSN000SAEC     ,"Education and communication commodities in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.684,99.75299999999999,99.76100000000001,97.822,97.61399999999999,97.355,95.462,93.992,94.339,92.947,91.927,90.435,87.86399999999998,87.963,85.785,84.139,82.699,81.17399999999998,78.316,77.306,75.419,74.778,73.083
CWUSN000SAES     ,CWUSN000SAES     ,"Education and communication services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11200000000001,101.064,100.706,101.876,102.84700000000001,103.40100000000001,104.09100000000001,104.883,105.881,106.236,105.48299999999999,106.334,106.87200000000001,107.19,103.921,102.132,102.281,102.902,102.92,103.649,104.89,107.361,107.495
CWUSN000SEEB     ,CWUSN000SEEB     ,"Tuition, other school fees, and childcare in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2017-S02,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.639,243.238,248.093,251.12099999999998,254.386,256.48400000000004,258.849,258.439
CWUSS000SAE      ,CWUSS000SAE      ,"Education and communication in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S01,,,,,,,,,,,100.2,101.1,101.4,102.6,102.9,103.8,105.0,107.0,107.4,109.6,109.5,110.2,110.7,111.5,112.2,113.6,114.6,116.2,116.656,119.055,120.613,123.229,124.46600000000001,126.20100000000001,126.705,127.477,127.053,127.834,128.518,129.4,130.204,130.921,130.959,131.126,130.44,131.371,131.474,130.46200000000002,127.963,127.081,127.22200000000001,127.48899999999999,126.881,128.159,128.514,130.372,130.936
CWUSS000SAEC     ,CWUSS000SAEC     ,"Education and communication commodities in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.427,97.421,94.59700000000001,92.087,91.54799999999999,89.65100000000002,88.941,86.546,84.47,82.24700000000001,79.56,77.623,75.926,73.852,73.222,72.559,72.233,70.562,69.493,68.288,66.766,65.199,64.673
CWUSS000SAES     ,CWUSS000SAES     ,"Education and communication services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.39299999999999,101.226,101.1,101.98200000000001,102.619,103.569,104.336,105.191,105.44200000000001,105.831,105.524,106.55,106.829,106.185,104.057,103.359,103.52,103.959,103.553,104.82799999999999,105.321,107.11,107.65799999999999
CWUSS000SEEB     ,CWUSS000SEEB     ,"Tuition, other school fees, and childcare in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,2017-S02,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.931,525.214,536.094,541.119,551.756,556.2819999999998,560.078,561.9490000000002
