index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SAG      ,CWUR0000SAG      ,"Other goods and services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,37.2,39.1,41.3,43.3,45.1,46.9,50.2,54.4,57.6,60.9,64.8,69.4,75.6,82.5,90.9,101.3,107.9,114.2,120.9,127.8,136.5,147.4,158.9,171.7,183.3,192.2,196.4,204.2,212.2,221.6,236.1,261.9,276.5,289.5,302.0,307.0,312.6,322.2,330.9,344.004,357.906,391.628,409.278,416.899,424.739,432.64,440.938,449.454,459.454,471.454,482.444,494.17,507.613,525.938
CWUR0000SAG1     ,CWUR0000SAG1     ,"Personal care in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,14.3,14.5,15.3,15.6,15.6,15.6,16.0,17.5,19.3,20.7,21.3,22.8,25.6,26.5,26.4,26.4,28.9,29.3,29.5,29.7,30.2,31.4,32.6,33.6,34.3,34.9,35.1,35.7,36.2,36.6,36.9,37.6,38.7,40.3,42.3,43.8,45.2,46.4,48.5,53.2,58.3,62.1,66.2,70.5,75.7,82.4,89.0,95.4,100.3,104.3,108.3,111.9,115.0,119.3,124.8,130.2,134.7,138.6,141.6,144.8,147.3,150.1,152.6,156.8,161.3,165.5,170.3,174.1,177.0,180.4,184.0,188.3,193.59,199.17,202.49,204.299,206.361,209.661,212.419,215.276,218.217,221.679,224.244,227.928,230.972,234.851,239.853
CWUR0000SAGC     ,CWUR0000SAGC     ,"Other goods in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.377,103.327,105.042,106.71,108.889,110.532,112.301,115.296,117.347,120.15,123.258,127.746
CWUR0000SAGS     ,CWUR0000SAGS     ,"Other personal services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.223,103.016,105.275,107.603,109.491,112.234,115.635,118.574,122.206,125.243,128.878,133.475
CWUR0000SEGA     ,CWUR0000SEGA     ,"Tobacco and smoking products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,13.8,13.8,14.2,14.3,14.6,15.0,15.3,15.7,16.5,17.0,17.7,18.3,19.9,20.7,21.4,21.7,22.5,23.6,24.6,24.9,25.1,25.6,26.3,27.1,28.2,29.1,29.4,29.6,30.5,31.2,32.7,34.3,35.6,37.8,39.8,43.1,45.0,47.4,48.8,51.2,54.8,57.1,59.9,63.1,66.9,72.1,77.7,86.4,103.4,110.2,116.8,124.8,133.7,146.0,164.2,181.2,202.5,219.7,228.3,220.1,225.9,232.5,243.3,274.8,356.2,395.2,426.1,463.2,470.5,478.8,504.2,521.6,555.502,591.1,735.056,812.347,839.665,859.576,884.211,910.906,939.072,972.421,1030.4,1070.168,1123.868,1181.754,1265.347
CWUR0000SEGA01   ,CWUR0000SEGA01   ,"Cigarettes in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,143.6,159.6,172.4,187.8,190.5,193.4,203.6,210.7,224.801,239.301,298.347,329.939,340.792,348.822,358.919,370.331,382.168,395.767,419.674,435.719,458.293,483.62,519.069
CWUR0000SEGA02   ,CWUR0000SEGA02   ,"Tobacco products other than cigarettes in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,111.5,119.3,122.8,128.4,134.2,142.8,150.6,154.7,159.637,168.683,199.409,217.634,227.415,233.415,238.96,239.884,243.149,251.405,264.053,275.713,284.815,288.928,302.264
CWUR0000SEGB     ,CWUR0000SEGB     ,"Personal care products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,21.9,22.2,22.9,23.1,22.8,22.7,23.3,25.1,25.5,26.1,26.3,27.5,33.1,34.1,32.9,32.1,35.6,34.9,34.7,34.5,34.5,35.3,36.4,37.8,38.1,38.1,38.0,38.3,38.5,38.5,38.3,37.9,38.5,39.7,41.5,42.5,43.8,45.0,46.2,51.4,57.8,61.1,64.5,68.1,72.6,79.3,87.3,95.1,100.7,104.1,107.5,111.2,113.9,118.0,123.3,128.1,132.9,137.2,139.6,142.2,143.8,145.0,145.1,149.3,152.5,154.2,155.7,155.5,154.2,154.4,154.5,155.7,158.268,159.41,162.557,161.174,161.045,162.262,162.05,163.627,163.629,163.236,161.725,161.677,161.081,160.714,159.959
CWUR0000SEGB01   ,CWUR0000SEGB01   ,"Hair, dental, shaving, and miscellaneous personal care products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,101.5,102.8,103.9,104.0,102.0,101.8,101.5,102.3,103.516,104.377,105.287,104.309,102.847,103.37,103.229,103.686,104.046,103.246,102.498,102.597,103.271,104.144,103.867
CWUR0000SEGB02   ,CWUR0000SEGB02   ,"Cosmetics, perfume, bath, nail preparations and implements in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,73.9,79.8,86.8,94.8,100.7,104.6,108.1,112.3,115.1,118.9,123.6,129.4,135.4,137.6,141.6,146.2,147.2,150.2,154.4,162.4,168.2,169.6,171.2,170.4,171.1,172.1,173.2,174.6,178.306,179.325,185.092,183.698,186.166,187.923,187.704,190.713,189.964,190.691,188.422,187.808,184.41,181.125,179.822
