index,Index,Label,unit,start,last,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SAH      ,CWUR0000SAH      ,"Housing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,32.3,34.3,36.7,38.3,39.8,41.5,46.2,51.1,54.2,57.9,62.9,70.7,81.7,91.1,97.7,100.0,102.2,106.6,109.7,112.8,116.8,121.2,126.4,131.2,135.0,138.5,142.0,145.4,149.6,153.4,156.7,160.0,165.4,172.1,175.7,180.4,185.0,191.2,198.5,204.795,211.839,213.144,212.88,215.81,219.287,223.993,229.896,234.499,240.167,247.443,254.63,261.91,267.98,276.782
CWUR0000SAH1     ,CWUR0000SAH1     ,"Shelter in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,22.7,23.0,23.4,24.2,24.7,25.0,25.5,25.7,26.0,26.4,26.8,27.3,28.1,29.1,30.5,32.9,35.9,37.4,39.1,40.9,44.9,49.3,52.0,55.5,61.1,69.8,82.3,91.8,98.4,99.9,101.7,107.6,113.5,118.8,124.3,129.8,136.6,142.5,147.2,151.6,156.2,161.2,166.2,171.2,176.6,181.6,187.4,194.5,201.9,206.9,212.2,217.5,224.8,232.998,239.128,242.637,242.309,245.526,250.877,256.754,263.97,272.058,281.213,290.695,300.493,310.797,318.896,327.317
CWUR0000SAH2     ,CWUR0000SAH2     ,"Fuels and utilities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,22.5,22.9,23.5,24.2,24.7,25.3,25.9,26.2,26.2,26.5,26.5,26.5,26.6,27.0,27.3,27.9,29.0,31.0,32.4,34.2,40.5,45.3,49.3,54.5,58.3,64.6,75.3,86.4,94.9,100.3,104.8,106.4,103.9,102.7,104.1,107.5,111.2,114.9,117.5,121.1,122.5,123.2,127.2,130.5,128.4,128.7,137.4,149.5,142.9,153.9,161.2,177.9,193.1,198.863,217.883,209.595,212.885,218.859,217.399,223.612,233.025,228.961,227.646,235.77,239.734,240.704,242.289,258.581
CWUR0000SAH21    ,CWUR0000SAH21    ,"Household energy in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,21.7,22.2,23.1,24.7,25.7,27.5,34.4,39.4,43.4,49.0,53.0,61.4,74.8,87.1,95.5,100.5,103.9,104.5,99.2,97.1,97.7,100.6,103.8,106.1,107.5,110.7,111.1,110.8,114.7,117.3,113.3,113.0,121.8,134.2,126.1,137.0,143.2,159.7,174.4,179.031,197.537,186.229,187.272,191.522,187.269,191.831,200.183,193.272,189.738,196.651,198.944,198.22,198.018,213.407
CWUR0000SAH3     ,CWUR0000SAH3     ,"Household furnishings and operations in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,44.2,45.9,47.5,49.3,50.4,51.8,57.6,64.3,68.2,71.4,75.4,80.5,86.4,92.9,97.9,100.2,101.9,103.7,105.0,106.7,108.9,110.6,112.5,115.2,116.9,118.0,119.7,121.8,123.2,123.9,125.0,124.7,125.5,125.8,124.4,121.9,121.1,121.8,122.6,122.477,123.635,124.632,121.555,121.109,121.784,120.784,118.934,117.837,116.587,115.465,116.169,117.999,120.317,125.229
CWUR0000SAH31    ,CWUR0000SAH31    ,"Household furnishings and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.524,98.003,98.342,97.242,95.233,93.8,92.245,90.892,90.828,91.823,93.507,97.067
CWUR0000SEHA     ,CWUR0000SEHA     ,"Rent of primary residence in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1913-M13,2022-M02,21.0,21.0,21.1,21.4,21.2,21.6,23.4,27.5,31.5,32.5,33.3,34.5,34.6,34.3,33.8,32.9,32.2,31.3,29.6,26.6,22.9,21.5,21.4,22.0,23.0,23.7,23.7,23.8,24.2,24.8,24.8,24.8,24.9,25.1,25.9,27.6,28.8,29.8,31.0,32.3,34.0,35.2,35.7,36.4,37.1,37.7,38.3,38.8,39.3,39.8,40.2,40.6,41.0,41.6,42.3,43.4,44.8,46.6,48.8,50.5,52.6,55.3,58.1,61.3,65.0,69.4,74.5,81.0,88.0,94.6,100.1,105.3,111.7,118.2,122.9,127.5,132.3,137.9,142.9,146.5,150.0,153.7,157.4,161.6,166.3,171.7,177.1,183.4,191.5,199.0,204.7,210.2,216.5,224.2,233.806,242.196,247.401,247.725,251.857,258.356,265.516,273.743,283.418,293.881,304.992,315.991,327.737,338.015,345.933
CWUR0000SEHB     ,CWUR0000SEHB     ,"Lodging away from home in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,112.2,117.3,118.4,118.4,119.8,126.4,130.0,135.3,142.339,143.164,135.163,135.119,138.828,142.292,144.687,152.007,157.599,162.081,163.768,165.768,171.183,153.711,171.122
CWUR0000SEHB01   ,CWUR0000SEHB01   ,"Housing at school, excluding board in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,109.0,116.8,123.8,132.5,140.0,149.2,158.9,169.1,181.3,189.4,197.5,206.6,214.7,225.4,235.4,245.8,256.5,268.6,283.6,300.6,318.8,337.8,357.2,377.074,395.355,415.672,434.669,453.068,470.675,488.864,504.141,518.198,532.409,546.978,561.276,574.287,585.93,597.334
CWUR0000SEHB02   ,CWUR0000SEHB02   ,"Other lodging away from home including hotels and motels in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,29.0,31.2,34.0,35.3,36.1,37.7,40.5,43.5,47.0,50.8,57.8,66.5,76.0,84.7,94.2,99.1,106.7,114.3,118.8,126.4,133.4,139.4,153.1,174.6,184.8,189.3,195.5,203.2,213.7,223.6,234.1,240.7,251.6,253.0,251.6,253.1,265.8,272.7,282.2,296.854,298.612,278.951,280.418,287.036,293.21,296.415,309.839,321.767,328.176,331.009,336.527,348.089,305.24,342.627
