index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SAE      ,CWUR0000SAE      ,"Education and communication in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,89.1,92.3,95.4,98.5,100.4,101.5,102.7,105.3,107.6,109.0,110.0,111.4,113.9,116.301,119.827,123.017,124.891,125.52,127.319,128.732,129.679,129.453,129.827,125.812,125.416,125.621,128.027,129.985
CWUR0000SAE1     ,CWUR0000SAE1     ,"Education in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,83.1,87.7,92.4,97.2,102.1,107.2,112.8,118.7,125.9,133.8,142.5,151.0,160.3,169.28,178.892,188.143,196.606,204.761,213.076,221.049,228.054,236.882,243.805,249.484,254.659,261.34,266.373,269.516
CWUR0000SAE2     ,CWUR0000SAE2     ,"Communication in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,97.1,98.4,99.3,100.2,99.1,96.9,94.6,94.5,93.7,91.2,88.3,86.4,86.0,85.782,86.807,87.662,87.317,85.789,85.558,85.013,84.355,82.275,81.323,76.43,75.172,74.298,75.696,76.986
CWUR0000SAE21    ,CWUR0000SAE21    ,"Information and information processing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,98.0,98.2,99.2,100.3,99.0,96.5,94.1,93.8,92.7,89.9,86.8,84.9,84.3,83.928,84.828,85.571,85.126,83.447,83.125,82.43,81.697,79.628,78.677,73.778,72.482,71.53,72.842,74.033
CWUR0000SAEC     ,CWUR0000SAEC     ,"Education and communication commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.252,96.063,93.867,91.138,88.405,84.813,81.373,79.068,76.742,73.338,70.537,69.39
CWUR0000SAES     ,CWUR0000SAES     ,"Education and communication services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.715,101.559,103.352,104.878,106.011,106.206,106.928,103.597,103.516,104.111,106.589,108.454
CWUR0000SEEA     ,CWUR0000SEEA     ,"Educational books and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,34.9,36.9,38.2,40.8,43.5,44.9,46.6,49.5,52.9,56.1,61.1,65.8,71.6,80.4,91.0,100.3,108.8,118.1,127.8,137.9,147.1,156.9,170.3,180.2,190.6,199.2,207.1,215.5,228.2,240.4,253.1,264.1,283.3,299.9,318.5,336.5,352.2,367.1,390.7,423.73,452.88,485.025,508.386,534.846,569.107,601.202,622.334,655.342,688.084,699.713,700.193,691.633,693.699,702.707
CWUR0000SEEB     ,CWUR0000SEEB     ,"Tuition, other school fees, and childcare in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,64.4,71.1,79.8,90.5,99.6,109.9,119.9,129.8,139.9,150.8,162.4,175.2,190.1,205.6,220.8,234.5,248.0,261.0,274.6,288.5,302.8,318.2,334.7,354.8,377.3,402.5,427.1,453.3,477.589,504.163,529.316,552.958,575.357,597.554,618.909,638.33,662.266,680.588,696.748,712.201,733.025,747.855,756.632
CWUR0000SEEB01   ,CWUR0000SEEB01   ,"College tuition and fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,64.5,70.7,79.5,90.3,99.6,110.1,120.4,130.0,139.5,149.8,162.0,175.3,193.2,212.9,231.1,246.5,261.7,277.5,293.1,305.7,318.1,331.5,348.5,372.7,403.5,441.7,475.1,508.0,540.249,574.568,609.751,641.754,675.238,708.778,738.827,765.666,792.487,812.748,827.692,847.78,874.514,887.711,895.57
CWUR0000SEEB02   ,CWUR0000SEEB02   ,"Elementary and high school tuition and fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,64.1,71.8,80.7,91.0,99.6,109.4,119.2,129.1,140.7,153.6,166.8,181.5,196.8,212.5,227.7,241.1,257.8,271.5,287.0,306.9,326.9,348.8,370.9,397.4,423.7,452.3,482.4,509.8,537.765,567.585,597.256,620.741,644.474,668.501,691.949,717.624,746.516,774.15,802.415,835.473,866.162,887.069,906.798
