index,Index,Label,unit,start,last,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CWUR0000SAR      ,CWUR0000SAR      ,"Recreation in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,93.0,94.7,97.5,99.7,100.9,101.3,102.4,103.6,104.6,105.5,106.3,106.8,108.2,108.572,110.14299999999999,111.015,109.81200000000001,109.898,111.12700000000001,111.696,111.79700000000001,111.845,112.64,114.027,114.314,115.39399999999999,116.89
CWUR0000SARC     ,CWUR0000SARC     ,"Recreation commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.63600000000001,96.945,95.374,93.861,91.458,88.822,85.595,82.54299999999998,79.896,78.83,77.788
CWUR0000SARS     ,CWUR0000SARS     ,"Recreation services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.01,102.478,105.75200000000001,107.92200000000001,109.96700000000001,112.044,115.67299999999999,120.042,122.501,125.148,128.694
CWUR0000SERA     ,CWUR0000SERA     ,"Video and audio in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,95.1,94.7,96.4,99.4,101.1,100.5,100.7,100.9,102.0,102.9,103.4,103.4,103.9,102.559,102.654,101.602,99.64299999999999,99.087,100.32799999999999,100.743,101.009,100.86399999999999,102.40100000000001,105.82,106.035,106.501,109.24
CWUR0000SERA01   ,CWUR0000SERA01   ,"Televisions in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1950-M12,2021-M11,158.6,139.9,134.6,125.7,118.5,119.0,124.2,126.4,128.1,129.0,125.6,119.4,116.4,113.8,108.9,103.6,101.5,101.3,101.1,101.3,101.6,101.0,99.4,100.4,103.1,104.4,103.2,102.5,103.5,104.5,105.6,104.2,100.6,95.3,88.5,83.1,79.4,77.1,75.4,73.7,72.1,71.6,70.0,69.0,67.1,63.6,60.8,58.3,54.0,49.1,44.1,39.5,34.4,29.7,26.3,22.2,16.951,14.075,10.642000000000001,8.033,6.66,5.447,4.588,3.923,3.3810000000000002,2.727,2.347,1.96,1.587,1.3730000000000002
CWUR0000SERA02   ,CWUR0000SERA02   ,"Cable and satellite television service in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1983.12=100,1983-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,110.2,115.2,123.0,132.8,144.4,159.3,176.3,187.1,200.1,198.5,201.4,213.5,229.8,246.1,255.7,268.3,280.0,296.3,310.8,323.8,333.3,346.4,352.911,361.452,368.35400000000004,372.49800000000016,378.94199999999995,395.276,406.369,416.07199999999995,422.355,438.022,461.87199999999996,470.92199999999997,480.22900000000004,502.01599999999996
CWUR0000SERA03   ,CWUR0000SERA03   ,"Other video equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,78.7,64.9,53.1,46.1,39.4,34.6,30.5,26.4,23.253,20.136,17.929000000000006,15.792,13.743,12.103,11.050999999999998,10.94,10.504000000000001,10.18,9.811,9.559,9.48,9.552
CWUR0000SERA04   ,CWUR0000SERA04   ,"Video discs and other media, including rental of video in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,92.8,89.1,85.7,82.6,79.1,78.2,77.4,77.3,76.717,78.19,78.108,76.065,77.542,78.75399999999998,76.25,71.943,71.437,72.637,70.017,70.303,71.203,66.84
CWUR0000SERA05   ,CWUR0000SERA05   ,"Audio equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,96.2,98.2,100.6,102.1,100.2,97.6,94.1,91.5,92.9,92.4,92.6,93.1,94.4,94.2,94.1,93.9,92.1,90.7,88.9,85.0,81.2,79.3,75.8,71.7,68.0,64.5,59.3,55.4,51.873999999999995,49.571999999999996,47.306999999999995,45.918,44.011,41.243,39.39,38.177,36.634,35.001999999999995,32.693000000000005,28.343000000000004,28.654,28.435
CWUR0000SERA06   ,CWUR0000SERA06   ,"Recorded music and music subscriptions in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,101.5,102.2,106.3,105.2,107.8,108.2,109.4,107.3,105.571,103.46600000000001,98.295,93.897,91.98299999999999,89.109,89.445,89.199,86.541,83.789,84.23899999999998,82.537,79.96,77.416
CWUR0000SERAC    ,CWUR0000SERAC    ,"Video and audio products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.287,86.00399999999998,77.809,71.95100000000002,66.535,60.607,53.242,48.254,42.223,37.974000000000004,35.539
CWUR0000SERAS    ,CWUR0000SERAS    ,"Video and audio services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.73299999999999,102.49799999999999,106.73200000000001,109.23100000000001,111.227,112.766,116.81200000000001,122.57,124.87200000000001,127.296,132.244
CWUR0000SERB     ,CWUR0000SERB     ,"Pets, pet products and services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,103.0,105.6,108.8,112.2,114.0,118.3,121.4,126.5,131.607,142.463,151.46,151.817,155.963,159.72,161.982,163.10399999999996,164.317,166.301,166.638,168.532,173.84900000000005,175.513
CWUR0000SERB01   ,CWUR0000SERB01   ,"Pets and pet products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,74.9,82.8,91.7,96.8,99.9,103.3,106.4,108.9,111.1,114.5,120.7,124.5,129.1,128.1,128.7,130.8,132.1,138.9,142.6,143.2,144.0,143.8,145.9,149.1,149.5,153.8,155.5,161.8,166.92,182.488,195.43,193.252,196.468,200.13400000000001,201.764,200.792,199.90099999999998,200.396,199.112,199.983,205.67,204.35
CWUR0000SERB02   ,CWUR0000SERB02   ,"Pet services including veterinary in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,106.5,115.3,122.8,129.0,135.4,142.6,150.6,157.3,166.09900000000005,176.328,184.71400000000003,190.87099999999998,200.842,208.135,213.815,221.18200000000002,229.22799999999998,237.275,242.628,249.415,259.137,268.911
CWUR0000SERC     ,CWUR0000SERC     ,"Sporting goods in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,82.7,89.2,94.4,97.4,99.8,102.9,104.8,104.7,105.8,109.8,113.4,116.8,119.5,121.7,122.3,124.3,125.9,125.5,124.4,124.0,122.5,121.6,121.0,118.7,117.2,116.1,116.6,117.5,116.637,116.75399999999999,117.677,116.26,117.361,118.184,119.001,116.944,115.25399999999999,112.167,109.985,110.04899999999999,110.431,112.57700000000001
