index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CWUS0000SA311    ,CWUS0000SA311    ,"Apparel less footwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.679,116.15799999999999,115.964,114.376,110.469,107.189,110.29
CWUS0000SAA      ,CWUS0000SAA      ,"Apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,100.8,103.2,103.8,106.1,104.7,106.9,108.7,112.0,113.4,116.5,117.4,118.4,122.1,124.2,126.3,128.5,130.2,131.2,132.5,132.3,132.9,131.6,131.1,130.6,131.8,130.0,132.6,131.5,131.8,131.4,130.5,129.6,129.1,127.5,127.7,124.6,124.2,122.0,120.4,119.6,120.5,119.5,120.1,118.2,119.2,119.0,119.22399999999999,117.81200000000001,118.921,118.54899999999999,119.75299999999999,119.94,119.242,118.225,119.236,123.351,125.28399999999999,126.29,126.47399999999999,127.09899999999999,126.471,126.772,125.529,125.134,125.575,125.12299999999999,125.363,124.411,126.41799999999999,124.33,124.178,123.204,119.26700000000001,116.352,119.738
CWUS0000SAA1     ,CWUS0000SAA1     ,"Men's and boys' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,100.9,103.6,103.8,106.3,105.2,106.5,107.2,109.7,111.0,114.6,115.2,117.1,118.3,120.4,122.1,124.2,125.4,125.9,126.5,127.0,125.1,126.5,125.9,125.9,127.4,127.5,129.1,130.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.212,119.199,120.161,119.889,116.516,113.14399999999999,116.74700000000001
CWUS0000SAA2     ,CWUS0000SAA2     ,"Women's and girls' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,99.3,102.9,103.1,106.8,101.9,105.7,108.0,112.7,113.3,115.7,115.4,115.6,120.7,122.4,124.9,127.2,128.5,129.3,131.1,129.8,131.2,127.2,126.2,124.6,125.5,121.6,126.4,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.74799999999999,106.887,106.02600000000001,103.935,99.92299999999999,96.26700000000001,99.059
CWUS0000SEAA     ,CWUS0000SEAA     ,"Men's apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.208,123.564,124.027,123.88799999999999,122.523,117.95200000000001,121.23899999999999
CWUS0000SEAA01   ,CWUS0000SEAA01   ,"Men's suits, sport coats, and outerwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.38,109.82799999999999,113.40299999999999,114.505,102.04700000000001,91.09200000000001,89.95299999999996
CWUS0000SEAA02   ,CWUS0000SEAA02   ,"Men's furnishings in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.139,159.001,155.391,158.174,162.582,163.96099999999996,162.143
CWUS0000SEAA03   ,CWUS0000SEAA03   ,"Men's shirts and sweaters in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.798,78.994,78.738,77.778,74.245,70.80199999999998,71.0
CWUS0000SEAA04   ,CWUS0000SEAA04   ,"Men's pants and shorts in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.77600000000001,117.935,120.822,118.954,123.42399999999999,117.712,131.506
CWUS0000SEAB     ,CWUS0000SEAB     ,"Boys' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.469,105.0,107.12700000000001,106.542,97.28399999999999,97.367,101.792
