index,Index,Label,unit,start,last,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0100AA0      ,CWUR0100AA0      ,"All items - old base in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,55.8,59.1,63.0,66.3,68.9,73.3,81.4,87.9,92.9,98.1,104.2,114.8,129.4,143.1,150.3,156.2,162.1,168.7,172.4,179.8,188.4,199.0,210.7,219.9,226.8,233.0,238.5,244.6,251.6,257.4,260.7,266.2,275.3,282.9,288.5,297.0,307.2,318.3,329.9,338.517,353.115,353.061,361.512,373.91,381.47,386.248,391.065,388.687,391.956,399.54,408.445,414.319,419.867,438.016
CWUR0100SA0      ,CWUR0100SA0      ,"All items in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,35.7,37.8,40.3,42.4,44.1,46.9,52.1,56.3,59.5,62.8,66.7,73.5,82.8,91.6,96.2,100.0,103.8,108.0,110.4,115.1,120.6,127.4,134.9,140.8,145.2,149.2,152.7,156.6,161.1,164.8,166.9,170.4,176.3,181.1,184.7,190.1,196.7,203.8,211.2,216.728,226.074,226.04,231.45,239.387,244.228,247.287,250.371,248.848,250.941,255.796,261.498,265.258,268.811,280.43
CWUR0100SA0E     ,CWUR0100SA0E     ,"Energy in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,66.7,87.9,101.2,100.5,99.5,100.0,100.1,86.1,85.0,85.2,90.8,100.2,101.6,101.6,102.0,103.5,104.5,109.0,111.1,102.6,104.9,123.3,126.5,117.9,134.3,149.7,176.4,197.1,207.972,239.955,194.814,212.284,244.152,244.901,242.78,241.634,196.935,183.343,201.132,218.802,211.514,194.37,232.262
CWUR0100SA0L1    ,CWUR0100SA0L1    ,"All items less food in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,71.9,81.8,91.1,95.9,100.1,104.0,108.6,110.5,115.0,120.5,127.1,134.6,141.0,145.9,150.1,153.6,157.5,162.1,165.9,167.9,171.4,177.8,182.5,186.2,192.1,198.5,206.1,213.9,218.949,227.9,226.975,232.945,240.855,245.449,248.576,251.435,248.981,251.338,256.546,262.399,266.082,268.612,280.601
CWUR0100SA0L1E   ,CWUR0100SA0L1E   ,"All items less food and energy in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,72.8,80.7,89.3,95.1,100.3,104.6,110.1,115.1,120.7,127.2,134.0,141.2,148.5,154.3,159.1,163.0,167.3,172.0,176.1,179.8,183.6,188.0,193.0,198.9,203.0,208.2,212.9,218.7,222.921,228.322,234.313,238.584,243.092,248.268,252.22,255.716,259.602,264.393,267.82,272.017,277.347,282.503,291.335
CWUR0100SA0L2    ,CWUR0100SA0L2    ,"All items less shelter in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,74.6,83.4,91.8,96.3,99.7,104.0,106.8,107.7,111.6,115.7,121.9,129.1,134.6,138.6,142.4,145.4,149.2,153.6,156.8,157.7,160.8,166.5,170.2,171.2,175.8,181.4,188.6,194.9,199.222,209.744,207.439,213.816,222.975,227.322,229.184,230.601,225.898,225.528,229.577,234.328,236.515,238.605,251.882
CWUR0100SA0L5    ,CWUR0100SA0L5    ,"All items  less medical care in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,73.7,83.1,91.9,96.4,100.0,103.6,107.6,109.7,114.3,119.6,126.2,133.4,139.0,143.1,146.7,150.0,153.7,158.0,161.6,163.5,166.8,172.4,177.0,180.2,185.5,191.7,198.7,205.8,210.979,220.176,219.857,225.04,232.753,237.249,240.099,243.013,240.978,242.538,247.152,252.679,255.824,258.548,270.537
CWUR0100SA0LE    ,CWUR0100SA0LE    ,"All items less energy in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,74.4,82.2,90.3,95.6,100.1,104.3,109.1,113.8,119.5,125.7,132.7,139.9,146.5,151.4,155.9,159.6,163.9,168.4,172.4,175.9,179.6,183.8,188.9,194.1,198.1,203.6,208.4,214.1,218.948,225.426,231.085,235.023,240.128,245.455,249.178,252.81,256.739,260.831,264.132,268.404,273.541,279.381,288.304
CWUR0100SAA      ,CWUR0100SAA      ,"Apparel in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,55.3,58.8,61.3,63.2,64.6,66.8,71.8,74.7,77.1,80.1,82.3,85.8,91.1,95.7,97.9,100.2,101.9,104.0,104.6,109.7,110.9,113.7,120.0,122.5,126.6,127.9,125.9,123.9,125.5,128.5,128.0,126.9,126.0,122.8,120.7,116.9,119.0,119.3,118.5,116.932,117.974,120.462,121.991,125.974,130.648,130.36,129.614,130.48,130.963,130.519,129.28,126.802,121.889,124.866
CWUR0100SAC      ,CWUR0100SAC      ,"Commodities in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,76.6,86.1,93.7,96.8,100.3,103.0,105.7,104.8,108.6,112.2,117.7,124.4,128.5,130.9,133.2,134.9,137.8,141.4,143.5,143.3,146.5,152.3,153.8,153.3,155.8,160.6,166.9,171.9,175.344,185.404,180.249,186.902,198.146,202.873,202.264,202.002,193.394,190.064,193.013,197.269,197.342,196.764,211.859
CWUR0100SACE     ,CWUR0100SACE     ,"Energy commodities in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,68.0,94.7,108.9,103.4,98.8,97.8,97.3,77.2,78.8,79.9,86.3,99.8,99.8,97.0,94.7,94.5,96.2,102.3,103.1,89.2,95.1,126.5,121.5,113.0,133.1,156.8,193.4,220.0,235.039,284.135,205.457,241.37,306.487,318.208,309.123,300.687,214.332,190.531,218.963,248.811,236.019,200.472,265.551
CWUR0100SACL1    ,CWUR0100SACL1    ,"Commodities less food in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,74.9,85.8,93.9,96.5,100.7,102.9,105.4,101.6,104.2,106.7,110.9,117.2,121.4,124.0,125.7,126.4,128.6,132.0,133.4,131.6,134.4,141.5,141.0,138.7,140.5,144.2,151.0,155.6,157.072,166.237,156.829,165.133,177.218,181.204,179.281,177.14,163.976,159.323,162.242,166.113,164.558,160.122,176.795
CWUR0100SACL11   ,CWUR0100SACL11   ,"Commodities less food and beverages in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1,74.8,85.8,94.0,96.5,100.6,102.9,105.3,101.2,103.8,106.1,110.2,116.6,120.1,122.8,124.5,125.1,127.3,130.7,131.9,130.0,132.8,139.9,139.3,136.8,138.5,142.1,149.0,153.5,154.852,163.972,154.127,162.524,174.762,178.692,176.644,174.426,161.0,156.223,159.17,163.088,161.461,156.761,173.65
CWUR0100SACL1E   ,CWUR0100SACL1E   ,"Commodities less food and energy commodities in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9,76.7,83.5,90.1,94.8,101.2,104.2,107.4,109.0,112.4,115.3,119.0,123.7,128.9,133.0,135.8,136.7,139.0,141.8,143.3,144.4,146.6,148.2,148.7,148.0,145.7,145.6,146.6,147.0,145.877,147.486,151.175,154.525,157.648,160.114,159.48,158.442,158.199,156.92,155.642,155.164,155.523,155.281,165.436
CWUR0100SAD      ,CWUR0100SAD      ,"Durables in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,75.4,82.8,89.9,94.4,101.4,104.2,107.1,106.9,108.4,110.0,111.4,112.3,115.0,117.7,120.3,123.9,128.1,129.8,128.8,127.7,126.4,125.5,124.9,121.3,117.1,114.4,115.4,115.3,112.923,111.973,110.461,112.71,114.507,115.408,114.317,112.452,110.953,108.273,105.909,105.655,105.92,106.595,117.946
CWUR0100SAE      ,CWUR0100SAE      ,"Education and communication in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,100.5,101.8,105.2,107.7,109.6,110.4,112.0,114.5,116.859,121.561,125.749,127.401,127.14,128.131,129.188,129.238,128.955,130.374,127.777,128.013,130.463,134.07,136.707
CWUR0100SAEC     ,CWUR0100SAEC     ,"Education and communication commodities in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.897,95.705,94.866,92.641,89.551,85.9,81.555,79.243,78.76,75.476,71.213,69.548
CWUR0100SAES     ,CWUR0100SAES     ,"Education and communication services in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.817,100.869,101.795,102.902,103.237,103.354,105.021,102.999,103.25,105.682,109.196,111.625
CWUR0100SAF      ,CWUR0100SAF      ,"Food and beverages in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,79.5,86.7,93.3,97.2,99.5,103.2,106.0,109.9,115.5,120.8,128.4,135.7,140.4,142.6,145.6,148.7,152.7,156.8,160.0,162.7,166.5,169.7,175.0,177.8,181.7,188.6,193.5,198.8,206.653,217.897,222.457,225.141,233.054,239.145,241.903,246.308,250.51,251.147,253.806,258.424,262.535,271.786,281.132
CWUR0100SAF1     ,CWUR0100SAF1     ,"Food in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,35.4,37.4,39.8,41.4,43.0,48.9,56.0,60.6,62.6,66.1,72.2,79.6,86.7,93.5,97.3,99.5,103.2,105.9,109.8,115.5,120.8,128.5,135.8,139.7,141.8,145.0,148.2,152.3,156.4,159.5,162.3,166.1,169.2,174.6,177.3,181.1,188.1,193.0,198.3,206.302,217.662,222.029,224.673,232.815,239.014,241.696,246.243,250.541,251.078,253.832,258.65,262.93,272.329,281.969
CWUR0100SAF11    ,CWUR0100SAF11    ,"Food at home in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,81.8,88.4,94.7,98.0,99.3,102.6,104.6,107.9,113.4,118.7,126.8,135.3,139.2,141.3,145.0,148.9,153.4,157.8,160.5,162.7,166.2,169.0,174.5,176.4,180.3,188.6,193.4,197.4,205.151,217.688,219.779,221.739,231.411,237.637,239.57,243.81,247.327,243.964,244.554,247.768,249.821,258.391,265.084
CWUR0100SAF111   ,CWUR0100SAF111   ,"Cereals and bakery products in Northeast urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2017-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.034,293.037,297.901,307.274,311.992
