index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SAT      ,CWUR0000SAT      ,"Transportation in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M01,14.1,14.2,14.5,14.6,14.2,14.1,14.6,15.9,15.8,15.8,15.8,16.6,18.4,20.4,22.0,22.6,24.0,25.6,26.3,25.9,25.6,26.1,27.6,28.4,29.6,29.6,30.0,30.6,30.8,31.2,31.7,32.2,33.1,34.1,35.5,37.3,39.2,39.7,41.0,45.5,49.8,54.7,58.6,61.5,70.4,82.9,93.0,97.0,99.2,103.8,106.4,101.7,105.1,108.3,113.9,120.1,123.1,125.8,129.4,133.4,138.8,142.8,143.6,140.5,143.4,152.8,153.6,151.8,156.3,161.5,173.0,180.3,184.344,195.692,176.729,192.56,213.296,218.749,218.328,216.387,197.785,192.942,200.203,210.468,209.571,200.742,233.821
CWUR0000SAT1     ,CWUR0000SAT1     ,"Private transportation in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M01,14.5,14.8,15.2,15.3,14.8,14.6,15.4,17.5,17.2,17.2,17.2,18.2,20.6,22.8,24.2,24.3,25.4,27.0,27.6,26.9,26.4,26.8,28.3,29.2,30.5,30.3,30.5,31.1,31.2,31.7,32.2,32.6,33.5,34.5,35.6,37.2,39.0,39.3,40.6,45.7,50.1,55.1,59.1,62.0,71.2,83.7,93.5,97.0,99.2,103.7,106.2,100.9,104.1,107.5,113.0,118.9,121.7,124.4,127.4,131.4,136.9,140.7,141.3,138.0,140.7,150.1,150.8,149.0,153.5,158.8,170.3,177.5,181.496,192.492,173.491,189.257,209.939,215.46,214.708,212.769,193.84,188.94,196.435,207.098,206.114,198.231,232.428
CWUR0000SATCLTB  ,CWUR0000SATCLTB  ,"Transportation commodities less motor fuel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.548,105.124,106.662,106.97,106.846,106.623,105.632,103.747,103.57,104.318,106.297,122.997
CWUR0000SETA     ,CWUR0000SETA     ,"New and used motor vehicles in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,95.2,100.0,101.6,100.7,100.3,100.4,101.4,101.9,99.4,96.0,92.8,94.7,94.7,93.3,92.146,91.308,96.271,99.205,100.198,100.446,100.268,100.04,99.242,97.522,97.687,98.071,99.597,115.149
CWUR0000SETA01   ,CWUR0000SETA01   ,"New vehicles in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,20.3,20.5,20.9,21.9,21.4,21.4,23.0,,,,,,34.2,37.4,40.9,41.2,43.2,46.9,47.4,46.6,45.0,46.2,48.7,50.2,52.4,51.7,51.7,51.5,51.2,51.0,49.9,49.0,49.5,50.8,51.6,53.2,55.4,54.9,54.9,58.1,63.1,67.1,70.7,76.0,82.0,88.9,94.2,97.6,99.9,102.5,105.9,110.4,114.0,116.2,119.0,121.5,126.2,129.6,133.3,138.3,141.8,144.7,145.5,144.6,144.0,143.9,143.2,141.1,139.0,138.1,138.9,138.6,137.415,135.338,136.711,139.044,142.866,145.33,146.877,147.43,148.367,148.664,148.251,147.555,148.014,148.909,157.48
CWUR0000SETA02   ,CWUR0000SETA02   ,"Used cars and trucks in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2022-M01,,,,,,,,,,,,,,,,,,,26.7,22.7,21.5,20.7,23.2,24.0,26.8,25.0,26.0,28.4,28.7,30.0,29.8,29.0,29.9,,30.9,31.2,33.0,33.1,35.2,36.7,43.8,50.3,54.7,55.8,60.2,62.3,76.9,88.8,98.7,112.5,113.7,108.8,113.1,117.9,120.3,117.3,118.1,123.6,134.6,142.4,157.3,158.2,152.6,152.0,153.3,157.1,159.8,152.8,143.7,134.1,140.3,140.8,136.586,134.731,127.687,144.007,150.01,151.399,150.923,150.096,148.138,144.52,139.248,139.314,140.718,145.21,183.877
CWUR0000SETA03   ,CWUR0000SETA03   ,"Leased cars and trucks in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2001.12=100,2001-M12,2021-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,96.6,92.8,91.8,92.3,91.994,93.894,101.324,95.189,92.675,88.267,85.704,83.577,83.165,84.028,84.718,89.429,87.141,,
CWUR0000SETA04   ,CWUR0000SETA04   ,"Car and truck rental in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,104.5,107.7,103.9,109.2,108.3,104.6,106.2,109.9,112.797,116.165,125.578,120.551,120.595,119.868,120.817,122.645,121.409,126.686,123.52,123.12,123.937,124.694,184.334
CWUR0000SETB     ,CWUR0000SETB     ,"Motor fuel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M01,13.1,13.6,14.1,13.8,12.9,12.6,13.3,14.0,14.2,14.3,14.1,14.4,16.4,18.5,19.0,18.9,19.4,19.9,21.1,21.7,22.0,22.7,23.7,23.3,23.6,24.3,24.0,24.2,24.1,24.0,25.0,25.5,26.3,26.7,27.5,27.8,27.9,28.3,31.1,42.0,44.9,46.8,49.5,51.6,70.1,97.4,108.4,102.8,99.4,97.9,98.7,77.1,80.3,80.9,88.6,101.3,99.6,99.0,97.9,98.4,99.9,106.3,106.2,92.2,100.8,129.5,124.9,117.0,136.1,160.9,196.3,221.6,239.9,280.817,202.695,240.094,303.848,313.867,305.116,293.583,213.963,189.123,213.37,242.514,233.85,195.586,265.611
CWUR0000SETB01   ,CWUR0000SETB01   ,"Gasoline (all types) in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M01,13.1,13.6,14.2,13.8,12.9,12.7,13.3,14.0,14.2,14.3,14.2,14.4,16.4,18.5,19.0,18.9,19.4,19.9,21.1,21.7,22.0,22.8,23.7,23.4,23.6,24.3,24.0,24.2,24.1,24.0,25.0,25.5,26.3,26.7,27.5,27.8,28.0,28.3,31.1,42.1,44.9,46.8,49.5,51.6,70.2,97.4,108.4,102.8,99.4,97.8,98.6,76.9,80.2,80.8,88.6,101.2,99.4,99.0,97.6,98.2,99.7,105.9,105.8,91.7,100.2,128.8,124.2,116.4,135.5,160.2,195.4,220.7,238.879,278.728,202.375,239.629,303.067,312.807,303.962,292.171,213.028,188.427,212.534,241.4,232.763,194.587,264.665
