UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2012,999,313877662,154397027,159480635,120935014,123350187,19713674,21538537,1950732,1912651,7737588,8507825,361036,349771,3698983,3821664,124203865,126706911,21290296,23216635,3160341,3191507,9095179,9878653,704734,700882,127636932,133371502,97310769,100359964,18496247,20267225,1138247,1170979,7474387,8243684,263463,259461,2953819,3070189,99918054,103052232,19745842,21605766,2017877,2120911,8624850,9405300,534933,538289,26760095,26109133,23624245,22990223,1217427,1271312,812485,741672,263201,264141,97573,90310,745164,751475,24285811,23654679,1544454,1610869,1142464,1070596,470329,473353,169801,162593
R,7,2012,0,3926731,2007826,1918905,1434589,1367920,305536,296006,35814,34427,103517,97778,6482,6177,121888,116597,1546655,1475090,371228,359207,60094,57664,148771,140769,15219,14518,1504297,1434307,1014357,963180,274022,265788,17096,16474,96892,91416,4148,3923,97782,93526,1104751,1049620,327495,317302,33092,31757,134585,127166,10544,10011,503529,484598,420232,404740,31514,30218,18718,17953,6625,6362,2334,2254,24106,23071,441904,425470,43733,41905,27002,25907,14186,13603,4675,4507
R,7,2012,1,3978210,2035547,1942663,1461766,1390954,307302,298149,34268,33100,103444,97971,6454,6070,122313,116419,1574259,1497948,372960,361023,58883,56686,148803,140795,15297,14390,1518429,1444904,1024879,971237,277269,268646,17363,16521,96966,91785,4150,3853,97802,92862,1115304,1057028,330624,319606,33523,31960,134612,127285,10602,9887,517118,497759,436887,419717,30033,29503,16905,16579,6478,6186,2304,2217,24511,23557,458955,440920,42336,41417,25360,24726,14191,13510,4695,4503
R,7,2012,2,3980139,2031978,1948161,1466051,1400147,305250,296294,33107,32266,101450,97271,6056,5840,120064,116343,1576679,1507121,369774,359414,57563,56247,145431,139382,14606,14041,1511064,1446168,1022569,972709,276357,268496,17170,17001,95337,91493,4009,3831,95622,92638,1111118,1058297,328645,319488,33080,32752,131766,126433,10265,9776,520914,501993,443482,427438,28893,27798,15937,15265,6113,5778,2047,2009,24442,23705,465561,448824,41129,39926,24483,23495,13665,12949,4341,4265
R,7,2012,3,3983007,2032318,1950689,1470937,1405196,307312,299328,32720,31730,99094,96133,5995,5929,116260,112373,1577724,1508560,369898,360501,56615,54417,141373,136554,14244,13922,1515141,1452684,1029031,979840,278962,271813,17377,16948,93043,90437,3975,3955,92753,89691,1114652,1062762,329886,321650,32970,31673,128137,124085,10027,9817,517177,498005,441906,425356,28350,27515,15343,14782,6051,5696,2020,1974,23507,22682,463072,445798,40012,38851,23645,22744,13236,12469,4217,4105
R,7,2012,4,4112849,2099226,2013623,1521765,1452013,317185,309312,34040,32851,103534,100554,6233,5967,116469,112926,1628645,1555638,379785,371046,57913,55979,145870,140932,14744,13879,1564109,1500562,1062767,1012705,288309,281409,18010,17572,97628,94821,4179,3926,93216,90129,1148692,1095763,339517,331787,33651,32567,132888,128349,10406,9739,535117,513061,458998,439308,28876,27903,16030,15279,5906,5733,2054,2041,23253,22797,479953,459875,40268,39259,24262,23412,12982,12583,4338,4140
R,7,2012,5,4132349,2111297,2021052,1537060,1465895,318097,307682,34604,33084,102516,98744,6179,6036,112841,109611,1640645,1566285,378487,366918,58131,56006,143562,138057,14419,14002,1576509,1507354,1077903,1024464,289667,280484,18056,17716,96505,93134,4164,4007,90214,87549,1161135,1104986,338965,328964,33502,32639,130575,125846,10221,9839,534788,513698,459157,441431,28430,27198,16548,15368,6011,5610,2015,2029,22627,22062,479510,461299,39522,37954,24629,23367,12987,12211,4198,4163
R,7,2012,6,4097860,2094484,2003376,1535525,1460273,309164,301693,33869,32653,101558,98841,6060,5792,108308,104124,1634871,1555754,366254,357149,56896,54678,141364,136633,13957,13326,1571104,1501142,1084010,1027369,282221,275411,18050,17551,95793,93535,4068,3878,86962,83398,1164100,1104165,329108,320962,33199,31970,129107,125017,9908,9391,523380,502234,451515,432904,26943,26282,15819,15102,5765,5306,1992,1914,21346,20726,470771,451589,37146,36187,23697,22708,12257,11616,4049,3935
R,7,2012,7,4085255,2086653,1998602,1535404,1461227,305549,296204,33479,32725,102477,101862,6033,5809,103711,100775,1630295,1553267,359489,349174,56148,54548,140888,138680,13594,13098,1574220,1507782,1092333,1037434,279505,270909,18005,17567,96948,96671,4096,4018,83333,81183,1168919,1111850,323800,314581,32947,31946,129179,127646,9683,9458,512433,490820,443071,423793,26044,25295,15474,15158,5529,5191,1937,1791,20378,19592,461376,441417,35689,34593,23201,22602,11709,11034,3911,3640
R,7,2012,8,4093553,2089213,2004340,1545043,1472226,303179,294392,32657,31997,102415,102666,5813,5548,100106,97511,1636646,1561435,354546,345038,54842,53637,139687,138479,13216,12717,1589824,1522516,1111955,1054929,278212,270149,17890,17309,97037,97608,4027,3817,80703,78704,1186136,1127181,320534,311974,32728,31922,128362,127714,9549,9110,499389,481824,433088,417297,24967,24243,14767,14688,5378,5058,1786,1731,19403,18807,450510,434254,34012,33064,22114,21715,11325,10765,3667,3607
R,7,2012,9,4063662,2072917,1990745,1536349,1465550,301224,293094,32410,31320,101781,102162,5771,5529,95382,93090,1623360,1550629,349951,340708,54227,52750,137031,136446,13025,12338,1583247,1517102,1111167,1054296,276787,269738,17630,17001,96578,97114,3983,3839,77102,75114,1181788,1123252,317055,309042,32328,31467,126276,125901,9398,8982,489670,473643,425182,411254,24437,23356,14780,14319,5203,5048,1788,1690,18280,17976,441572,427377,32896,31666,21899,21283,10755,10545,3627,3356
R,7,2012,10,4046381,2064182,1982199,1530931,1460578,306471,297958,32286,31035,97312,97090,5596,5389,91586,90149,1614461,1542595,353120,344518,53831,52561,130829,129459,12513,12137,1581018,1515480,1110639,1054865,282467,274700,17807,17141,92321,92289,3897,3718,73887,72767,1178294,1121395,321089,313201,32274,31713,120418,119422,9123,8802,483164,466719,420292,405713,24004,23258,14479,13894,4991,4801,1699,1671,17699,17382,436167,421200,32031,31317,21557,20848,10411,10037,3390,3335
R,7,2012,11,4146575,2116820,2029755,1567735,1495314,317794,308312,32432,31542,101141,99908,5603,5539,92115,89140,1651498,1576492,364562,353973,54589,52943,134797,132007,12623,12358,1630513,1560124,1144160,1086311,293682,285171,18227,17613,96170,95202,3951,3804,74323,72023,1211926,1152154,332306,323031,33350,32215,124486,122207,9217,8937,486307,469631,423575,409003,24112,23141,14205,13929,4971,4706,1652,1735,17792,17117,439572,424338,32256,30942,21239,20728,10311,9800,3406,3421
R,7,2012,12,4208490,2152024,2056466,1595402,1515813,327813,316869,33399,32072,99119,97961,5828,5464,90463,88287,1677786,1595815,373622,362387,56016,54035,131400,129187,12693,12197,1664970,1588293,1170797,1108224,303758,293499,18962,18058,94164,93248,4107,3854,73182,71410,1237657,1173157,341704,331225,34454,33212,121408,119443,9318,8931,487054,468173,424605,407589,24055,23370,14437,14014,4955,4713,1721,1610,17281,16877,440129,422658,31918,31162,21562,20823,9992,9744,3375,3266
R,7,2012,13,4136911,2114843,2022068,1574359,1497685,319867,309429,32304,31390,94903,93282,5698,5277,87712,85005,1654051,1574740,363983,352846,54516,53217,126147,123050,12701,11827,1645022,1568571,1164750,1102711,296533,286835,18500,17841,90037,88574,3995,3746,71207,68864,1229687,1165329,333258,323056,34020,33093,116310,113416,9319,8725,469821,453497,409609,394974,23334,22594,13804,13549,4866,4708,1703,1531,16505,16141,424364,409411,30725,29790,20496,20124,9837,9634,3382,3102
