index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU337---337---               ,PCU337---337---               ,"PPI industry sub-sector data for Furniture & related product mfg, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,103.9,106.4,111.4,115.6,119.1,121.6,122.9,125.4,129.7,133.3,136.2,138.2,139.7,141.3,143.3,145.1,146.3,147.4,151.5,157.8,162.5,165.7,171.7,176.6,177.1,181.0,185.0,187.7,191.2,194.1,195.4,198.3,204.0,210.3,214.1
PCU3371--3371--               ,PCU3371--3371--               ,"PPI industry group data for HH & institutional furniture & kitchen cabinet mfg, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,103.3,105.9,110.1,114.0,117.2,119.9,121.6,124.8,128.7,132.2,134.7,136.4,138.4,140.3,142.5,144.4,146.2,147.0,148.6,152.6,157.4,160.8,166.5,171.1,171.6,175.0,178.4,182.1,185.6,188.9,190.7,192.8,196.3,201.2,204.1
PCU33711-33711-               ,PCU33711-33711-               ,"PPI industry data for Wood kitchen cabinet & countertop mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1,103.2,106.3,108.4,111.2,113.4,113.4,115.2,117.4,121.0,124.0,126.4,127.9,129.1,130.6,133.5,134.7
PCU337110337110               ,PCU337110337110               ,"PPI industry data for Wood kitchen cabinet and countertop mfg, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,105.2,107.9,112.5,116.3,120.4,123.7,127.9,133.6,139.1,144.3,147.3,150.4,153.1,155.7,159.8,162.6,164.5,167.6,170.6,174.3,179.5,183.1,187.7,191.5,191.5,194.5,198.3,204.2,209.3,213.4,216.0,217.9,220.5,225.4,227.4
PCU3371103371101              ,PCU3371103371101              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Stock wood kitchen cabinets and related cabinetwork for permanent installation, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,105.7,108.1,112.6,116.4,120.1,124.7,129.1,135.9,141.4,148.6,153.5,157.2,160.5,162.7,165.8,168.2,169.9,171.4,170.0,173.2,179.3,184.0,187.5,195.2,196.9,201.1,206.4,212.7,219.0,220.3,220.9,220.1,219.4,225.2,227.5
PCU3371103371104              ,PCU3371103371104              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Custom wood kitchen cabinets and related cabinetwork not sold direct to customer at retail, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,105.3,107.9,112.6,115.7,119.3,120.8,124.1,128.3,133.8,137.2,139.4,142.4,144.8,147.7,152.8,155.9,158.8,165.1,174.4,180.6,185.2,190.5,195.8,195.6,197.4,201.2,206.5,215.3,224.2,234.1,241.5,249.9,256.8,262.3,263.0
PCU337110337110B              ,PCU337110337110B              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Wood and plastics laminated wood kitchen cabinets and countertops, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2012-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,96.6,96.7,96.8,97.0,97.1,97.5,97.6,,,,,,,,,
PCU337110337110F              ,PCU337110337110F              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Wood and plastics laminated wood bathroom vanity tops, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2016-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1,119.5,124.9,,,,,,174.8,181.8,,,,,
PCU337110337110H              ,PCU337110337110H              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Custom wood kitchen cabinets, bathroom vanities, and related cabinet sold directly to customers, not seasonally adjusted",Index base: 2004.03 = 100,2004-M03,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1,102.4,104.9,104.6,103.4,104.4,106.0,107.9,110.3,113.1,114.5,114.2,116.8,119.6,121.3
PCU337110337110M              ,PCU337110337110M              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2012-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,104.3,110.3,111.7,124.8,130.5,130.9,132.0,125.1,,,,,,,,
PCU337110337110P              ,PCU337110337110P              ,"PPI industry data for Wood kitchen cabinet and countertop mfg-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,103.2,106.2,108.4,110.8,112.9,112.9,114.7,117.4,121.1,124.2,126.8,128.3,129.6,131.1,134.0,135.2
