index,Index,Label,unit,start,last,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCUADLVWRADLVWR               ,PCUADLVWRADLVWR               ,"PPI industry data for Delivery and warehouse industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,106.4,112.7,114.2,119.2,125.5,130.6,135.8,141.9,144.8,144.5,148.0,153.8,159.3,163.7
PCUAINFO-AINFO-               ,PCUAINFO-AINFO-               ,"PPI industry data for Information, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,100.8,102.1,102.2,101.8,102.4,102.7,103.1,103.3,102.5,102.6,102.1,102.5,103.3,104.5
PCUAMUM--AMUM--               ,PCUAMUM--AMUM--               ,"PPI industry group data for Total mining, utilities, and manufacturing industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,103.8,112.1,106.3,111.5,119.5,121.3,122.2,123.9,117.4,115.0,119.2,124.4,124.3,121.5
PCUARETTRARETTR               ,PCUARETTRARETTR               ,"PPI industry data for Total retail trade industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,104.5,107.8,108.3,110.2,113.2,116.6,118.9,121.4,123.8,125.2,126.6,128.6,131.7,136.7
PCUASHC--ASHC--               ,PCUASHC--ASHC--               ,"PPI industry group data for Selected health care industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,102.4,104.9,107.8,110.7,112.9,115.0,116.6,117.9,118.6,120.0,121.7,124.1,126.2,129.7
PCUASTDSVASTDSV               ,PCUASTDSVASTDSV               ,"PPI industry data for Other selected services less trade, transportation, and warehousing industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,101.3,101.3,101.2,103.9,106.6,108.1,110.1,112.1,113.9,116.7,120.1,124.6,127.3,126.7
PCUATRADEATRADE               ,PCUATRADEATRADE               ,"PPI industry data for Total trade industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,103.8,108.3,111.4,113.2,116.2,118.9,121.6,124.5,126.8,127.7,130.0,132.3,136.4,140.2
PCUATRANSATRANS               ,PCUATRANSATRANS               ,"PPI industry data for Transportation industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,103.4,112.1,106.0,110.6,117.5,121.7,123.0,125.1,122.4,120.9,123.1,128.9,132.5,128.1
PCUATRNWRATRNWR               ,PCUATRNWRATRNWR               ,"PPI industry data for Transportation and warehousing industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,104.2,112.4,108.1,112.8,119.6,123.9,125.8,128.6,126.9,125.5,127.9,133.8,137.7,134.6
PCUATTDSVATTDSV               ,PCUATTDSVATTDSV               ,"PPI industry data for Services less trade, transportation, and warehousing, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,101.4,102.2,102.8,105.2,107.5,109.0,110.7,112.3,113.5,115.6,118.1,121.4,123.6,124.4
PCUAWHLTRAWHLTR               ,PCUAWHLTRAWHLTR               ,"PPI industry data for Total wholesale trade industries, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,102.8,109.1,115.9,117.7,120.7,122.3,125.6,128.8,131.1,131.5,134.6,137.3,142.3,145.2
PCUOMFG--OMFG--               ,PCUOMFG--OMFG--               ,"PPI industry group data for Total manufacturing industries, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,98.4,100.9,104.4,109.6,114.5,115.9,117.4,119.1,120.7,124.2,127.1,127.5,126.2,128.3,133.5,134.6,133.7,137.1,142.9,150.8,156.9,162.9,175.8,167.1,175.4,189.1,193.1,193.9,195.5,185.5,181.9,188.3,196.8,196.8,192.7
PCUOMIN--OMIN--               ,PCUOMIN--OMIN--               ,"PPI industry group data for Total mining industries, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,77.0,75.0,70.6,76.4,81.8,78.4,76.9,76.4,73.3,71.0,84.4,86.1,70.8,78.0,113.5,114.3,96.6,131.3,153.4,201.0,208.7,220.1,274.7,178.2,214.4,242.6,226.0,235.4,234.4,164.5,153.6,173.0,188.4,170.4,145.9
