index,Index,Label,unit,start,last,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU441---441---               ,PCU441---441---               ,"PPI industry sub-sector data for Motor vehicle and parts dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,103.5,106.9,112.8,115.5,118.0,120.0,124.4,128.2,131.3,131.9,136.0,137.2,137.1,138.3,141.7,147.5,154.8,182.171
PCU4411--4411--               ,PCU4411--4411--               ,"PPI industry group data for Automobile dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,102.9,105.4,110.8,113.2,113.8,116.2,121.2,124.9,127.7,126.9,130.8,133.4,132.1,133.3,136.3,142.0,150.1,182.759
PCU44111-44111-               ,PCU44111-44111-               ,"PPI industry data for New car dealers, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,99.7,103.1,108.7,111.5,113.5,116.3,122.3,125.0,125.7,128.2,133.8,137.8,141.0,140.1,144.4,147.3,145.8,147.2,150.5,156.8,165.7,201.732
PCU441110441110               ,PCU441110441110               ,"PPI industry data for New car dealers, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,99.7,103.1,108.7,111.5,113.5,116.3,122.3,125.0,125.7,128.2,133.8,137.8,141.0,140.1,144.4,147.3,145.9,147.2,150.5,156.8,165.8,201.83
PCU4411104411101              ,PCU4411104411101              ,"PPI industry data for New car dealers-Vehicle sales, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,97.3,97.0,100.2,99.2,98.1,98.1,100.8,100.2,90.7,91.8,95.2,97.9,94.5,88.9,88.6,86.1,76.8,72.3,71.7,69.6,81.7,146.284
PCU441110441110101            ,PCU441110441110101            ,"PPI industry data for New car dealers-New vehicle sales, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,98.8,97.0,100.7,98.6,95.2,90.8,93.6,92.4,82.5,84.9,89.2,91.9,86.0,76.4,77.2,75.3,63.5,58.5,59.8,58.5,75.5,159.085
PCU441110441110102            ,PCU441110441110102            ,"PPI industry data for New car dealers-Used vehicle sales, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,,,,,,,,,104.0,102.4,104.0,106.4,104.7,103.5,101.9,98.7,92.0,88.2,85.8,82.8,90.7,140.109
PCU4411104411102              ,PCU4411104411102              ,"PPI industry data for New car dealers-Service labor and parts, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,103.1,108.0,115.4,120.5,124.8,129.4,137.5,142.2,150.0,154.4,160.7,165.3,172.8,175.9,183.6,188.5,192.3,197.5,201.4,209.3,213.2,217.683
PCU441110441110P              ,PCU441110441110P              ,"PPI industry data for New car dealers-Primary services, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,100.8,103.6,109.3,112.0,114.1,116.9,122.8,125.5,126.3,129.4,134.5,138.3,141.3,140.4,144.6,146.2,143.9,144.8,146.8,150.0,158.4,194.129
PCU441110441110SM             ,PCU441110441110SM             ,"PPI industry data for New car dealers-Other receipts, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M01,89.4,98.0,103.7,109.9,108.7,114.3,122.2,129.1,123.1,107.0,127.9,143.1,154.3,157.9,164.5,175.6,178.8,183.2,195.0,215.2,228.1,272.616
