index,Index,Label,unit,start,last,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU444---444---               ,PCU444---444---               ,"PPI industry sub-sector data for Building material and garden equipment and supply dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,108.3,109.9,118.4,120.1,119.2,119.5,119.5,122.4,128.2,136.5,133.5,135.8,136.8,140.3,147.0,149.3,164.5,203.26
PCU4441--4441--               ,PCU4441--4441--               ,"PPI industry group data for Building material and supplies dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,108.7,109.9,119.8,122.4,121.0,120.8,121.5,124.4,129.5,138.6,135.5,137.8,138.7,142.6,150.5,151.6,168.4,210.573
PCU44410-44410-               ,PCU44410-44410-               ,"PPI industry data for Building material and supplies dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,108.7,109.9,119.8,122.4,121.0,120.8,121.5,124.4,129.5,138.6,135.5,137.8,138.7,142.6,150.5,151.6,168.4,210.571
PCU444100444100               ,PCU444100444100               ,"PPI industry data for Building materials and supplies dealers, not seasonally adjusted",Index base: 2019.05 = 100,2003-M12,2022-M01,,72.4,73.1,79.7,81.5,80.6,80.4,80.9,82.8,86.2,92.3,90.2,91.8,92.3,95.0,100.2,100.9,112.1,140.171
PCU4441004441001              ,PCU4441004441001              ,"PPI industry data for Building materials and supplies dealers-Building materials and supplies dealer services, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M01,,,,,,,,,,,,,,,,,,112.9,140.325
PCU44410044410011             ,PCU44410044410011             ,"PPI industry data for Building materials and supplies dealers-Retailing of building materials, paint, and hardware, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M01,,,,,,,,,,,,,,,,,,116.0,149.149
PCU44410044410012             ,PCU44410044410012             ,"PPI industry data for Building materials and supplies dealers-Retailing of all other goods, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M01,,,,,,,,,,,,,,,,,,102.5,111.663
PCU444100444100P              ,PCU444100444100P              ,"PPI industry data for Building materials and supplies dealers-Primary services, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M01,,,,,,,,,,,,,,,,,,112.9,140.325
PCU4442--4442--               ,PCU4442--4442--               ,"PPI industry group data for Lawn and garden equip and supplies stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,105.8,110.3,111.5,106.8,110.1,114.5,108.5,111.6,123.2,124.7,122.2,124.9,127.1,127.5,125.1,136.5,140.3,154.648
PCU44422-44422-               ,PCU44422-44422-               ,"PPI industry data for Nursery, garden and farm supply stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,105.8,110.3,111.5,106.8,110.1,114.5,108.5,111.6,123.2,124.7,122.2,124.9,127.1,127.5,125.1,136.5,140.3,154.649
PCU444220444220               ,PCU444220444220               ,"PPI industry data for Nursery, garden, and farm supply stores, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2022-M01,102.1,112.4,117.2,118.5,113.5,117.0,121.7,115.4,119.6,131.9,133.5,130.9,133.8,136.1,136.5,134.0,146.1,150.2,165.581
PCU4442204442201              ,PCU4442204442201              ,"PPI industry data for Nursery, garden, and farm supply stores-Nursery, garden center, and farm supply store services, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2022-M01,102.0,112.2,117.0,118.3,113.3,116.8,121.5,115.1,118.4,130.8,132.3,130.3,133.9,136.7,137.2,134.0,146.2,150.3,165.653
PCU444220444220P              ,PCU444220444220P              ,"PPI industry data for Nursery, garden, and farm supply stores-Primary services, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2022-M01,102.0,112.2,117.0,118.3,113.3,116.8,121.5,115.1,118.4,130.8,132.3,130.3,133.9,136.7,137.2,134.0,146.2,150.3,165.653
