index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU5221--5221--               ,PCU5221--5221--               ,"PPI industry group data for Depository credit intermediation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,102.5,105.0,111.2,112.8,102.6,97.5,103.2,107.7,106.0,103.8,101.9,100.4,99.2,101.1,106.8,109.6,97.9
PCU52211-52211-               ,PCU52211-52211-               ,"PPI industry data for Commercial banking, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,102.8,106.1,113.0,114.0,102.7,97.5,102.8,107.4,106.1,104.1,102.8,101.4,100.3,102.4,108.6,111.8,99.4
PCU522110522110               ,PCU522110522110               ,"PPI industry data for Commercial banking, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,102.8,106.1,113.0,114.0,102.7,97.5,102.8,107.4,106.1,104.1,102.8,101.4,100.3,102.4,108.6,111.8,99.4
PCU5221105221101              ,PCU5221105221101              ,"PPI industry data for Commercial banking-Loan services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,96.3,112.1,133.1,121.0,90.4,100.7,133.3,158.9,159.1,155.4,148.4,142.7,140.1,146.0,156.0,158.1,137.0
PCU522110522110101            ,PCU522110522110101            ,"PPI industry data for Commercial banking-Residential real estate loans, except home equity, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,88.9,78.7,71.5,62.7,56.9,80.4,99.7,107.9,101.7,97.4,96.8,97.9,95.4,94.5,96.9,92.3,91.7
PCU522110522110102            ,PCU522110522110102            ,"PPI industry data for Commercial banking-Nonresidential real estate loans, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,98.4,123.7,151.0,134.8,113.9,129.0,182.5,258.8,277.2,274.6,257.3,237.6,228.9,244.1,264.5,273.8,234.9
PCU522110522110103            ,PCU522110522110103            ,"PPI industry data for Commercial banking-Home equity loans, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,93.4,150.6,188.6,176.2,86.1,70.1,103.7,135.9,150.1,160.9,156.8,149.3,152.3,165.1,179.7,185.7,164.3
PCU522110522110105            ,PCU522110522110105            ,"PPI industry data for Commercial banking-Commercial, industrial, and agricultural loans, except real estate, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,100.9,128.9,166.7,151.1,88.6,79.7,116.7,133.0,135.3,134.3,125.1,120.8,125.0,134.6,151.3,155.8,103.6
PCU522110522110106            ,PCU522110522110106            ,"PPI industry data for Commercial banking-New and used auto and truck loans, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,93.0,91.3,98.8,95.9,103.5,160.3,167.1,158.1,139.3,124.1,108.8,99.6,94.6,91.3,89.8,90.0,93.0
PCU522110522110107            ,PCU522110522110107            ,"PPI industry data for Commercial banking-Credit cards, overdraft credit, and related plans, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,95.3,107.4,126.2,119.4,104.7,110.1,129.9,144.5,146.8,144.7,142.2,141.9,143.0,150.2,156.6,160.6,146.4
