index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU451---451---               ,PCU451---451---               ,"PPI industry sub-sector data for Sporting goods, hobby, and book stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,96.6,96.6,98.4,103.4,111.6,113.9,112.6,112.7,114.6,113.7,114.5,115.4,116.7,117.5,117.5,118.5,117.9,124.651
PCU4511--4511--               ,PCU4511--4511--               ,"PPI industry group data for Sporting goods and hobby stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,97.8,99.0,102.5,107.7,119.5,123.2,121.4,120.7,121.9,119.1,119.0,118.5,119.7,119.7,118.9,119.7,118.0,125.526
PCU45111-45111-               ,PCU45111-45111-               ,"PPI industry data for Sporting goods stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,95.0,96.1,99.2,112.7,130.7,134.5,132.9,133.2,137.2,132.7,132.7,133.9,138.0,138.9,141.9,145.2,145.7,158.394
PCU451110451110               ,PCU451110451110               ,"PPI industry data for Sporting goods stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M01,103.6,107.2,104.4,99.1,100.3,103.5,117.6,136.3,140.3,138.7,139.0,143.2,138.4,138.4,139.7,143.9,144.9,148.0,151.5,152.0,165.254
PCU4511104511101              ,PCU4511104511101              ,"PPI industry data for Sporting goods stores-Sporting goods store services, not seasonally adjusted",Index base: 2000.06 = 100,1999-M12,2022-M01,103.7,107.4,104.5,99.3,100.5,103.6,117.8,136.6,140.6,138.9,139.2,143.4,138.7,139.4,140.7,145.0,145.9,149.1,152.6,153.1,166.454
PCU45111045111011             ,PCU45111045111011             ,"PPI industry data for Sporting goods stores-Retailing of sporting goods, not seasonally adjusted",Index base: 2013.12 = 100,2013-M12,2022-M01,,,,,,,,,,,,,,103.5,105.9,109.7,109.5,110.9,115.8,118.4,121.811
PCU45111045111012             ,PCU45111045111012             ,"PPI industry data for Sporting goods stores-Retailing of all other goods, not seasonally adjusted",Index base: 2013.12 = 100,2013-M12,2021-M09,,,,,,,,,,,,,,92.8,91.1,92.8,95.0,99.0,97.7,94.8,
PCU451110451110P              ,PCU451110451110P              ,"PPI industry data for Sporting goods stores-Primary services, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M01,103.7,107.4,104.5,99.3,100.5,103.6,117.8,136.6,140.6,138.9,139.2,143.4,138.7,139.4,140.7,145.0,145.9,149.1,152.6,153.1,166.454
PCU45112-45112-               ,PCU45112-45112-               ,"PPI industry data for Hobby, toy and game stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,100.5,101.7,105.7,101.9,108.5,112.2,110.1,108.0,104.8,105.2,104.7,101.1,96.8,95.0,90.8,88.0,82.6,82.724
PCU451120451120               ,PCU451120451120               ,"PPI industry data for Hobby, toy, and game stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M01,95.3,87.8,95.8,101.8,103.0,107.0,103.2,109.9,113.7,111.5,109.4,106.2,106.6,106.0,102.4,98.0,96.3,92.0,89.1,83.6,83.778
