index,Index,Label,unit,start,last,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU213---213---               ,PCU213---213---               ,"PPI industry sub-sector data for Mining support activities, not seasonally adjusted",Index base: 2009.06 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,68.0,86.8,111.5,110.8,112.8,103.2,102.0,110.8,116.2,121.2,122.9,114.4,106.9,108.2,110.2,111.0,104.7,106.041
PCU2131--2131--               ,PCU2131--2131--               ,"PPI industry group data for Mining support activities, not seasonally adjusted",Index base: 2009.06 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,68.0,86.8,111.5,110.8,112.8,103.2,102.0,110.8,116.2,121.2,122.9,114.4,106.9,108.2,110.2,111.0,104.7,106.041
PCU21311-21311-               ,PCU21311-21311-               ,"PPI industry data for Mining support activities, not seasonally adjusted",Index base: 2009.06 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,86.8,111.5,110.8,112.8,103.2,102.0,110.8,116.2,121.2,122.9,114.4,106.9,108.2,110.2,111.0,104.7,106.041
PCU213111213111               ,PCU213111213111               ,"PPI industry data for Drilling oil and gas wells, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,91.3,85.5,88.7,87.5,91.3,94.2,89.6,100.6,103.2,104.2,115.1,143.7,154.6,133.1,138.2,173.9,153.5,153.5,168.0,258.8,377.7,360.6,366.9,328.2,325.9,362.7,391.6,433.7,452.0,374.2,314.4,323.6,332.3,337.0,314.0,319.721
PCU21311121311103             ,PCU21311121311103             ,"PPI industry data for Drilling oil and gas wells-Oil and gas well directional drilling control, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,107.4,139.8,214.8,211.4,192.5,151.6,115.4,128.9,148.4,144.5,142.9,142.2,142.3,142.3,142.3,137.6,117.7,109.873
PCU21311121311104             ,PCU21311121311104             ,"PPI industry data for Drilling oil and gas wells-Drilling oil and gas wells, including drilling in, spudding in or tailing in, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,93.0,87.6,89.7,88.5,90.5,91.6,90.3,91.4,93.0,96.7,98.7,111.1,119.5,116.6,125.2,156.0,147.4,144.0,157.9,249.0,372.0,363.0,369.4,321.5,316.9,356.7,384.8,432.4,449.4,363.4,303.6,300.8,309.2,311.2,292.6,304.526
PCU21311121311105             ,PCU21311121311105             ,"PPI industry data for Drilling oil and gas wells-Reworking oil and gas wells, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M02,,,,,,,,,,,,,,,,,,,182.1,285.5,345.1,256.5,266.9,273.8,274.5,285.9,331.2,360.1,400.4,344.4,254.1,357.1,373.7,405.9,385.0,372.521
PCU213111213111P              ,PCU213111213111P              ,"PPI industry data for Drilling oil and gas wells-Primary services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,91.2,85.1,88.5,87.2,91.1,93.9,89.3,100.3,102.9,103.8,114.7,143.3,154.1,132.7,138.2,175.7,153.2,153.0,168.2,262.6,383.5,364.4,371.2,329.9,325.1,361.9,392.5,436.8,456.1,374.5,312.0,321.5,330.4,334.7,311.8,317.549
PCU213112213112               ,PCU213112213112               ,"PPI industry data for Support activities for oil and gas operations, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,94.3,92.5,96.0,98.1,103.8,107.0,103.7,104.0,105.8,111.0,108.2,112.7,113.6,112.9,123.3,142.4,137.4,135.6,141.8,161.3,187.6,194.3,196.9,181.5,178.3,190.3,196.5,199.3,199.2,196.8,192.8,194.1,196.7,197.5,185.8,187.392
PCU2131122131120              ,PCU2131122131120              ,"PPI industry data for Support activities for oil and gas operations-Oil and gas field support services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,94.2,92.1,95.9,98.4,104.2,107.4,103.8,104.0,105.8,111.0,107.5,112.2,113.1,112.3,123.2,144.0,138.4,136.2,142.8,163.0,190.3,197.2,199.1,178.0,175.3,188.6,194.7,199.4,199.7,197.7,194.0,195.8,198.5,198.3,187.3,189.565
PCU21311221311201             ,PCU21311221311201             ,"PPI industry data for Support activities for oil and gas operations-Oil and gas field exploration services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2006-M06,79.4,71.8,72.6,70.1,71.9,78.0,78.0,90.0,102.1,103.7,104.1,105.7,114.4,89.9,75.7,67.7,66.9,67.9,67.6,72.9,,,,,,,,,,,,,,,,
PCU21311221311203             ,PCU21311221311203             ,"PPI industry data for Support activities for oil and gas operations-Other oil and gas field support services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2006-M06,94.6,92.5,96.5,98.4,104.4,107.8,102.3,101.9,103.4,108.8,104.2,108.9,109.7,109.0,120.0,140.2,134.7,132.6,139.1,159.0,,,,,,,,,,,,,,,,
PCU213112213112M              ,PCU213112213112M              ,"PPI industry data for Support activities for oil and gas operations-Miscellaneous receipts, not seasonally adjusted",Index base: 1994.11 = 100,1994-M11,2017-M12,,,,,,,,,,,120.7,120.7,120.7,120.7,122.1,123.0,123.1,126.3,126.9,145.3,171.7,180.2,,,,,,,205.1,,,,,,,
