index,Index,Label,unit,start,last,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU321---321---               ,PCU321---321---               ,"PPI industry sub-sector data for Wood product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7,108.6,108.5,107.0,107.4,103.2,107.7,108.3,112.9,120.8,125.5,124.5,125.5,130.9,139.5,136.1,148.6
PCU3211--3211--               ,PCU3211--3211--               ,"PPI industry group data for Sawmills and wood preservation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5,110.7,107.9,103.8,99.3,88.7,98.3,98.9,103.4,116.2,124.7,116.7,118.0,124.2,132.8,121.5,142.8
PCU32111-32111-               ,PCU32111-32111-               ,"PPI industry data for Sawmills and wood preservation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5,110.7,107.9,103.8,99.3,88.7,98.3,98.9,103.4,116.2,124.7,116.7,118.0,124.2,132.8,121.5,142.8
PCU321113321113               ,PCU321113321113               ,"PPI industry data for Sawmills, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,,,,,,,,,,97.7,92.9,101.8,100.0,97.3,98.3,104.1,107.1,111.6,109.9,111.5,127.9,159.2,162.0,150.8,152.0,163.1,151.7,157.4,148.0,141.2,139.1,141.1,163.4,162.0,158.3,152.0,143.5,124.9,140.0,142.2,147.2,166.8,180.2,165.9,168.1,179.6,192.2,172.8,206.2
PCU3211133211131              ,PCU3211133211131              ,"PPI industry data for Sawmills-Hardwood lumber, made in sawmills, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,102.5,103.4,101.9,94.9,83.9,97.4,95.5,93.5,106.9,129.0,110.7,110.7,112.6,119.8,101.2,93.6
PCU3211133211133              ,PCU3211133211133              ,"PPI industry data for Sawmills-Softwood lumber, made in sawmills, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6,115.0,105.3,92.0,81.3,72.8,85.2,84.7,91.9,109.1,112.0,103.3,107.0,120.1,129.2,112.9,152.1
PCU32111332111331             ,PCU32111332111331             ,"PPI industry data for Sawmills-Softwood rough lumber, not edge worked, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2019-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.2,118.6,118.1,118.7,119.1,129.9,,
PCU32111332111332             ,PCU32111332111332             ,"PPI industry data for Sawmills-Softwood dressed lumber, less than 2 inches in nominal thickness, not edge worked, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5,116.0,106.2,114.7,119.1,119.7,122.1,140.1
PCU32111332111333             ,PCU32111332111333             ,"PPI industry data for Sawmills-Softwood dressed 2-inch lumber, 2 inches in nominal thickness only, not edge worked, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9,120.3,106.9,111.1,135.7,147.1,116.5,180.3
PCU32111332111334             ,PCU32111332111334             ,"PPI industry data for Sawmills-Softwood dressed lumber and timbers, more than 2 inches in nominal thickness, not edge worked, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,114.8,104.1,108.9,116.7,131.3,107.6,155.0
PCU3211133211135              ,PCU3211133211135              ,"PPI industry data for Sawmills-Wood chips, excluding field chips, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,,,,,,,,,,99.4,97.2,89.2,87.8,87.3,85.7,86.7,88.8,94.8,94.8,99.4,101.5,105.0,104.4,115.9,87.0,84.6,93.6,85.6,84.0,83.3,79.9,81.2,86.0,86.3,94.6,119.9,135.7,96.0,98.7,116.5,109.6,102.3,106.9,111.1,110.4,109.7,114.2,115.9,118.1
PCU3211133211137              ,PCU3211133211137              ,"PPI industry data for Sawmills-Wood ties, siding, shingles, and shakes, and contract sawing of logs owned by others, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,102.3,103.1,107.3,109.2,109.9,110.5,113.5,114.9,118.6,137.4,145.2,143.4,139.7,143.5,148.5,147.9
PCU321113321113M              ,PCU321113321113M              ,"PPI industry data for Sawmills-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2018-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.9,140.3,141.5,142.3,139.4,143.7,164.7,147.5,134.2,,,,
PCU321113321113P              ,PCU321113321113P              ,"PPI industry data for Sawmills-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,110.7,105.9,100.8,94.1,81.0,92.6,94.1,98.1,112.1,120.7,111.0,113.3,122.2,130.6,115.7,141.1
PCU321113321113S              ,PCU321113321113S              ,"PPI industry data for Sawmills-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,106.8,118.9,111.0,109.5,,,,,103.7,110.5,111.0,110.5,108.5,111.5,,
