index,Index,Label,unit,start,last,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU484---484---               ,PCU484---484---               ,"PPI industry sub-sector data for Truck transportation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,103.1,109.0,113.2,115.4,123.0,117.3,119.4,126.4,130.8,132.7,134.9,132.3,131.4,134.4,143.2,146.6,146.0,164.702
PCU4841--4841--               ,PCU4841--4841--               ,"PPI industry group data for General freight trucking, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,103.5,110.0,114.1,116.5,123.6,117.5,119.3,126.8,132.4,134.7,137.5,134.9,133.9,137.3,147.9,151.8,151.5,174.806
PCU48411-48411-               ,PCU48411-48411-               ,"PPI industry data for General freight trucking, local, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,105.2,111.5,115.3,119.6,130.2,126.0,127.2,130.5,132.8,135.0,135.2,135.1,130.3,130.0,139.9,146.2,147.3,162.186
PCU484110484110               ,PCU484110484110               ,"PPI industry data for General freight trucking, local, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,105.2,111.5,115.3,119.6,130.2,126.0,127.2,130.5,132.8,135.0,135.2,135.1,130.3,130.0,140.0,146.2,147.3,162.201
PCU4841104841101              ,PCU4841104841101              ,"PPI industry data for General freight trucking, local-General freight trucking services, local, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M01,,103.2,104.7,105.1,105.4,103.3,102.1,103.4,105.9,106.9,109.9,117.2,124.3,128.3,133.0,145.4,139.8,141.1,144.9,147.3,150.4,150.4,150.5,145.3,144.9,156.1,163.9,163.1,177.731
PCU48411048411015             ,PCU48411048411015             ,"PPI industry data for General freight trucking, local-General freight trucking, local, truckload, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,100.4,106.7,112.1,110.1,122.689
PCU48411048411016             ,PCU48411048411016             ,"PPI industry data for General freight trucking, local-General freight trucking, local, less than truckload, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,109.6,122.2,128.3,131.8,135.628
PCU484110484110P              ,PCU484110484110P              ,"PPI industry data for General freight trucking, local-Primary services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M01,,103.2,104.7,105.1,105.4,103.3,102.1,103.4,105.9,106.9,109.9,117.2,124.3,128.3,133.0,145.4,139.8,141.1,144.9,147.3,150.4,150.4,150.5,145.3,144.9,156.1,163.9,163.1,177.731
PCU484110484110SM             ,PCU484110484110SM             ,"PPI industry data for General freight trucking, local-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,101.2,105.5,113.0,117.3,124.4,126.6,127.5,129.6,132.5,132.9,133.6,132.9,127.7,127.4,137.3,,147.7,167.923
PCU48412-48412-               ,PCU48412-48412-               ,"PPI industry data for General freight trucking, long-distance, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,103.2,109.7,113.8,115.9,122.2,115.5,117.5,126.1,132.4,134.7,138.1,134.9,134.8,139.0,149.8,153.1,152.5,177.767
PCU484121484121               ,PCU484121484121               ,"PPI industry data for General freight trucking, long-distance TL, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.7,108.6,112.0,113.5,119.5,111.0,113.3,120.9,126.3,127.4,129.6,126.1,123.5,125.6,135.8,138.0,137.0,164.254
PCU4841214841212              ,PCU4841214841212              ,"PPI industry data for General freight trucking, long-distance TL-General freight trucking, long-distance, truckload, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M01,98.9,99.9,102.3,102.4,103.6,104.5,105.4,108.1,109.9,109.5,112.2,117.0,123.7,127.4,128.9,135.2,125.7,128.2,136.9,143.2,143.9,147.1,143.5,139.1,141.7,153.5,154.1,152.7,183.838
PCU484121484121P              ,PCU484121484121P              ,"PPI industry data for General freight trucking, long-distance TL-Primary services, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M01,98.9,99.9,102.3,102.4,103.6,104.5,105.4,108.1,109.9,109.5,112.2,117.0,123.7,127.4,128.9,135.2,125.7,128.2,136.9,143.2,143.9,147.1,143.5,139.1,141.7,153.5,154.1,152.7,183.838
PCU484121484121SM             ,PCU484121484121SM             ,"PPI industry data for General freight trucking, long-distance TL-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2019-M10,,,,,,,,,,,,106.1,113.0,119.9,127.8,142.4,132.3,135.8,141.5,146.1,151.3,149.2,142.7,,,,,,
PCU484122484122               ,PCU484122484122               ,"PPI industry data for General freight trucking, long-distance LTL, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,104.2,111.8,117.7,121.0,127.9,125.5,126.8,137.6,146.1,151.0,157.5,155.0,160.8,170.0,181.8,188.4,188.9,207.236
PCU4841224841221              ,PCU4841224841221              ,"PPI industry data for General freight trucking, long-distance LTL-General freight trucking, long-distance less than truckload, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M01,103.1,106.8,109.2,113.8,121.1,129.3,138.0,147.5,153.6,160.8,167.1,176.5,189.4,199.3,204.7,215.8,211.8,213.7,232.2,246.7,255.0,265.9,261.9,271.7,287.2,306.7,317.6,318.5,349.399
PCU484122484122P              ,PCU484122484122P              ,"PPI industry data for General freight trucking, long-distance LTL-Primary services, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M01,103.1,106.8,109.2,113.8,121.1,129.3,138.0,147.5,153.6,160.8,167.1,176.5,189.4,199.3,204.7,215.8,211.8,213.7,232.2,246.7,255.0,265.9,261.9,271.7,287.2,306.7,317.6,318.5,349.399
PCU4842--4842--               ,PCU4842--4842--               ,"PPI industry group data for Specialized freight trucking, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.3,107.0,111.4,113.1,122.1,117.4,119.9,125.7,127.5,128.5,129.2,126.9,126.2,128.1,132.9,135.5,134.1,142.849
PCU48421-48421-               ,PCU48421-48421-               ,"PPI industry data for Used household and office goods moving, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.6,106.0,107.8,108.8,112.2,112.8,114.7,122.9,124.4,124.9,126.7,126.1,124.6,127.3,132.0,136.5,137.1,148.389
PCU484210484210               ,PCU484210484210               ,"PPI industry data for Used household and office goods moving, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.6,106.0,107.8,108.8,112.2,112.8,114.7,122.9,124.4,124.9,126.7,126.0,124.5,127.3,132.0,136.5,137.0,148.356
PCU4842104842102              ,PCU4842104842102              ,"PPI industry data for Used household and office goods moving-Used household and office goods moving, except local, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M01,100.7,104.6,108.2,114.8,115.7,116.9,122.1,129.4,136.4,138.5,144.9,149.3,154.1,157.5,160.6,169.1,171.0,175.9,193.1,197.0,194.6,197.0,193.7,190.6,197.7,206.3,212.7,213.7,231.29
PCU48421048421021             ,PCU48421048421021             ,"PPI industry data for Used household and office goods moving-Residential moving services, except local, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,97.9,101.9,106.8,111.5,113.1,124.186
PCU48421048421022             ,PCU48421048421022             ,"PPI industry data for Used household and office goods moving-Commercial and other goods moving services, except local, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,99.8,102.5,105.9,105.2,103.3,106.833
PCU4842104842104              ,PCU4842104842104              ,"PPI industry data for Used household and office goods moving-Used household and office goods moving, local, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,101.3,104.2,105.1,106.4,107.8,108.4,108.0,110.9,112.3,114.4,115.1,117.3,117.3,115.2,118.1,123.2,123.4,133.707
PCU48421048421041             ,PCU48421048421041             ,"PPI industry data for Used household and office goods moving-Residential moving services, local, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,99.9,97.2,100.4,106.2,106.3,116.232
PCU48421048421042             ,PCU48421048421042             ,"PPI industry data for Used household and office goods moving-Commercial and other goods moving services, local, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,100.1,101.1,101.3,101.3,101.6,107.031
PCU484210484210P              ,PCU484210484210P              ,"PPI industry data for Used household and office goods moving-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.4,105.6,107.6,109.3,113.7,114.7,116.7,125.2,127.1,127.8,129.2,128.4,126.9,129.6,134.4,139.1,139.6,151.165
PCU48422-48422-               ,PCU48422-48422-               ,"PPI industry data for Specialized freight (except used) trucking, local, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.7,107.1,112.3,114.2,126.7,123.9,126.5,131.3,133.4,135.1,135.6,132.3,132.3,133.3,136.9,141.7,141.1,144.596
PCU484220484220               ,PCU484220484220               ,"PPI industry data for Specialized freight (except used goods) trucking, local, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,102.7,107.1,112.3,114.2,126.7,123.9,126.5,131.3,133.4,135.1,135.6,132.3,132.3,133.3,136.9,141.7,141.1,144.604
