index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU312---312---               ,PCU312---312---               ,"PPI industry sub-sector data for Beverage & tobacco mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,104.8,106.3,109.6,114.4,119.8,123.4,127.8,132.3,134.9,137.9,141.0,145.6,148.6,152.4,157.5,162.0,167.77
PCU3121--3121--               ,PCU3121--3121--               ,"PPI industry group data for Beverage mfg, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.8,104.1,105.8,109.0,112.0,116.4,117.9,118.5,118.8,123.1,125.5,126.3,127.2,129.8,134.4,138.6,140.8,142.7,146.4,150.4,153.3,155.2,162.2,168.4,170.8,174.1,179.1,181.1,182.7,184.8,189.2,189.9,191.9,195.5,198.4,201.126
PCU31211-31211-               ,PCU31211-31211-               ,"PPI industry data for Soft drink & ice mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,104.1,106.8,109.3,114.5,119.1,120.4,121.9,125.3,125.7,126.4,128.1,133.2,132.4,134.1,138.8,141.9,148.195
PCU312111312111               ,PCU312111312111               ,"PPI industry data for Soft drink manufacturing, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,107.3,111.3,112.5,114.6,117.1,119.5,122.5,127.2,130.3,131.0,132.5,134.1,140.2,141.2,140.5,142.4,145.7,152.0,156.5,159.5,161.5,165.3,168.6,173.0,177.4,186.4,194.3,197.0,199.4,205.1,206.0,207.2,211.2,220.6,220.0,223.2,231.6,236.9,247.608
PCU3121113121112              ,PCU3121113121112              ,"PPI industry data for Soft drink manufacturing-Soft drinks, bottled, canned, glass, plastic, carbonated, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,102.9,104.2,106.6,115.1,113.8,116.1,121.5,125.1,132.536
PCU312111312111A              ,PCU312111312111A              ,"PPI industry data for Soft drink manufacturing-Soft drinks, non-carbonated, not seasonally adjusted",Index base: 2000.12 = 100,2000-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,102.3,103.5,104.9,106.7,111.9,116.6,128.5,135.5,138.2,140.7,146.0,147.3,146.9,147.5,147.1,147.3,147.7,152.9,154.3,157.612
PCU312111312111A3             ,PCU312111312111A3             ,"PPI industry data for Soft drink manufacturing-Soft drinks, non-carbonated, all other types, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4,112.5,112.5,112.8,113.3,115.041
PCU312111312111A4             ,PCU312111312111A4             ,"PPI industry data for Soft drink manufacturing-Soft drinks, non-carbonated, fruit drinks, cocktails, ades, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,104.0,104.7,111.9,113.5,116.604
PCU312111312111M              ,PCU312111312111M              ,"PPI industry data for Soft drink manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,105.3,110.7,112.6,114.9,117.8,120.1,119.9,123.2,123.5,125.1,127.8,128.8,137.0,136.4,136.4,138.5,142.0,146.0,150.2,150.3,152.5,156.9,164.7,171.9,174.2,178.0,187.4,187.0,178.3,178.6,176.3,173.0,177.3,167.0,178.1,182.1,181.5,185.9,191.656
PCU312111312111MM             ,PCU312111312111MM             ,"PPI industry data for Soft drink manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,105.3,110.7,112.6,114.9,117.8,120.1,119.9,123.2,123.5,125.1,127.8,128.8,137.0,136.4,136.4,138.5,142.0,146.0,150.2,150.3,152.5,,,,,,,,,,,,,,,,,,
