index,Index,Label,unit,start,last,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU515---515---               ,PCU515---515---               ,"PPI industry sub-sector data for Broadcasting, except Internet, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,101.2,102.1,102.8,101.4,106.7,105.3,109.7,112.4,116.8,117.7,119.8,121.2,124.0,125.7,127.7,128.4,130.1
PCU5151--5151--               ,PCU5151--5151--               ,"PPI industry group data for Radio and television broadcasting, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,98.2,97.1,99.8,102.8,101.9,101.1,101.3,101.7,92.5,95.6,95.1,98.7,97.7,99.5,96.5,101.8,100.0,102.9,101.9,98.5
PCU51511-51511-               ,PCU51511-51511-               ,"PPI industry data for Radio broadcasting, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,102.7,106.3,105.8,104.3,103.7,99.5,100.3,99.2,96.8,97.6,95.9,91.0,95.7,95.7,99.2,102.7,96.6
PCU515110515110               ,PCU515110515110               ,"PPI industry data for Radio broadcasting, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2021-M11,103.7,109.2,110.8,112.0,115.8,121.6,128.8,140.6,148.5,151.1,162.3,170.6,172.3,171.9,179.0,187.7,194.7,193.7,190.4,188.9,180.1,181.8,179.5,174.8,176.3,173.1,164.4,172.7,172.9,179.2,185.4,174.5
PCU5151105151101              ,PCU5151105151101              ,"PPI industry data for Radio broadcasting-Radio station services, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2021-M11,104.8,110.5,112.4,114.2,118.5,124.3,131.7,144.3,152.5,154.9,167.0,173.9,175.4,175.2,183.8,193.7,201.2,199.9,196.0,194.3,184.5,186.4,183.8,181.5,188.5,187.0,175.7,185.8,186.5,193.8,203.8,183.0
PCU515110515110101            ,PCU515110515110101            ,"PPI industry data for Radio broadcasting-Radio station advertising sales, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2021-M11,104.8,110.5,112.4,114.2,118.5,124.3,131.7,144.3,152.5,154.9,167.0,173.9,175.4,175.2,183.8,193.8,201.4,200.2,196.2,194.3,184.3,186.2,183.6,181.3,189.0,187.3,175.0,186.6,179.8,182.6,194.0,173.6
PCU51511051511010101          ,PCU51511051511010101          ,"PPI industry data for Radio broadcasting-Radio station advertising sales, local, not seasonally adjusted",Index base: 1995.12 = 100,1995-M12,2021-M11,,,,,,,,106.1,112.7,115.4,124.2,130.2,131.2,131.3,137.9,146.2,151.7,151.8,149.4,148.5,139.9,141.6,139.7,138.4,145.1,144.3,135.2,145.0,140.6,139.9,148.1,131.1
PCU51511051511010102          ,PCU51511051511010102          ,"PPI industry data for Radio broadcasting-Radio station advertising sales, national and regional, not seasonally adjusted",Index base: 1995.12 = 100,1995-M12,2021-M11,,,,,,,,106.0,110.2,108.8,118.1,119.6,121.4,120.5,125.8,130.1,135.9,132.2,127.5,124.4,121.2,121.6,119.7,116.6,118.8,116.3,107.2,111.5,104.5,113.2,121.9,113.1
PCU515110515110102            ,PCU515110515110102            ,"PPI industry data for Radio broadcasting-Other radio station services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,97.9,97.7,98.1,97.0,95.0,133.6,160.6,160.7,146.7
PCU5151105151102              ,PCU5151105151102              ,"PPI industry data for Radio broadcasting-Radio network and national syndication services, not seasonally adjusted",Index base: 1995.12 = 100,1995-M12,2021-M11,,,,,,,,101.4,110.3,118.7,122.4,159.0,162.4,151.5,145.8,145.0,145.5,146.3,147.5,148.3,148.6,148.2,148.3,137.6,124.6,116.6,113.9,116.3,116.0,116.0,116.1,117.4
