index,Index,Label,unit,start,last,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU517---517---               ,PCU517---517---               ,"PPI industry sub-sector data for Telecommunications, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,99.8,98.1,98.3,100.8,101.1,101.1,101.0,101.6,101.8,102.1,101.7,100.0,99.1,97.4,98.5,100.0,101.1,101.791
PCU5173--5173--               ,PCU5173--5173--               ,"PPI industry group data for Wired and wireless telecommunications carriers, not seasonally adjusted",Index base: 2017.12 = 100,2017-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,100.9,102.4,103.6,104.269
PCU51731-51731-               ,PCU51731-51731-               ,"PPI industry data for Wired and wireless telecommunications carriers, not seasonally adjusted",Index base: 2017.12 = 100,2017-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,100.9,102.4,103.6,104.269
PCU517311517311               ,PCU517311517311               ,"PPI industry data for Wired telecommunications carriers, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,118.7,118.4,117.0,114.1,111.6,108.5,103.8,101.7,99.5,98.9,99.8,102.9,104.6,105.1,105.8,107.1,108.2,109.4,110.5,112.5,114.7,115.2,119.3,122.1,124.7,125.958
PCU5173115173111              ,PCU5173115173111              ,"PPI industry data for Wired telecommunications carriers-Local telephone service, except private lines, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,95.3,95.5,95.4,95.5,96.0,97.2,98.6,99.6,100.2,100.8,101.9,103.3,104.1,104.3,105.6,106.4,108.9,114.0,118.5,123.7,127.0,133.2,143.1,145.3,144.8,144.893
PCU517311517311111            ,PCU517311517311111            ,"PPI industry data for Wired telecommunications carriers-Residence local telephone service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,92.3,92.5,92.5,92.6,93.4,95.5,97.7,99.3,100.4,101.4,103.2,105.0,106.6,107.0,109.2,110.4,114.8,122.4,129.4,136.1,142.1,148.5,155.4,159.2,159.2,159.187
PCU517311517311112            ,PCU517311517311112            ,"PPI industry data for Wired telecommunications carriers-Business  and other local telephone service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,98.8,99.0,98.9,98.9,99.0,99.1,99.5,99.9,100.0,100.4,100.7,101.7,101.7,101.7,101.8,101.9,102.1,103.7,105.1,108.4,108.2,114.1,128.2,128.1,127.0,127.214
PCU5173115173112              ,PCU5173115173112              ,"PPI industry data for Wired telecommunications carriers-Public switched toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,150.3,149.3,145.9,139.0,132.3,123.7,110.7,104.4,98.5,96.4,97.1,103.6,107.5,108.8,108.9,111.9,112.6,113.8,113.8,112.9,115.6,114.3,117.1,114.7,122.0,124.716
PCU51731151731121             ,PCU51731151731121             ,"PPI industry data for Wired telecommunications carriers-Residence switched toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,135.5,135.3,132.9,130.4,126.5,122.2,111.3,105.2,99.7,100.3,104.7,118.8,129.0,137.5,144.9,152.2,155.2,159.1,163.8,165.3,172.1,171.0,169.9,164.0,175.4,181.311
PCU517311517311213            ,PCU517311517311213            ,"PPI industry data for Wired telecommunications carriers-International residence switched toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,288.0,264.3,244.7,223.7,208.0,178.1,131.1,111.2,93.0,93.6,96.1,126.2,109.7,112.4,112.0,112.3,,,,,,,,,,
PCU51731151731122             ,PCU51731151731122             ,"PPI industry data for Wired telecommunications carriers-Business switched toll and other toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,173.8,171.4,166.5,152.5,141.5,126.1,109.9,103.3,96.7,90.6,85.6,83.0,80.6,73.8,65.7,64.1,62.3,61.8,59.4,57.2,56.7,55.5,60.1,60.1,63.5,63.898
PCU517311517311221            ,PCU517311517311221            ,"PPI industry data for Wired telecommunications carriers-Business switched access toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,153.0,157.7,159.1,150.6,144.3,129.6,112.0,104.1,96.7,90.5,86.6,83.2,76.9,72.8,68.4,68.1,,,,,,,,,,
PCU5173115173112211           ,PCU5173115173112211           ,"PPI industry data for Wired telecommunications carriers-Outbound business switched access toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,166.6,173.8,187.5,175.2,167.4,145.5,118.7,105.0,95.7,88.9,84.8,80.8,73.7,72.2,70.9,71.1,,,,,,,,,,
PCU51731151731122113          ,PCU51731151731122113          ,"PPI industry data for Wired telecommunications carriers-International business switched access toll service, outbound, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,267.7,256.7,254.9,249.6,217.8,164.3,149.6,114.3,90.0,71.4,60.3,45.4,44.4,46.8,39.1,35.6,,,,,,,,,,
PCU5173115173112212           ,PCU5173115173112212           ,"PPI industry data for Wired telecommunications carriers-Inbound business switched access toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,134.0,135.0,119.3,116.0,111.9,107.3,102.6,102.9,98.0,92.6,89.0,86.5,81.6,73.3,64.0,63.0,,,,,,,,,,
PCU51731151731122123          ,PCU51731151731122123          ,"PPI industry data for Wired telecommunications carriers-International business switched access toll service, inbound, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,204.8,182.2,139.5,159.0,128.4,104.6,93.8,121.9,85.2,75.0,62.4,60.4,72.2,67.1,54.4,48.7,,,,,,,,,,
PCU517311517311222            ,PCU517311517311222            ,"PPI industry data for Wired telecommunications carriers-Business special access switched toll service, except private lines, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,228.1,207.4,185.8,157.9,134.7,117.3,105.3,101.5,96.9,90.8,83.5,82.6,88.5,76.0,60.0,55.3,,,,,,,,,,
PCU5173115173112221           ,PCU5173115173112221           ,"PPI industry data for Wired telecommunications carriers-Outbound business special access switched toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,256.7,227.0,191.7,160.4,135.4,112.6,103.1,101.0,95.6,90.8,82.7,81.6,86.5,73.2,56.6,49.9,,,,,,,,,,
PCU51731151731122213          ,PCU51731151731122213          ,"PPI industry data for Wired telecommunications carriers-International business special access switched toll service, outbound, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,323.9,293.5,249.5,182.7,146.1,119.1,114.1,105.5,86.6,89.4,86.3,90.5,99.0,95.3,87.3,75.0,,,,,,,,,,
