index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU324---324---               ,PCU324---324---               ,"PPI industry sub-sector data for Petroleum and coal products manufacturing, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,70.5,67.7,75.7,91.4,83.1,80.3,77.6,74.8,77.2,87.4,85.6,66.3,76.8,112.8,105.3,98.8,122.0,149.9,200.4,235.5,260.3,329.2,218.8,285.8,374.4,379.2,363.6,344.9,228.0,185.0,224.5,276.1,245.8,186.7
PCU3241--3241--               ,PCU3241--3241--               ,"PPI industry group data for Petroleum and coal products mfg, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,70.5,67.7,75.7,91.4,83.1,80.3,77.6,74.8,77.2,87.4,85.6,66.3,76.8,112.8,105.3,98.8,122.0,149.9,200.4,235.5,260.3,329.2,218.8,285.8,374.4,379.2,363.6,344.8,228.0,185.0,224.5,276.1,245.8,186.7
PCU32411-32411-               ,PCU32411-32411-               ,"PPI industry data for Petroleum refineries, not seasonally adjusted",Index base: 1985.06 = 100,1976-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,50.3,68.8,104.6,123.9,117.1,106.8,102.7,98.3,64.3,68.6,65.4,73.6,90.1,80.9,78.3,75.2,72.2,74.5,85.3,83.1,62.3,73.6,111.6,103.1,96.3,121.2,151.5,205.3,241.0,266.9,338.3,217.0,289.4,383.8,387.9,371.1,350.7,223.7,177.9,220.7,275.1,241.2,177.4
PCU324110324110               ,PCU324110324110               ,"PPI industry data for Petroleum refineries, not seasonally adjusted",Index base: 1985.06 = 100,1976-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,50.3,68.8,104.6,123.9,117.1,106.8,102.7,98.3,64.3,68.6,65.4,73.6,90.1,80.9,78.3,75.2,72.2,74.5,85.3,83.1,62.3,73.6,111.6,103.1,96.3,121.2,151.5,205.3,241.0,266.9,338.3,217.0,289.4,383.7,387.9,371.1,350.7,223.7,177.9,220.7,275.1,241.2,177.3
PCU3241103241101              ,PCU3241103241101              ,"PPI industry data for Petroleum refineries-Gasoline, including finished base stocks and blending agents, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,66.6,65.0,73.7,89.1,79.2,77.1,72.5,69.9,72.2,82.4,81.5,60.6,73.4,107.1,102.4,94.4,116.3,145.0,190.9,223.3,251.3,297.8,202.1,255.0,334.8,343.3,331.4,312.7,200.6,164.5,194.2,229.3,207.6,146.3
PCU32411032411012             ,PCU32411032411012             ,"PPI industry data for Petroleum refineries-Motor gasoline, including finished base stocks and blending agents, not seasonally adjusted",Index base: 1985.06 = 100,1965-M01,2021-M11,,,,,,,,,,,,,,,,,,,15.9,16.8,17.0,16.3,16.6,16.3,17.2,17.7,24.7,,,,46.9,49.3,68.0,105.8,122.4,113.4,102.2,95.9,94.4,62.0,66.6,65.0,73.7,89.2,79.2,77.2,72.5,69.9,72.2,82.5,81.5,60.5,73.4,107.3,102.5,94.5,116.5,145.2,191.2,223.6,252.6,299.3,202.2,256.2,337.3,345.1,332.5,315.2,200.7,163.9,194.4,230.2,208.2,146.2
PCU324110324110121            ,PCU324110324110121            ,"PPI industry data for Petroleum refineries-Regular gasoline, not seasonally adjusted",Index base: 1985.06 = 100,1977-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,68.1,104.7,121.4,112.7,101.7,95.7,94.0,60.6,64.5,62.3,70.7,86.6,77.3,74.5,69.5,66.7,68.7,79.8,78.3,57.5,70.3,104.2,99.3,91.4,113.1,141.4,187.4,218.3,246.8,293.2,197.1,250.8,330.8,338.1,324.9,307.8,193.0,157.3,187.8,223.3,201.2,140.4
PCU324110324110122            ,PCU324110324110122            ,"PPI industry data for Petroleum refineries-Mid-premium gasoline, not seasonally adjusted",Index base: 1987.12 = 100,1987-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9,108.4,104.4,108.9,120.3,122.4,92.3,111.0,159.2,153.1,143.2,175.5,217.8,281.0,330.6,370.2,435.9,294.1,367.8,484.2,492.9,471.7,453.2,308.1,248.4,287.7,340.5,315.2,225.8
PCU324110324110123            ,PCU324110324110123            ,"PPI industry data for Petroleum refineries-Premium gasoline, not seasonally adjusted",Index base: 1985.06 = 100,1973-M02,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,38.0,41.4,45.3,48.1,65.6,100.7,117.1,110.8,100.1,95.4,94.9,65.8,70.3,70.8,79.5,94.1,84.0,82.0,78.2,75.3,78.3,86.6,85.9,65.1,77.6,110.0,105.9,95.9,117.2,144.7,188.1,222.7,249.7,291.8,203.2,252.6,329.7,341.3,334.8,317.8,217.9,180.8,207.0,239.7,221.7,161.6
PCU3241103241106              ,PCU3241103241106              ,"PPI industry data for Petroleum refineries-Jet fuel, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,67.2,64.6,72.1,94.2,82.3,76.8,73.2,66.8,68.2,82.7,78.1,57.2,65.2,110.0,96.1,89.0,107.2,139.9,210.6,247.3,262.3,372.6,210.2,280.0,381.5,387.6,366.9,350.6,212.7,166.9,208.5,274.8,251.3,154.7
