index,Index,Label,unit,start,last,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU442---442---               ,PCU442---442---               ,"PPI industry sub-sector data for Furniture and home furnishings stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,102.4,110.7,116.6,117.4,120.3,121.5,121.1,124.3,126.7,130.7,134.8,134.9,137.7,142.0,139.3,142.9,147.0,168.465
PCU4421--4421--               ,PCU4421--4421--               ,"PPI industry group data for Furniture stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,100.8,108.0,111.0,110.6,113.7,117.2,117.0,118.4,120.1,120.5,122.2,124.3,129.9,133.5,132.7,139.8,146.9,167.714
PCU44211-44211-               ,PCU44211-44211-               ,"PPI industry data for Furniture stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,100.8,108.0,111.0,110.6,113.7,117.2,117.0,118.4,120.1,120.5,122.2,124.3,129.9,133.5,132.7,139.8,146.9,167.714
PCU442110442110               ,PCU442110442110               ,"PPI industry data for Furniture stores, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M01,102.2,109.4,112.5,112.1,115.2,118.8,118.6,120.0,121.7,122.1,123.9,125.9,131.6,135.3,134.5,141.7,148.9,169.967
PCU4421104421101              ,PCU4421104421101              ,"PPI industry data for Furniture stores-Furniture store services, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M01,102.2,109.4,112.5,112.1,115.2,118.8,118.6,120.0,121.7,122.1,123.9,125.9,131.6,135.3,134.5,142.0,149.6,171.921
PCU442110442110P              ,PCU442110442110P              ,"PPI industry data for Furniture stores-Primary services, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M01,102.2,109.4,112.5,112.1,115.2,118.8,118.6,120.0,121.7,122.1,123.9,125.9,131.6,135.3,134.5,142.0,149.6,171.921
PCU442110442110SM1            ,PCU442110442110SM1            ,"PPI industry data for Furniture stores-Other receipts, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M01,,,,,,,,,,,,,,,,,99.6,102.453
PCU44221-44221-               ,PCU44221-44221-               ,"PPI industry data for Floor covering stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,104.6,114.4,124.3,127.0,129.8,128.2,127.5,132.8,136.0,144.1,151.2,148.9,148.5,153.4,148.6,148.2,148.9,171.41
PCU442210442210               ,PCU442210442210               ,"PPI industry data for Floor covering stores, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M01,106.2,116.1,126.1,128.9,131.7,130.1,129.4,134.7,138.0,146.2,153.4,151.1,150.7,155.6,150.8,150.4,151.0,173.931
PCU4422104422101              ,PCU4422104422101              ,"PPI industry data for Floor covering stores-Floor covering store services, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M01,106.2,116.1,126.1,128.9,131.7,130.1,129.4,134.7,138.0,146.2,153.4,151.1,150.7,155.6,150.8,150.4,151.0,173.931
PCU442210442210P              ,PCU442210442210P              ,"PPI industry data for Floor covering stores-Primary services, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M01,106.2,116.1,126.1,128.9,131.7,130.1,129.4,134.7,138.0,146.2,153.4,151.1,150.7,155.6,150.8,150.4,151.0,173.931
