index,Index,Label,unit,start,last,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU452---452---               ,PCU452---452---               ,"PPI industry sub-sector data for General merchandise stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,103.1,103.4,106.6,110.0,112.9,105.7,114.7,116.5,125.7,125.8,125.8,123.9,124.8,125.3,123.9,126.9,124.6,131.777
PCU4522--4522--               ,PCU4522--4522--               ,"PPI industry group data for Department stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,105.4,105.1,105.6,111.4,117.8,111.3,122.6,125.4,130.3,125.9,122.0,116.9,119.4,123.6,122.9,122.5,122.7,136.576
PCU45221-45221-               ,PCU45221-45221-               ,"PPI industry data for Department stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,105.4,105.1,105.6,111.4,117.8,111.3,122.6,125.4,130.3,125.9,122.0,116.9,119.4,123.6,122.9,122.5,122.7,136.576
PCU452210452210               ,PCU452210452210               ,"PPI industry data for Department stores, not seasonally adjusted",Index base: 2017.12 = 100,2017-M12,2022-M02,,,,,,,,,,,,,,,104.1,103.8,103.9,115.709
PCU4522104522101              ,PCU4522104522101              ,"PPI industry data for Department stores-Department store services, not seasonally adjusted",Index base: 2017.12 = 100,2017-M12,2022-M02,,,,,,,,,,,,,,,104.6,105.0,105.8,117.221
PCU452210452210P              ,PCU452210452210P              ,"PPI industry data for Department stores-Primary services, not seasonally adjusted",Index base: 2017.12 = 100,2017-M12,2022-M02,,,,,,,,,,,,,,,104.6,105.0,105.8,117.221
PCU4523--4523--               ,PCU4523--4523--               ,"PPI industry group data for Other general merchandise stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,97.7,99.5,108.9,110.0,107.9,99.5,105.3,105.8,116.0,119.6,122.8,123.6,123.0,120.5,120.0,124.5,120.9,124.871
PCU45231-45231-               ,PCU45231-45231-               ,"PPI industry data for Other general merchandise stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,97.7,99.5,108.9,110.0,107.9,99.5,105.3,105.8,116.0,119.6,122.8,123.6,123.0,120.5,120.0,124.5,121.0,124.901
PCU452310452310               ,PCU452310452310               ,"PPI industry data for Other general merchandise stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,97.7,99.5,108.9,110.0,107.9,99.5,105.3,105.8,116.0,119.6,122.8,123.6,123.0,120.5,120.1,124.5,121.0,124.924
PCU4523104523101              ,PCU4523104523101              ,"PPI industry data for Other general merchandise stores-Other general merchandise store services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,97.7,99.5,108.9,110.0,107.9,99.5,105.3,105.8,116.0,119.6,122.8,123.6,123.0,120.1,119.4,124.1,120.4,124.527
PCU45231045231011             ,PCU45231045231011             ,"PPI industry data for Other general merchandise stores-Warehouse clubs and supercenters, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,90.3,97.6,97.3,106.9,110.5,113.6,114.0,113.2,109.7,108.9,114.4,109.7,114.104
PCU45231045231012             ,PCU45231045231012             ,"PPI industry data for Other general merchandise stores-All other general merchandise stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,118.6,119.6,122.3,126.9,128.2,130.9,134.1,135.7,137.2,137.3,137.0,139.0,140.726
PCU452310452310P              ,PCU452310452310P              ,"PPI industry data for Other general merchandise stores-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,97.7,99.5,108.9,110.0,107.9,99.5,105.3,105.8,116.0,119.6,122.8,123.6,123.0,120.1,119.4,124.1,120.4,124.527
