index,Index,Label,unit,start,last,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU429930429930               ,PCU429930429930               ,"PPI industry data for Material recyclers, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,115.8,146.7,148.6,140.7,125.3,120.5,127.5,151.4,181.8,147.6,152.7,131.6,127.9,152.8,123.9,129.3,151.6,220.7,219.8,269.4,324.5,373.7,247.2,371.1,431.8,380.0,359.0,365.9,275.1,258.4,320.2,343.3,294.6,310.3,471.308
PCU4299304299301              ,PCU4299304299301              ,"PPI industry data for Material recyclers-Ferrous metal scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,116.6,164.4,162.5,154.2,137.1,130.3,159.8,179.6,187.8,176.4,174.5,148.5,126.9,132.7,110.9,130.3,169.2,300.9,269.2,310.1,371.3,513.0,299.1,483.2,579.5,505.3,468.5,483.1,316.2,300.3,390.1,460.2,362.5,357.2,604.518
PCU42993042993011             ,PCU42993042993011             ,"PPI industry data for Material recyclers-Carbon steel scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,117.5,162.4,157.9,154.1,136.0,130.6,167.3,187.4,191.1,182.5,180.6,156.2,131.4,135.7,114.4,135.0,173.8,313.2,273.1,312.8,368.5,522.0,294.7,477.9,578.7,505.9,470.8,485.0,308.4,298.8,398.0,476.9,374.8,368.5,627.502
PCU429930429930111            ,PCU429930429930111            ,"PPI industry data for Material recyclers-Heavy melting scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,118.2,152.6,150.0,147.0,131.9,124.8,157.6,173.5,180.1,172.6,174.1,150.9,125.9,128.3,105.6,123.8,160.5,268.9,251.7,301.4,351.1,480.3,301.1,478.9,587.1,540.2,513.2,521.7,323.7,321.8,421.7,517.4,406.7,390.6,665.563
PCU429930429930112            ,PCU429930429930112            ,"PPI industry data for Material recyclers-Carbon steel scrap bundles, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,115.9,153.4,147.2,146.2,130.1,120.5,162.7,184.3,188.9,180.6,176.1,154.2,131.8,132.1,113.1,137.6,178.4,362.9,284.0,320.5,358.9,585.5,304.8,501.5,582.4,493.7,429.1,427.1,292.2,283.1,413.8,469.3,366.6,358.7,690.509
PCU429930429930113            ,PCU429930429930113            ,"PPI industry data for Material recyclers-Shredded carbon steel scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,109.7,137.1,140.8,134.0,114.7,109.8,133.1,142.7,149.7,136.2,133.0,117.6,100.3,99.9,84.1,96.0,127.8,214.9,202.7,217.4,255.3,359.4,216.1,311.3,392.3,359.6,333.5,331.9,208.3,201.7,260.7,312.0,250.1,247.3,408.715
PCU429930429930114            ,PCU429930429930114            ,"PPI industry data for Material recyclers-Cut plate and structural scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,117.5,156.3,150.3,143.9,128.9,119.2,148.5,167.1,174.7,173.6,170.3,156.1,133.0,138.0,122.1,137.5,173.2,298.2,282.7,310.3,345.0,495.5,290.9,472.3,586.7,521.3,491.8,503.2,327.5,310.3,402.5,485.7,391.5,369.6,620.478
PCU429930429930115            ,PCU429930429930115            ,"PPI industry data for Material recyclers-Other carbon steel scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2021-M12,124.9,221.1,211.0,205.4,176.6,185.5,237.1,271.3,261.9,250.2,250.8,195.3,157.0,185.8,154.5,189.7,231.3,429.3,343.8,395.7,496.1,666.7,331.9,604.3,710.2,569.9,538.8,594.1,359.0,329.3,454.9,529.3,351.7,,
PCU42993042993012             ,PCU42993042993012             ,"PPI industry data for Material recyclers-Stainless and alloy steel scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,117.7,232.7,248.4,184.2,170.1,149.6,131.4,146.0,200.5,162.3,163.1,111.9,114.6,137.6,105.0,116.8,166.5,268.3,290.2,410.9,613.5,,594.9,898.4,928.3,776.9,654.6,689.5,503.4,436.7,525.0,553.5,479.2,485.9,731.831
PCU42993042993013             ,PCU42993042993013             ,"PPI industry data for Material recyclers-Cast iron scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,110.6,132.3,136.4,135.5,123.8,116.1,127.1,149.3,157.5,145.4,144.0,131.2,106.2,100.0,87.6,100.1,115.5,192.3,175.9,178.0,201.3,265.8,203.5,262.5,296.3,274.2,262.7,281.7,217.5,209.0,239.5,272.5,208.0,195.9,345.787
PCU42993042993014             ,PCU42993042993014             ,"PPI industry data for Material recyclers-Other ferrous scrap, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,121.9,167.8,79.1,135.1,162.6,,129.9,135.6,81.7,81.0,111.5,128.6,86.7,93.7,163.476
PCU4299304299302              ,PCU4299304299302              ,"PPI industry data for Material recyclers-Nonferrous metal scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,122.7,163.0,180.3,169.3,149.5,144.5,126.8,155.0,191.8,165.3,175.2,148.9,148.3,175.8,168.2,152.5,166.0,211.3,243.1,347.9,389.2,387.9,279.8,398.4,457.0,424.3,407.9,412.5,351.1,317.3,370.3,393.0,385.0,429.7,576.276
PCU42993042993021             ,PCU42993042993021             ,"PPI industry data for Material recyclers-Copper base scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,120.0,167.6,190.9,192.5,180.5,173.2,144.3,164.8,205.2,175.2,168.3,123.6,115.0,131.0,120.0,116.7,133.0,193.9,262.8,451.9,507.8,516.9,392.5,573.2,667.4,630.9,606.9,553.9,445.3,385.4,454.2,489.1,435.6,446.1,660.961
PCU429930429930211            ,PCU429930429930211            ,"PPI industry data for Material recyclers-No 1 copper wire, heavy, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,118.5,163.1,180.6,169.7,156.5,151.0,126.4,148.2,188.0,152.8,148.8,107.9,99.2,111.4,97.7,97.7,109.5,166.1,211.2,389.6,428.9,422.6,314.7,460.4,528.9,479.2,453.4,422.5,335.6,290.4,350.0,377.2,338.9,352.1,532.566
PCU429930429930212            ,PCU429930429930212            ,"PPI industry data for Material recyclers-No 2 copper wire, mixed, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,129.1,181.4,210.3,202.0,190.1,183.2,149.5,175.7,221.0,180.6,173.2,124.9,118.2,135.9,123.1,122.9,145.9,218.1,295.4,534.1,580.7,573.0,452.1,671.4,781.3,717.0,692.3,650.7,512.5,449.9,559.9,599.9,535.7,566.7,852.394
PCU429930429930213            ,PCU429930429930213            ,"PPI industry data for Material recyclers-Yellow brass scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,114.7,,,,,,,,,,172.3,134.5,124.4,142.0,135.9,123.8,145.1,198.9,263.8,483.2,596.8,577.9,425.3,630.3,697.1,679.6,683.3,608.0,511.9,450.0,493.2,536.6,464.5,,689.721
PCU429930429930214            ,PCU429930429930214            ,"PPI industry data for Material recyclers-Other copper and brass scrap, including red brass, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2019-M07,116.5,157.8,180.7,191.7,181.4,175.9,145.6,163.5,203.2,181.0,164.0,119.5,111.6,129.0,124.8,,138.3,197.6,303.5,435.7,453.0,515.0,412.1,590.5,733.4,725.5,688.3,624.0,488.3,414.0,481.0,512.2,,,
PCU42993042993022             ,PCU42993042993022             ,"PPI industry data for Material recyclers-Aluminum base scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2021-M11,130.3,181.3,169.2,143.5,119.2,115.3,109.0,146.3,178.6,148.3,166.1,138.5,137.6,152.7,134.6,134.2,142.9,164.9,179.0,232.4,231.3,229.6,140.3,203.5,225.8,199.6,190.4,204.0,176.7,157.5,177.6,182.3,150.0,131.6,
PCU429930429930221            ,PCU429930429930221            ,"PPI industry data for Material recyclers-Solids and clippings, new aluminum base scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2019-M08,125.0,165.1,154.6,132.4,113.0,109.0,105.9,136.9,170.3,142.3,158.5,133.6,134.3,149.1,130.1,130.7,137.8,158.5,169.9,211.2,205.5,207.3,125.6,189.2,204.7,180.0,162.5,176.2,165.4,149.6,170.1,186.8,,,
PCU429930429930222            ,PCU429930429930222            ,"PPI industry data for Material recyclers-Borings, turnings, and other new aluminum base scrap, not seasonally adjusted",Index base: 1996.06 = 100,1996-M06,2018-M03,,,,,,,,,,,110.3,85.6,86.3,91.8,79.6,88.2,95.5,108.2,,150.5,146.9,141.2,79.0,119.0,134.7,113.5,114.3,127.7,105.0,88.5,99.1,,,,
PCU429930429930223            ,PCU429930429930223            ,"PPI industry data for Material recyclers-Used beverage can scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,135.5,189.2,175.7,140.8,118.2,115.1,108.2,151.1,185.0,151.2,163.1,140.8,137.1,159.7,141.6,133.8,143.4,168.3,187.9,253.9,255.7,256.9,160.8,216.9,251.1,217.6,209.2,232.6,191.9,175.1,203.3,211.4,161.4,137.4,210.57
PCU429930429930224            ,PCU429930429930224            ,"PPI industry data for Material recyclers-Other old aluminum base scrap, not seasonally adjusted",Index base: 1986.12 = 100,1986-M12,2022-M01,125.5,182.0,163.4,137.5,114.6,113.4,105.4,139.0,162.0,129.3,146.4,121.1,119.5,124.1,112.2,115.2,123.3,140.5,150.2,202.6,207.8,203.9,128.4,185.1,203.3,186.5,184.9,186.6,151.2,134.0,146.2,141.0,110.3,111.1,182.839
