index,Index,Label,unit,start,last,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU322---322---               ,PCU322---322---               ,"PPI industry sub-sector data for Paper manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,106.9,112.3,115.7,122.8,123.3,127.2,131.5,131.9,134.8,136.7,136.5,135.4,138.8,143.6,145.4,143.2,155.105
PCU3221--3221--               ,PCU3221--3221--               ,"PPI industry group data for Pulp, paper & paperboard mills, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,109.4,115.7,119.3,129.0,126.6,131.8,135.9,135.2,136.8,137.7,136.3,133.0,136.5,143.2,142.5,137.0,152.008
PCU32211-32211-               ,PCU32211-32211-               ,"PPI industry data for Pulp mills, not seasonally adjusted",Index base: 1982.12 = 100,1973-M12,2022-M02,,,,,,,,,,,,,,63.0,80.5,82.0,81.5,78.5,88.2,105.5,111.0,106.9,98.8,112.0,100.9,103.0,117.0,141.7,161.3,153.8,121.8,118.5,105.8,116.5,182.4,135.5,131.0,125.1,122.7,143.4,122.9,116.5,120.9,131.3,137.4,144.8,163.2,175.5,162.1,191.9,203.8,199.0,192.3,198.2,204.2,188.3,191.2,238.3,186.0,146.2,199.159
PCU322110322110               ,PCU322110322110               ,"PPI industry data for Pulp mills, not seasonally adjusted",Index base: 1982.12 = 100,1973-M12,2022-M02,,,,,,,,,,,,,,63.0,80.5,82.0,81.5,78.5,88.2,105.5,111.0,106.9,98.8,112.0,100.9,103.0,117.0,141.7,161.3,153.8,121.8,118.5,105.8,116.5,182.4,135.5,131.0,125.1,122.7,143.4,122.9,116.5,120.9,131.3,137.4,144.8,163.1,175.5,162.1,191.8,203.8,199.0,192.3,198.1,204.1,188.2,191.2,238.3,186.0,146.2,199.16
PCU3221103221109              ,PCU3221103221109              ,"PPI industry data for Pulp mills-All other miscellaneous pulp, other than wood, and pulp mill by-products, incl. turpentine, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.7,,,,,113.9,149.4,134.3,129.1,131.1,133.7,144.4,130.5,125.4,136.2,146.4,155.9,,,,,,,,,,,,,,,,
PCU322110322110P              ,PCU322110322110P              ,"PPI industry data for Pulp mills-Primary products, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,100.2,114.1,99.8,103.9,122.0,147.5,169.4,162.3,127.3,124.9,111.2,121.4,190.0,141.1,136.4,130.4,127.9,152.6,134.0,125.0,129.7,140.9,147.4,154.4,172.9,186.1,171.9,203.5,216.1,211.0,203.9,210.1,216.6,201.1,210.5,261.8,204.4,161.0,219.638
PCU32212-32212-               ,PCU32212-32212-               ,"PPI industry data for Paper mills, not seasonally adjusted",Index base: 1981.06 = 100,1974-M12,2022-M02,,,,,,,,,,,,,,,65.3,68.3,71.1,74.3,83.6,93.5,100.3,103.0,102.6,110.0,109.5,110.3,115.5,127.4,134.6,134.0,131.0,126.6,126.6,128.6,164.8,152.2,143.2,144.5,139.7,148.8,150.5,144.1,145.7,151.1,161.0,168.1,170.8,184.6,183.9,186.1,192.2,191.8,189.8,189.5,188.3,186.5,184.7,189.8,195.8,191.7,202.54
PCU322121322121               ,PCU322121322121               ,"PPI industry data for Paper, except newsprint, mills, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,108.4,112.7,116.2,125.2,126.1,127.7,131.4,131.2,130.2,130.1,130.2,128.7,127.3,130.0,134.2,132.4,139.679
PCU3221213221216              ,PCU3221213221216              ,"PPI industry data for Paper, except newsprint, mills-Bleached bristol, clay-coated, uncoated, and industrial converted paper, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,97.7,98.4,98.7,96.5,94.5,100.6,105.8,101.6,106.844
PCU322121322121F              ,PCU322121322121F              ,"PPI industry data for Paper, except newsprint, mills-Construction paper, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.9,107.1,108.3,107.6,,,
PCU322121322121M1             ,PCU322121322121M1             ,"PPI industry data for Paper, except newsprint, mills-Miscellaneous receipts, not seasonally adjusted",Index base: 2009.07 = 100,2009-M07,2018-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,,,,
